Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MOB_d1_m2-bm-003.txt
Log File Name:                   MOB_d1_m2-bm-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3151675371
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MOB_d1_m2-bm-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	
2550000	119.152400	1	0.712447044960	0.457777152221	0.558750813633	-0.298748902005	-0.089147183881	-0.019643718370	0.145211198732	0.276491893439	0.265478511552	-0.050156274250	0.081111185899	0.068781346546	0.001254505958	0.719568246141	N\A	0.108441766294	0.462794615208	0.418609188404	0.438785384484	0.425264654395	0.576612621005	0.120662002047	0.116446778850	0.121051740821	0.125797824429	0.114979305629	
2600000	124.263320	1	0.949474652275	0.639795351613	0.032595475480	-0.911258596166	0.153689209766	-0.093732006032	-0.558166610704	0.032190303295	0.126893950359	-0.229058057412	0.059719172487	-0.111255543296	0.001217777141	0.727778591057	N\A	0.106842521132	0.455969550708	0.412435748573	0.432314396161	0.418993063065	0.568109025239	0.118882538934	0.114729479749	0.119266530034	0.123942620765	0.113283648092	
2650000	124.435579	1	0.318045818477	0.717634398399	0.119481454475	-0.366913715557	-0.201021051524	0.212818169231	0.616274299789	-0.044983428765	-0.006805347326	-0.180054984360	-0.033314119670	-0.175543722517	0.001216558144	0.728051085224	N\A	0.106789032956	0.455741280360	0.412229272391	0.432097968205	0.418783304119	0.567824614921	0.118823023208	0.114672043154	0.119206822073	0.123880571830	0.113226935319	
2700000	118.222730	1	0.694802030694	0.671822911049	-0.474090114607	-0.939881228128	-0.260203826002	0.045396836128	0.439372066991	-0.091213890137	0.120473239859	-0.227886426473	-0.129428338853	-0.230001050761	0.001261304988	0.718048393712	N\A	0.108735229447	0.464047021649	0.419742021040	0.439972817578	0.426415497933	0.578173039680	0.120988535380	0.116761905023	0.121379328859	0.126138256233	0.115290460552	
2750000	124.424080	1	0.233522342249	0.622957905778	0.349375118523	-0.074413099083	0.249426423916	0.371110350708	0.616374598209	0.048730005283	0.089478855587	-0.141965116813	0.083190257528	-0.080009481409	0.001216639480	0.728032903370	N\A	0.106792602726	0.455756514991	0.412243052492	0.432112412482	0.418797303310	0.567843596301	0.118826995253	0.114675876440	0.119210806948	0.123884712940	0.113230720297	
2800000	122.128585	1	-0.029457907442	0.882291866966	0.215360775094	-0.253719742939	0.136676389478	0.638814377661	1.178909685834	-0.158025482091	-0.193140225144	-0.379718835576	-0.296503425204	-0.360586997700	0.001232985465	0.724378928472	N\A	0.107507607497	0.458807925616	0.415003128956	0.435005519576	0.421601262220	0.571645459634	0.119622573471	0.115443661817	0.120008954886	0.124714153917	0.113988829971	
2850000	125.810893	1	0.401535884360	0.585006097324	0.400911404990	-0.613959420295	0.184708650269	0.296797656134	0.459030153834	0.062972858955	0.166045497872	-0.119349247968	0.055435316994	-0.034612198063	0.001206869315	0.730216922100	N\A	0.106362941957	0.453922860882	0.410584466948	0.430373886153	0.417112347921	0.565558980043	0.118348916277	0.114214498741	0.118731183774	0.123386285149	0.112775156923	
2900000	123.999359	1	0.258705824800	0.596310623909	0.766128913128	-0.096944242360	0.246760144121	0.600640742176	0.802729306235	0.066887117075	0.122062744982	-0.216159094972	0.047386201831	-0.119680782118	0.001219647452	0.727360502619	N\A	0.106924536145	0.456319564430	0.412752344651	0.432646251590	0.419314692703	0.568545120048	0.118973796167	0.114817548990	0.119358082030	0.124037762245	0.113370607476	
2950000	116.541719	1	1.001351144441	0.310617262490	-0.795982325373	-1.420008487181	-0.037473031493	-0.639652612279	0.019636484600	0.413471434392	0.392691779441	-0.006252309283	0.421333738558	0.233881489842	0.001273692567	0.715279279470	N\A	0.109267882178	0.466320212360	0.421798178323	0.442128077875	0.428504346052	0.581005290554	0.121581212419	0.117333877399	0.121973920247	0.126756159805	0.115855224879	
3000000	122.341571	1	0.095460544648	0.741586250714	0.367020811361	-0.274895291696	0.294936484564	0.416722144825	1.233982564816	0.022627325724	0.017644361383	-0.282492005445	-0.129405775791	-0.316878650491	0.001231459610	0.724720017510	N\A	0.107441065019	0.458523943699	0.414746260281	0.434736270302	0.421340309591	0.571291636250	0.119548532362	0.115372207270	0.119934674624	0.124636961344	0.113918275901	
3050000	117.981511	1	0.616186954465	0.915343681338	0.581146952206	-0.370304225333	-0.212843046466	0.037528982913	-0.085568702339	-0.294985463912	-0.253531349317	-0.441820252402	-0.190685549766	-0.379050006692	0.001263075133	0.717652696346	N\A	0.108811503455	0.464372534611	0.420036455573	0.440281443316	0.426714613679	0.578578608102	0.121073404660	0.116843809467	0.121464472266	0.126226737864	0.115371332829	
3100000	120.575193	1	1.350911097205	0.505326719268	-0.028318870983	-1.051275390266	-0.967357484405	-0.147512789167	-0.876171414061	0.209322628448	0.225491019606	-0.052486897575	0.055725661242	0.025264581586	0.001244171419	0.721878424885	N\A	0.107994174433	0.460884436960	0.416881384882	0.436974303997	0.423509380531	0.574232660542	0.120163971335	0.115966146412	0.120552101468	0.125278595683	0.114504730166	
3150000	123.233057	1	0.669506330190	0.628215953274	0.189252241278	-0.511641314294	-0.201664931716	0.271639188953	-0.036819759216	0.010725244782	0.139461727779	-0.093724151293	-0.084095451446	-0.090348316537	0.001225093398	0.726143118050	N\A	0.107162988935	0.457337204320	0.413672825129	0.433611097541	0.420249807897	0.569813034552	0.119239120055	0.115073604016	0.119624262915	0.124314379302	0.113623435673	
3200000	118.982366	1	0.365923511016	0.748695529000	0.505755023898	-0.013300684679	0.340043873310	0.796295388765	0.360752689250	-0.035953556256	0.033641539966	-0.260468495446	-0.086501775778	-0.344994751516	0.001255746739	0.719290882578	N\A	0.108495380696	0.463023424247	0.418816151845	0.439002323183	0.425474908346	0.576897702496	0.120721658222	0.116504350988	0.121111589686	0.125860019792	0.115036152237	
3250000	124.098541	1	0.360839899908	0.620293027608	-0.194595962587	-0.854733908090	0.080540342105	0.206662614238	0.904057824506	0.012979778700	0.058915733441	-0.119118188054	-0.005566241060	-0.162152515477	0.001218944358	0.727517671936	N\A	0.106893712146	0.456188017508	0.412633357203	0.432521529165	0.419193813474	0.568381220961	0.118939498631	0.114784449609	0.119323673712	0.124002004879	0.113337925217	
3300000	122.526415	1	0.870860388661	0.705272080125	-0.235070830466	-1.274431910703	-0.007425298002	-0.545243326799	-0.018482298667	-0.060336609610	0.028066070038	-0.311170345547	0.030111740264	-0.209860340175	0.001230136907	0.725015694057	N\A	0.107383348621	0.458277628657	0.414523462227	0.434502733789	0.421113969271	0.570984743392	0.119484311938	0.115310230332	0.119870246769	0.124570007461	0.113857080002	
3350000	121.651857	1	0.796440557972	0.800241665223	0.186518728675	-0.859137056326	-0.359270291457	-0.152151133713	-0.069962642028	-0.091388031109	-0.106688667585	-0.292170342969	-0.185725134226	-0.300427885300	0.001236407637	0.723613937580	N\A	0.107656698699	0.459444198960	0.415578653950	0.435608783820	0.422185937484	0.572438215704	0.119788465668	0.115603758713	0.120175382916	0.124887107102	0.114146909310	
3400000	122.090260	1	1.405809314299	0.513475294398	-0.318309401195	-0.952636791662	-0.196922410657	-0.358807383597	-1.324750091686	0.153813408900	0.181281576179	-0.088545452964	0.190828589625	0.027572607900	0.001233260228	0.724317508130	N\A	0.107519585512	0.458859043932	0.415049366739	0.435053985935	0.421648235138	0.571709149801	0.119635901280	0.115456524031	0.120022325745	0.124728049008	0.114001530094	
