Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  DIE_d1_m2-fab-001.txt
Log File Name:                   DIE_d1_m2-fab-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3552200207
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   DIE_d1_m2-fab-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.175894
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	
2500000	445.536347	1	0.797795083681	0.604759972415	-0.015259177378	-0.175601543282	0.744419807227	-0.227490389284	0.208607319530	0.085154128671	0.088431221101	-0.090712326150	-0.015677233523	-0.046426973171	0.000261397988	0.955389805038	N\A	0.070347779634	0.213816681938	0.213572889812	0.224914404496	0.221673174863	0.283821621153	0.072618503139	0.071211391916	0.074844244466	0.077254068846	0.073122520996	40	12	
2550000	447.777668	1	0.308604993164	0.696062540323	0.719191956338	0.457169468903	1.159333381067	0.616882496240	0.610606871463	-0.010561828654	-0.013344548352	-0.166311864067	-0.107947932453	-0.121490372442	0.000284418466	0.954401336058	N\A	0.051634397489	0.200523387018	0.194590066893	0.192388218015	0.198153605404	0.275764257655	0.053819010237	0.053134944864	0.057090621942	0.057725823696	0.056929126267	34	8	
2600000	459.773634	1	0.477698235589	0.716421476674	0.123434785148	0.049748016313	-0.094912789110	0.282342421287	0.449992842155	-0.011722000717	-0.048200937966	-0.125810758681	-0.160462152869	-0.094699676867	0.000224363796	0.959427615897	N\A	0.045860270048	0.180735389661	0.172715055226	0.198876943496	0.181351902440	0.247043960275	0.049015807233	0.046937069540	0.056374056287	0.054146794570	0.051065433571	43	12	
2650000	443.921413	1	0.419918049574	0.726182129851	0.342801721413	0.187433021856	-0.332363770746	0.377036524160	0.539709021749	-0.001835765753	-0.029327656568	-0.045213083340	-0.159305352191	-0.150931955364	0.000169993328	0.964283549707	N\A	0.041358716962	0.154003123034	0.146111591207	0.172758358589	0.158550077828	0.220090712769	0.043058127504	0.043155204569	0.049925804591	0.047563713519	0.047876375269	38	13	
2700000	435.257457	1	0.332872324970	0.772391487977	0.446177497873	0.283336806904	-0.020142666244	0.365676133918	0.645335855942	-0.055495350951	-0.109451126682	-0.158387842713	-0.185829341505	-0.209568034010	0.000073185121	0.954670647942	N\A	0.045728137637	0.135177385087	0.129210317154	0.172767209914	0.144606017865	0.170569647222	0.048949656654	0.047536446481	0.056092609899	0.051901904328	0.048561267891	45	5	
2750000	450.991006	1	0.707516222363	0.648445899648	0.016631011595	-0.180039941655	-0.402105343736	0.161638808980	0.333852875705	0.079057836072	0.020802309169	-0.072316506882	-0.076855811749	-0.095520294864	0.000043008802	0.955319844481	N\A	0.039448687896	0.113137368491	0.105374946889	0.179840804368	0.131811522753	0.199567316899	0.042828802253	0.041179748709	0.048978930304	0.049614322328	0.045332725942	50	8	
2800000	426.542950	1	0.794772462310	0.648905793058	0.336130696332	-0.007756727364	-0.121500832376	0.234157967161	0.028812676357	0.039583972920	0.039186486124	-0.058693355025	-0.060392513641	-0.023899452861	0.000107875881	0.940101567891	N\A	0.045181817462	0.153691420009	0.139982342884	0.191604865069	0.143155217259	0.189856442285	0.050489090791	0.047656572369	0.052582733911	0.050116255763	0.050000550897	33	5	
2850000	452.153115	1	0.589670354850	0.684474349545	0.270380327840	0.015799118843	-0.904675571849	0.297402700158	0.196271343487	0.001848559150	0.018213260804	-0.072148473756	-0.093249635658	-0.109567643757	0.000071288196	0.966591656557	N\A	0.033499560905	0.103563746397	0.099677148417	0.220684732525	0.109138031322	0.150694992480	0.035584671669	0.035205975387	0.054631294017	0.040099976716	0.039716507231	40	8	
2900000	450.411119	1	0.647654393235	0.628673904204	0.195798670535	-0.046232598042	-1.165196164611	0.171640201503	0.454661079893	0.073306256359	0.066956113551	0.058894327675	-0.042628354354	-0.065259462021	0.000049179788	0.963327752110	N\A	0.044329435387	0.122287116774	0.115237015025	0.173450831270	0.120805564591	0.261050003090	0.046543188183	0.045760795215	0.053027011991	0.047989953016	0.049687269982	46	6	
2950000	439.840872	1	0.243955520025	0.828373433396	0.651287940300	0.334260447634	0.372837624176	0.844879447738	0.536130569890	-0.139221701335	-0.145881231118	-0.187336704891	-0.284403266295	-0.205747093758	0.000115640427	0.957637302622	N\A	0.044715615201	0.152140249481	0.138684197572	0.160403737344	0.143522684284	0.192738244663	0.048355567881	0.046095417818	0.053604501527	0.050169949119	0.050033822804	33	6	
