Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  DIE_d1_m7-fab-004.txt
Log File Name:                   DIE_d1_m7-fab-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1783028158
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   DIE_d1_m7-fab-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.175894
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
4100000	731.073157	1	-1.045253438262	0.952924772473	0.077945216478	-0.011962541457	0.000024741890	0.992351878130	N\A	0.016600076038	0.015341889865	0.002123922621	32	1	
4150000	732.553996	1	-0.985403677963	0.941863424502	0.046516271272	-0.003693096326	0.000020420533	0.992842001183	N\A	0.014924541235	0.014447590693	0.001993433734	42	0	
4200000	733.396154	1	-0.951479608986	0.911203660312	0.098614322409	-0.011167047038	0.000024023188	0.992612976195	N\A	0.016281260183	0.014984215307	0.001989346928	34	0	
4250000	718.451081	1	-1.008921378658	0.930636817852	0.071619292796	-0.004757676539	0.000013359656	0.992188428051	N\A	0.016951715684	0.015623784876	0.002186965600	36	1	
4300000	735.022343	1	-0.961207693463	0.909869450318	0.107520103694	-0.012887615652	0.000045374265	0.995939891285	N\A	0.010973569146	0.012362584384	0.002009615938	31	0	
4350000	720.142823	1	-0.933595360405	0.900541563419	0.091461587560	-0.007169396709	0.000028847146	0.992839115748	N\A	0.017186296971	0.016327136734	0.002142138691	42	1	
4400000	731.887193	1	-1.040424226313	0.963370340381	0.040842472971	-0.004689335271	0.000023271429	0.992907115107	N\A	0.015966512878	0.014118140863	0.002025906463	44	1	
4450000	737.107436	1	-0.992192646199	0.928633836980	0.091762303865	-0.013556066770	0.000027054392	0.992866554799	N\A	0.015723203604	0.014412083887	0.002046032408	32	0	
4500000	736.618168	1	-0.980066302417	0.919887828533	0.100416238554	-0.014367690727	0.000026171668	0.993075825317	N\A	0.011151534518	0.011817254807	0.001698857997	38	0	
4550000	734.291378	1	-0.972067364094	0.917689776753	0.088375532147	-0.007723816099	0.000024615172	0.992948608130	N\A	0.016914590598	0.015298360689	0.001996641386	32	0	
4600000	721.495781	1	-1.033293507554	0.955903996616	0.046318732022	-0.003756959818	0.000020344103	0.992817507864	N\A	0.018689907089	0.016334716104	0.002225079636	45	0	
4650000	739.278081	1	-0.929810712949	0.895544295629	0.112133207806	-0.011785811073	0.000024892432	0.996509602987	N\A	0.015294594253	0.014500527794	0.002062583233	44	0	
4700000	735.041774	1	-0.950322484046	0.908712002628	0.093739452823	-0.009799356554	0.000025648336	0.992338898134	N\A	0.016763990220	0.015451960448	0.001993286586	32	1	
4750000	722.435990	1	-0.977391701633	0.929246628790	0.080796961332	-0.010090578170	0.000053882960	0.992106492657	N\A	0.016704551858	0.015586269192	0.001982930328	40	1	
4800000	717.238083	1	-0.882560821510	0.882025583692	0.089153660908	-0.003723378416	0.000024710389	0.991632674987	N\A	0.018650397161	0.016746441725	0.002424378473	31	0	
4850000	726.409339	1	-0.968237399737	0.914562774487	0.101202214846	-0.012225272122	0.000037955171	0.991785254341	N\A	0.017810689329	0.015924448080	0.002274331747	36	0	
4900000	720.095890	1	-0.920521706997	0.888272473825	0.120232837123	-0.011745492658	0.000028856059	0.991539283468	N\A	0.018013056488	0.016530673146	0.002253337318	31	2	
4950000	732.821647	1	-0.962638022757	0.906489182535	0.106011253309	-0.010005759952	0.000025425277	0.992370971908	N\A	0.017734146913	0.015627747618	0.002018191647	37	1	
5000000	731.107704	1	-0.993665153012	0.930158374151	0.074651302704	-0.006361661285	0.000020360349	0.992521541713	N\A	0.013405521372	0.012907946606	0.002051993138	42	0	
5050000	717.259213	1	-0.970296045470	0.925580028288	0.064877699642	-0.004259440040	0.000031062471	0.992909394528	N\A	0.007010418960	0.011763850451	0.002299913644	40	1	
5100000	722.472019	1	-1.004567904247	0.937938156252	0.069546865461	-0.007206669185	0.000027231834	0.992517760548	N\A	0.016885876187	0.015589109881	0.002235735103	23	0	
5150000	732.683451	1	-0.979140569438	0.933200955528	0.070376872340	-0.009843440419	0.000018145843	0.991568020060	N\A	0.017482011428	0.016165538797	0.002196010890	32	1	
5200000	730.234735	1	-1.001876554714	0.929626544468	0.074858155867	-0.006702827136	0.000017803320	0.992115905781	N\A	0.017942287842	0.015940271290	0.002289482746	41	1	
5250000	719.570344	1	-1.038328678952	0.968617425522	0.019812503738	-0.000373329175	0.000024895746	0.991950160957	N\A	0.017749277642	0.016159763192	0.002264121008	37	0	
5300000	729.562210	1	-1.007978736115	0.954370839058	0.034159113432	-0.002254399597	0.000026035250	0.993046674190	N\A	0.015096711108	0.014234595640	0.002026096432	44	0	
5350000	727.421655	1	-0.971518856236	0.922229591595	0.072845389702	-0.006534790796	0.000060545916	0.993258012343	N\A	0.015485326907	0.014385034444	0.002080480070	36	0	
5400000	735.919377	1	-1.055142320002	0.982376380506	0.014510759071	-0.002582186715	0.000028097682	0.991873118995	N\A	0.017831178899	0.016304376795	0.002302438340	36	0	
5450000	723.929279	1	-0.919419339781	0.896437281010	0.092523694322	-0.007683289347	0.000025181266	0.991628639057	N\A	0.016839540234	0.015014255134	0.002283361563	41	0	
5500000	732.199248	1	-0.957276177258	0.921039833955	0.064036710290	-0.003725140388	0.000022714722	0.992549620160	N\A	0.016346492713	0.015146171683	0.002090005592	40	0	
5550000	735.834490	1	-0.942701264694	0.910023070607	0.081203727594	-0.005652009739	0.000023645514	0.992521011199	N\A	0.017436102756	0.015977736085	0.002107509204	32	0	
5600000	722.516044	1	-0.936222682965	0.897843880921	0.107259432445	-0.010754472168	0.000027404197	0.991710100079	N\A	0.017666122060	0.016227365717	0.002005531483	34	0	
5650000	728.389951	1	-0.945029564079	0.911030016093	0.085452601767	-0.008570836623	0.000041638242	0.991682605979	N\A	0.016718846749	0.015479714973	0.002259149943	28	0	
