Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MES_d1_m9-glob-003.txt
Log File Name:                   MES_d1_m9-glob-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            407976748
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MES_d1_m9-glob-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.297316
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.66 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	Global Trend	
3000000	572.960446	1	-0.785493452012	0.909732378957	-0.030409764764	0.128539497052	-0.006386819239	0.000100195581	0.999728557359	N\A	0.023872270757	0.003198440495	0.025952521842	0.004201663260	36	3	0.215288748349	Global Trend	
3050000	587.181580	1	-0.888649587410	0.932391360634	-0.029447162574	0.107320337409	-0.004142619468	0.000057541642	0.982155702557	N\A	0.044157763382	0.006062150753	0.025626437423	0.004642606656	32	6	0.002014156990	Global Trend	
3100000	581.967681	1	-0.961141384520	0.983660227590	-0.036124809049	0.051049544712	0.003981046409	0.000059254840	0.999478387282	N\A	0.023270576239	0.003305447455	0.025026251280	0.004469081666	37	6	-0.115675027582	Global Trend	
3150000	586.668420	1	-1.107523019894	1.046291684889	-0.045359425812	0.050358520667	0.007123169880	0.000073309100	0.981617548175	N\A	0.037110301389	0.004954214926	0.025613038473	0.004399344247	34	4	-0.009018909289	Global Trend	
3200000	566.137916	1	-0.849626621321	0.880173555494	-0.035156478984	0.166151352576	-0.006111440967	0.000129399736	0.998048768124	N\A	0.022970492024	0.003240905063	0.024645517535	0.004224084208	40	3	-0.076493890330	Global Trend	
3250000	593.017576	1	-0.913784703490	0.961850304745	-0.028601897699	0.071973904350	-0.005171780783	0.000061404962	0.999774412764	N\A	0.019248068749	0.002650649261	0.020741724036	0.003545044409	37	3	0.192038353498	Global Trend	
3300000	591.531832	1	-0.847238597842	0.930747464563	-0.027727094730	0.097317119784	-0.010441407585	0.000042080416	0.982323260454	N\A	0.045717589004	0.005490403328	0.025988062151	0.004190121190	36	4	0.002089304082	Global Trend	
3350000	587.172305	1	-0.833462663679	0.870718666135	-0.025184175410	0.154539216509	-0.014679954499	0.000076464182	0.993983058287	N\A	0.022593828456	0.002772876028	0.022944495942	0.003549951042	43	6	0.035406798307	Global Trend	
3400000	586.106368	1	-0.920462072612	1.017059652953	-0.037561370706	0.025809473986	0.005158389712	0.000086752864	0.978453359495	N\A	0.053901893626	0.007312923969	0.027833825849	0.004749187746	34	4	-0.000495761048	Global Trend	
3450000	587.964212	1	-0.758329276270	0.900824815548	-0.034551652110	0.134488603373	-0.003877653729	0.000043711457	0.993413875384	N\A	0.024842409168	0.003211283559	0.025406864121	0.003977963194	36	2	0.020945796789	Global Trend	
3500000	599.799327	1	-0.874317996905	0.944881813962	-0.028315726180	0.092490693531	-0.007266253177	0.000109667575	0.984419015901	N\A	0.031005914397	0.003718817474	0.021902413520	0.003505526252	43	4	-0.017358191151	Global Trend	
3550000	589.981575	1	-0.874452826636	0.899961487060	-0.024365908967	0.132661109280	-0.011313472290	0.000059083056	0.998155350207	N\A	0.021691331512	0.002668290286	0.022940815242	0.003801125730	42	5	0.051446094235	Global Trend	
3600000	592.569579	1	-0.934217087135	0.932401030087	-0.020485959250	0.087569889024	-0.009336334605	0.000109862101	0.980915193712	N\A	0.035838095656	0.004763528747	0.024408881423	0.003948320777	28	3	0.012876583937	Global Trend	
3650000	593.356669	1	-1.065260041444	1.062463772634	-0.034251111701	-0.002932250905	0.001341001813	0.000054155775	0.989577775976	N\A	0.029042193903	0.004857152356	0.018019838490	0.003938759874	39	4	-0.002715193321	Global Trend	
3700000	590.845608	1	-0.908310015873	0.919657073999	-0.025866125087	0.112049111962	-0.009626579763	0.000051808526	0.996918789098	N\A	0.020482983013	0.002699429097	0.021523224148	0.003722704225	36	4	0.042751566999	Global Trend	
3750000	570.819426	1	-1.134216059809	0.989700060687	-0.034482683977	0.086664290714	-0.003000985018	0.000117087832	0.986129677644	N\A	0.029141258331	0.003802500048	0.025803493937	0.004230568193	44	3	-0.023678851865	Global Trend	
3800000	571.607393	1	-0.896199260097	0.898147798750	-0.027848787691	0.140612930747	-0.012714999157	0.000075104518	0.999733554538	N\A	0.022185920346	0.002784831998	0.023923128738	0.003887380590	35	2	0.213312701169	Global Trend	
3850000	585.322862	1	-0.934589939957	0.940762720202	-0.029042967671	0.100569771288	-0.006583703695	0.000050146024	0.997194274102	N\A	0.021929064900	0.002794774959	0.022853030038	0.003623144028	42	3	-0.030245570082	Global Trend	
3900000	588.101418	1	-1.050567860087	0.996442000955	-0.028932666073	0.033085485519	-0.000957531312	0.000100943917	0.999991464684	N\A	0.019262260593	0.002269630421	0.020953431360	0.003293645092	37	3	1.608553534552	Global Trend	
3950000	579.744098	1	-0.840546494185	0.936111869896	-0.033279908615	0.098871612863	-0.001583527057	0.000052635238	0.999986231772	N\A	0.022377912836	0.002766273813	0.024019207392	0.003951987788	28	1	-0.589759086421	Global Trend	
4000000	576.869638	1	-0.906032987159	1.036655004532	-0.034615624461	0.039461963907	-0.001646936335	0.000136308460	0.981937665833	N\A	0.036367080405	0.005291978339	0.023078534504	0.004038293538	38	3	0.012807160572	Global Trend	
4050000	555.647074	1	-0.714343149788	0.931831314246	-0.040681485580	0.108791751957	0.005701574666	0.000098576772	0.998455998415	N\A	0.023030512804	0.003552917586	0.024877889382	0.004693230696	32	1	0.083738247638	Global Trend	
4100000	575.120288	1	-0.884590617785	0.966727841940	-0.034133950776	0.066810027257	0.000387779572	0.000078534732	0.999946448289	N\A	0.023085878282	0.002897166959	0.024782143412	0.003972125542	27	3	0.602785695726	Global Trend	
4150000	577.224029	1	-1.025826358151	1.063060980388	-0.042159614073	0.009993064594	0.005953520791	0.000069264029	0.982285827487	N\A	0.035514529105	0.005110318059	0.024712331535	0.004468889759	44	3	-0.007100820940	Global Trend	
4200000	565.435478	1	-0.744621965780	0.913875212897	-0.023339929398	0.123884320137	-0.010855183010	0.000108113201	0.999725316307	N\A	0.022573205960	0.002821749896	0.024368934099	0.003674798213	42	2	0.182582021584	Global Trend	
4250000	567.846542	1	-0.792595851288	0.957466154784	-0.031357035744	0.081131404862	-0.007224884936	0.000095839341	0.999999395297	N\A	0.021195323488	0.002747199829	0.023031797109	0.004027100454	43	6	2.514119149921	Global Trend	
4300000	607.646707	1	-0.937424150203	0.992805919345	-0.030548962680	0.039498635933	-0.001138956928	0.000065269575	0.999584828662	N\A	0.016079468863	0.002279604063	0.017327824156	0.003115844581	42	5	-0.111633116984	Global Trend	
4350000	586.681551	1	-0.962634281892	1.002157471357	-0.033794238338	0.055935426502	-0.002175388736	0.000102273357	0.978075402362	N\A	0.046598018809	0.005921274288	0.027098252747	0.004509999249	38	3	0.005156949127	Global Trend	
4400000	589.005828	1	-0.890949783170	0.934600509792	-0.026357941443	0.102389371773	-0.010368417531	0.000063918047	0.999970859336	N\A	0.018974884010	0.002653730458	0.020480724110	0.003310909322	28	4	-0.386355345659	Global Trend	
4450000	603.525840	1	-0.936790413483	0.979743224271	-0.034683692362	0.074783302800	-0.000796382925	0.000053884619	0.984911084267	N\A	0.033670007138	0.004636560444	0.023578188032	0.004019886865	39	5	-0.005983762813	Global Trend	
4500000	584.324718	1	-0.989093755491	0.996754497116	-0.025820144209	0.030122416578	-0.001395758361	0.000094375002	0.986738422751	N\A	0.028142229873	0.003927640371	0.019240680828	0.003444540511	41	5	0.010701103496	Global Trend	
4550000	600.242177	1	-0.922802462771	0.957280074301	-0.028733028382	0.074627904209	-0.003199921731	0.000078035300	0.999989706591	N\A	0.020442530390	0.002626860004	0.022066138852	0.003534026825	39	6	1.006789391328	Global Trend	
4600000	594.401399	1	-0.997727433778	0.991579610466	-0.027705566755	0.039545585194	-0.003592073791	0.000066207562	0.999997791764	N\A	0.019576613554	0.002799611102	0.021213289338	0.003818929761	39	5	1.491856245225	Global Trend	
4650000	573.119764	1	-0.894154178192	0.949938007337	-0.030982794425	0.095957777857	-0.007581201588	0.000052455455	0.996151572598	N\A	0.022410462114	0.002842066194	0.023106530691	0.003888406347	41	3	-0.027923055564	Global Trend	
4700000	582.459512	1	-0.910947491479	0.958945675601	-0.025153343012	0.073550826755	-0.007333218914	0.000074448049	0.999997510464	N\A	0.021562798570	0.002621043801	0.023073872945	0.003673345827	54	3	-1.952269671574	Global Trend	
4750000	582.050172	1	-0.921828938987	0.925831306922	-0.023756820601	0.113560317277	-0.014011428847	0.000080759327	0.999749724255	N\A	0.019128691880	0.002454011415	0.020488146816	0.003120456157	46	2	-0.165018918067	Global Trend	
4800000	587.621198	1	-1.099055878201	1.075888236493	-0.048237365077	0.034674928285	0.006775496085	0.000106826785	0.977439169843	N\A	0.051594155017	0.006165587807	0.029092258284	0.004483379983	31	5	-0.005884008555	Global Trend	
4850000	577.707030	1	-0.726856666303	0.888293191155	-0.032721708901	0.133562746759	-0.002138210714	0.000053763155	0.987832337114	N\A	0.026791878964	0.003249150862	0.023816099619	0.003917892469	38	3	-0.013835493173	Global Trend	
4900000	570.191210	1	-0.866247854079	0.946284117684	-0.034393514525	0.086889274074	0.000883721937	0.000148369018	0.999952629109	N\A	0.022495911374	0.003076558304	0.024111173360	0.004118104177	40	9	-0.738637986357	Global Trend	
4950000	590.487102	1	-0.948503412501	0.955982509123	-0.023016330251	0.075106711195	-0.008243979333	0.000079898263	0.999523086136	N\A	0.020313156461	0.002610201163	0.021922375670	0.003642605417	36	5	0.158924346613	Global Trend	
5000000	591.293636	1	-0.942569539070	0.971969351104	-0.033200728390	0.062371154647	-0.000054382390	0.000049056278	0.999908583647	N\A	0.020417084444	0.002668778208	0.021958240854	0.003763470472	36	3	-0.205089092134	Global Trend	
5050000	603.134048	1	-1.158527045107	1.079205410880	-0.043368291776	0.003101630385	0.007680958604	0.000068724152	0.988524447194	N\A	0.025977874963	0.003979598157	0.021895313323	0.004007365566	38	5	-0.015349621650	Global Trend	
