Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SEP_d1_m3-glob-006.txt
Log File Name:                   SEP_d1_m3-glob-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3086299512
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SEP_d1_m3-glob-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.248843
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.69 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
6750000	434.145740	1	0.066894089855	0.674722911181	-0.026640398754	0.000171504964	0.939944840956	N\A	0.019589234996	0.004029266270	30	13	-0.000549158616	Global Trend	
6800000	427.731299	1	-0.076275104272	0.690548521849	-0.022778308422	0.000220393436	0.940236888184	N\A	0.021636372432	0.004771078001	33	12	0.001430540416	Global Trend	
6850000	420.952356	1	0.220251717585	0.654707680039	-0.021941602517	0.000233219188	0.937334325283	N\A	0.019521910985	0.004327324219	31	10	-0.002227535172	Global Trend	
6900000	405.701205	1	0.052482446923	0.707183681656	-0.028817587988	0.000228070446	0.935442151318	N\A	0.020072104382	0.004219665467	39	4	-0.001373299572	Global Trend	
6950000	415.719456	1	0.013996977488	0.719087212660	-0.029542567929	0.000176116828	0.935915734468	N\A	0.021205315423	0.004227371945	36	10	-0.001048902031	Global Trend	
7000000	418.126326	1	-0.056920858017	0.715260911504	-0.030142409437	0.000188066766	0.935959675236	N\A	0.021958504841	0.004734655973	40	11	0.000491525079	Global Trend	
7050000	430.979431	1	0.019593611347	0.717245161815	-0.031120975644	0.000208074065	0.957667955435	N\A	0.018069248684	0.003876287816	32	12	-0.000919781864	Global Trend	
7100000	421.373786	1	-0.015673981431	0.721244476893	-0.031309217430	0.000181649236	0.938553214801	N\A	0.022403755401	0.004888865349	35	11	-0.000277506205	Global Trend	
7150000	397.688680	1	-0.007241983773	0.700658501557	-0.025580251912	0.000222000127	0.922489805596	N\A	0.021820595583	0.004927878108	26	8	-0.000180510203	Global Trend	
7200000	416.761537	1	0.042302894779	0.701035515891	-0.026839605730	0.000379949445	0.941517857345	N\A	0.019257989837	0.003973401209	33	10	-0.002539483806	Global Trend	
7250000	422.834653	1	-0.002005749124	0.716779898691	-0.029241885807	0.000153630669	0.947500029273	N\A	0.019407709522	0.004215758408	31	14	-0.000639992323	Global Trend	
7300000	424.614379	1	0.063903708806	0.669334060325	-0.022802572086	0.000152005953	0.936238056620	N\A	0.019860653952	0.004128815940	32	8	-0.000373143126	Global Trend	
7350000	425.052983	1	0.049816564287	0.705683004450	-0.033222562875	0.000236152630	0.938581716094	N\A	0.019886702953	0.004261469671	35	9	-0.000514502755	Global Trend	
