Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  PAL_d1_m2-VR-004.txt
Log File Name:                   PAL_d1_m2-VR-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3352460265
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   PAL_d1_m2-VR-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Branch	No RJ Local Node	
2500000	298.548346	1	0.412015705419	0.600904922006	0.445858088037	-0.240208693555	0.371681030621	0.571992678113	0.741947643724	-0.010094169878	0.078237091920	-0.065553435127	-0.051849615476	-0.108654665348	0.000448145135	0.902168879829	N\A	0.173097265823	0.829545872022	0.825697352607	0.838422878514	0.830283378783	0.866775679686	0.174823901590	0.174073646805	0.177342235544	0.175509720257	0.174719765256	52	30	
2550000	304.588590	1	0.536098430388	0.580604177832	-0.160035843013	-0.692483526875	0.128621178146	0.253005661149	1.004429475301	-0.001140066787	0.073983586008	-0.083843651552	-0.118300339006	-0.151071673861	0.000456587444	0.892903564965	N\A	0.068678701579	0.304187929595	0.295483923774	0.268825509928	0.316383197313	0.354016981534	0.072292828652	0.071052217427	0.076360937900	0.079441512785	0.074908143585	51	24	
2600000	299.060931	1	0.668603200558	0.552058034961	0.056559222678	-0.423311200627	-0.083628160764	0.189990877476	0.623607136397	0.106049489992	0.093921093176	-0.057587398412	-0.046764037894	-0.048399494182	0.000628429724	0.892352022360	N\A	0.076862938392	0.300203180235	0.289354464052	0.310174830464	0.290216659238	0.410796720686	0.079834962232	0.078946128075	0.085644397565	0.085388604495	0.082889487786	45	28	
2650000	302.447062	1	0.038553760052	0.633005862667	0.206095393943	-0.349441072807	0.429459773002	0.357779090439	1.146939102566	-0.046641466576	0.031621598062	-0.143003774678	-0.045372457586	-0.150280855903	0.000481831675	0.904794751464	N\A	0.145605437501	0.379048872675	0.346097495594	0.360813824434	0.355526321292	0.672411398319	0.146814876588	0.146667871042	0.149649416539	0.153393312618	0.148393583763	49	27	
2700000	322.066351	1	1.355078730952	0.517555038667	-0.370316749489	-0.915628170680	-0.137975266007	-0.172485952128	-0.469361164931	0.089927188811	0.131858986062	-0.060072518956	-0.005835517031	-0.051951715272	0.000430490122	0.900194328989	N\A	0.122576435705	0.321626676287	0.312600412528	0.336940510696	0.331712968122	0.402833645028	0.125205515773	0.123687983086	0.126932358260	0.129382110278	0.125608102797	49	28	
2750000	315.782375	1	0.709083725309	0.534134743815	0.056264553015	-0.490992268591	-0.179215462023	0.030257295931	0.484010286037	0.044800225298	0.086876189983	-0.012943705666	0.035870622832	0.008718591773	0.000378575147	0.893831401608	N\A	0.098573600191	0.281014738075	0.270379442833	0.299345195545	0.282685845954	0.358898548757	0.100783914208	0.100663445089	0.103871913302	0.103677796262	0.102007174704	44	27	
2800000	320.596922	1	0.473647723984	0.677587927279	0.060645586446	-0.410612621693	0.245263364071	0.431375807413	0.930350469225	-0.056857638893	-0.005412071158	-0.223230263233	-0.161117748135	-0.202224106947	0.000562738232	0.890041571594	N\A	0.073694747878	0.257169130563	0.250970993658	0.286642936403	0.260448143280	0.390366587225	0.079783223896	0.076303880164	0.079350005200	0.081404771760	0.080107626252	45	25	
2850000	302.334167	1	0.375693600552	0.704597454343	0.615977477403	-0.012939903817	0.633679121888	0.748250276318	0.474794619005	-0.113022676902	-0.042920998323	-0.219049374100	-0.166660287635	-0.146526522663	0.000540848807	0.888858855345	N\A	0.101117111320	0.308745261349	0.296756565661	0.327790045444	0.321558684495	0.410762730123	0.103581578796	0.103040473101	0.107458870506	0.111777431934	0.105372089726	44	24	
2900000	276.995955	1	1.038730543625	0.646466219963	-0.188398809664	-0.814512939454	0.402081501948	0.337588881629	-0.249991315637	-0.065464039878	0.022406739383	-0.222694788457	-0.129632635705	-0.152253803590	0.000879220883	0.894896084058	N\A	0.112068691836	0.405421260085	0.396134780870	0.366619862435	0.317637044726	0.524061995408	0.114055758463	0.113585888736	0.120059716198	0.118347703855	0.116697858092	44	26	
2950000	302.178806	1	1.292543990156	0.345067978537	-0.419399941534	-1.022197614504	-0.391309225164	-0.363033107138	-0.091251246446	0.254665988213	0.335540367423	0.179403144188	0.248611507257	0.091646941284	0.000356640936	0.901334288052	N\A	0.070342973359	0.235044199529	0.223683856053	0.254467595618	0.254657333701	0.330818363657	0.073073601933	0.072684687097	0.078795857761	0.086752641506	0.078335999930	42	29	
3000000	313.938694	1	0.890785674221	0.589424750497	-0.331224581958	-0.904039609461	0.227797343235	-0.088914676921	0.100339142880	0.008827747746	0.046591016291	-0.123699918755	0.058405410206	-0.079261107639	0.000507469322	0.900836107103	N\A	0.069260534106	0.331182003480	0.323583326795	0.272405376498	0.267928271013	0.354269812985	0.071965618009	0.071825008234	0.079230274486	0.087586821891	0.073847045951	56	21	
3050000	310.521268	1	0.788197368709	0.565045140705	-0.247448104486	-0.509746583136	-0.279684416976	0.021164922790	0.510060081373	0.012595223277	0.077099677813	-0.027980985269	0.068084002715	-0.102463318914	0.000534354600	0.907836863256	N\A	0.097258537697	0.319034232824	0.238576532350	0.400458706179	0.284404914699	0.368954683364	0.099189793472	0.098840381118	0.102967867788	0.114009769815	0.100018714965	38	28	
3100000	308.624073	1	0.887232692634	0.536651601572	-0.308942402174	-0.826189696638	-0.027864280689	-0.088472605965	0.468247872248	0.104958070704	0.112661120675	-0.028531823273	0.096615253800	-0.082075679644	0.000610947892	0.913685245546	N\A	0.083926878140	0.471763757498	0.467501039890	0.502002348374	0.469477182914	0.564714844171	0.086577302156	0.085770908974	0.092624794770	0.088220290350	0.089657054863	43	33	
3150000	320.799208	1	1.518752693242	0.312705915999	-0.811008368301	-1.225939312615	-0.702670239473	-0.499304145305	-0.544048314051	0.342304061541	0.353938873791	0.203140842196	0.260237634330	0.139192466824	0.000554084586	0.909650588573	N\A	0.102427836876	0.291650332057	0.283694340053	0.323137502455	0.307714605586	0.426966803113	0.104135894658	0.104024176141	0.109822056521	0.110166682442	0.105866051616	40	22	
3200000	310.639507	1	0.591338391830	0.726351921142	0.299409807314	-0.278655311265	0.415795315969	0.149571017863	0.564368894376	-0.121390404927	-0.056276015148	-0.267265410578	-0.076236023901	-0.282475184099	0.000592940638	0.890906725400	N\A	0.076505757066	0.276387049201	0.263898253386	0.303994175689	0.267646309286	0.399290540114	0.080140379048	0.079044193991	0.085028107560	0.083578826792	0.081620837428	41	22	
3250000	312.773230	1	0.397142055750	0.570232307718	0.346888268898	-0.209973548713	0.613675904347	0.498347237453	0.987527537803	0.033345122972	0.069226578248	-0.102815622455	0.000796040531	-0.140155930087	0.000684620178	0.895964952239	N\A	0.097834790714	0.296308768663	0.285926117803	0.336511088970	0.290276389690	0.435650686748	0.100732091102	0.099652552049	0.105779647601	0.102825538242	0.102431296656	52	21	
