Species_TTOL	MES	rest_of_brain
Pipistrellus_javanicus	1.121	2.04743835568333
Pipistrellus_tenuis	1.017	1.94445839594312
Afronycteris_nana	1.009	1.97624949883145
Hypsugo_pulveratus	1.188	2.12583275320563
Perimyotis_subflavus	1.117	2.0689992385851
Pteronotus_gymnonotus	1.41	2.50919392843789
Pteronotus_parnellii_mesoamericanus	1.612	2.71076396835588
Pteronotus_personatus	1.276	2.33437416842607
Rhinolophus_cornutus	1.255	2.26307067478927
Rhinolophus_eloquens	1.558	2.58228368121921
Rhinolophus_hipposideros	1.182	2.14741999328989
Rhinolophus_landeri	1.446	2.41927248180996
Rhinolophus_lepidus	1.281	2.24246038366786
Rhinolophus_luctus	1.749	2.76563752486781
Rhinolophus_macrotis	1.305	2.29216841823355
Rhinolophus_malayanus	1.31	2.28065583157794
Rhinolophus_megaphyllus	1.382	2.39284327871508
Rhinolophus_pearsonii	1.474	2.49680535567541
Rhinolophus_pusillus	1.204	2.19036275728536
Rhinolophus_trifoliatus	1.588	2.51948592306197
Rhinolophus_yunnanensis	1.614	2.61598611233896
Rhinonicteris_aurantia	1.403	2.36980993185743
Rhinophylla_pumilio	1.356	2.52389337701925
Rhinopoma_hardwickii	1.481	2.41517493551946
Rhinopoma_microphyllum	1.605	2.56167523073907
Rhogeessa_parvula	1.111	2.02540404611476
Rhynchonycteris_naso	1.164	2.04732050651951
Saccopteryx_bilineata	1.456	2.33483311530367
Saccopteryx_canescens	1.246	2.08934484317686
Saccopteryx_leptura	1.346	2.18322541361085
Scotomanes_ornatus	1.637	2.55494722650546
Scotophilus_dinganii	1.658	2.6152095371468
Scotophilus_kuhlii	1.575	2.50605597481635
Sphaeronycteris_toxophyllum	1.62	2.69540272673135
Sturnira_lilium	1.521	2.7664442150746
Sturnira_ludovici	1.603	2.79971581818209
Sturnira_tildae	1.562	2.82056767486967
Tadarida_aegyptiaca	1.545	2.56759514736225
Taphozous_australis	1.737	2.68911434548403
Taphozous_hildegardeae	1.725	2.71134274302204
Taphozous_mauritianus	1.811	2.71797961523504
Taphozous_melanopogon	1.715	2.70480831622297
Tonatia_bidens	1.801	2.87212442061372
Lophostoma_schulzi	1.71	2.67681030271887
Trachops_cirrhosus	1.912	2.97719852358353
Triaenops_persicus	1.415	2.41026109600416
Tylonycteris_pachypus	0.987	1.87843900376487
Tylonycteris_robustula	1.127	2.03440793493338
Uroderma_bilobatum	1.614	2.76341624316696
Vampyressa_pusilla	1.413	2.55572901399533
Vampyrum_spectrum	2.19	3.38883839645361
Alouatta_seniculus	2.994	4.69064476860801
Aotus_trivirgatus	2.612	4.20956514451613
Ateles_geoffroyi	3.171	5.00423671459412
Avahi_laniger	2.535	3.99079117597203
Plecturocebus_moloch	2.724	4.24999973790912
Callimico_goeldii	2.531	4.02141427425862
Callithrix_jacchus	2.47	3.86010428447601
Cebuella_pygmaea	2.283	3.63358773263483
Cebus_albifrons	3.087	4.8258408678735
Cercopithecus_ascanius	3.065	4.80297404128273
Cercopithecus_mitis_mitis	3.132	4.84835244065239
Cheirogaleus_major	2.382	3.80396492768725
Cheirogaleus_medius	2.161	3.4708780230274
Daubentonia_madagascariensis	2.953	4.6294722319675
Erythrocebus_patas	3.21	5.01330305301563
Eulemur_fulvus_fulvus	2.771	4.34468914865517
Galago_senegalensis	2.312	3.65384583826705
Galagoides_demidoff	2.13	3.50526524207999
Gorilla_gorilla	3.639	5.67214160105073
Homo_sapiens	3.908	6.09769523952942
Hylobates_lar	3.164	4.98887970833346
Indri_indri	2.99	4.55944787748954
Lagothrix_lagotricha	3.199	4.980177796679
Lepilemur_mustelinus	2.415	3.85550540645094
Lophocebus_albigena	3.248	4.9893093148895
Loris_tardigradus_tardigradus	2.342	3.79701647977618
Macaca_mulatta	3.14	4.94427327976376
Microcebus_murinus	1.93	3.22499777943092
Miopithecus_talapoin	2.917	4.57720824492106
Nasalis_larvatus	3.192	4.97211427746941
Nycticebus_coucang	2.538	4.07016900764897
Otolemur_crassicaudatus	2.584	3.98509131950917
Pan_troglodytes	3.573	5.58232825551133
Papio_cynocephalus	3.433	5.28121407692444
Perodicticus_potto	2.592	4.12079897970986
Pithecia_monachus	2.872	4.51688705271499
Piliocolobus_badius	3.125	4.86832778778568
Propithecus_verreauxi	2.892	4.40135338583513
Pygathrix_nemaeus	3.129	4.86047259819674
Saguinus_midas	2.521	3.98108200720884
Saguinus_oedipus	2.522	3.97903342592802
Saimiri_sciureus_sciureus	2.721	4.35321967494396
Tarsius_tarsier	2.294	3.53020840861181
Varecia_variegata	3.008	4.47260429620756
