Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MES_d1_m9-VR-006.txt
Log File Name:                   MES_d1_m9-VR-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1203485681
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MES_d1_m9-VR-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
5700000	556.180559	1	-0.876664377308	0.967270372734	-0.033341966684	0.094931672664	-0.008766753853	0.000066056959	0.973963398784	N\A	0.075503218756	0.010556632161	0.034250224934	0.005982389010	42	34	
5750000	567.435254	1	-0.924383505760	0.998274281711	-0.029688335619	0.021839630518	0.002016964419	0.000069039459	0.975514879261	N\A	0.065049215125	0.007980375719	0.032348256526	0.005252315221	39	20	
5800000	566.065951	1	-0.918846572749	1.030992303395	-0.036046670117	0.041269262583	-0.002262699844	0.000049346878	0.975925356589	N\A	0.061520119215	0.006555466107	0.032482514040	0.004504754920	52	30	
5850000	563.485869	1	-0.739618389664	0.873773635179	-0.018561468013	0.094873688091	-0.007376955349	0.000074431941	0.977582535733	N\A	0.052828058183	0.007603307378	0.028224593513	0.005185411566	35	32	
5900000	556.399083	1	-1.008272976644	1.029126851879	-0.034933023629	0.042087342496	-0.001048434941	0.000113450754	0.970847240145	N\A	0.085953109902	0.012261338147	0.037708912371	0.006916936928	61	25	
5950000	565.051805	1	-1.010565923448	1.018063364197	-0.035343215519	0.057756897741	-0.001105192322	0.000090593775	0.979877723275	N\A	0.044643122184	0.006777325501	0.023820272341	0.004455987459	48	23	
6000000	558.166113	1	-0.800697220670	0.928036752422	-0.032118632264	0.114593481081	-0.002440636822	0.000060957060	0.973720639277	N\A	0.066922717809	0.007912358422	0.032929522251	0.005015080492	39	31	
6050000	570.562708	1	-0.940840336826	1.005471155200	-0.033692416035	0.060357907456	-0.002951354010	0.000072448124	0.977781969385	N\A	0.052553207458	0.007040770969	0.027119444916	0.004751801048	60	29	
6100000	559.797597	1	-0.742179918797	0.870505051905	-0.018394872705	0.100712457516	-0.008230624715	0.000100468130	0.971614261059	N\A	0.060091238891	0.007382616941	0.032877633174	0.005122997679	49	22	
6150000	567.400296	1	-1.137081745800	1.171196327238	-0.056510791957	-0.009880050300	0.005367686321	0.000061262997	0.988192739024	N\A	0.035530073734	0.006323372348	0.020006281487	0.004478841232	54	29	
6200000	567.341453	1	-0.781146754490	0.915066375804	-0.022415621819	0.067604341184	-0.001826670814	0.000091791879	0.972647362094	N\A	0.067082495866	0.008661258340	0.033398719758	0.005625006528	44	24	
6250000	570.970516	1	-0.864948973161	0.969755238134	-0.038108931853	0.100833098247	-0.002291504386	0.000062813254	0.978810841048	N\A	0.049866116374	0.006485205187	0.027221105786	0.004648190194	52	27	
