Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  NEO_d1_m9-VR-006.txt
Log File Name:                   NEO_d1_m9-VR-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            864253674
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   NEO_d1_m9-VR-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
3650000	662.067385	1	-1.580678616221	1.476684683912	-0.036206951139	-0.129568397624	0.011116227761	0.000076953514	0.993406966927	N\A	0.053461179840	0.005355277557	0.026983627344	0.003555072032	50	27	
3700000	645.875569	1	-1.575798893429	1.550518922907	-0.047392408519	-0.204708287827	0.024403941512	0.000023071629	0.993580458720	N\A	0.058228722306	0.006159866014	0.029585233389	0.004095109131	39	40	
3750000	659.928665	1	-1.539286953505	1.520210699630	-0.040825580036	-0.196819350605	0.021192851424	0.000029319928	0.993186838611	N\A	0.055296181438	0.005642830300	0.027579626892	0.003699683307	51	38	
3800000	641.743457	1	-1.573990144069	1.484541189180	-0.036650658918	-0.170579330665	0.018704962431	0.000019031025	0.993131300562	N\A	0.055667342402	0.005930140117	0.027633402078	0.003931090183	38	27	
3850000	636.233608	1	-1.335854058996	1.317815447711	-0.019751289905	-0.101357993179	0.008002237064	0.000066742937	0.992221846684	N\A	0.053356377680	0.005360067374	0.027305492424	0.003592770454	36	20	
3900000	642.572682	1	-1.506604306352	1.492440302272	-0.037701317106	-0.163361504066	0.015268374681	0.000061968903	0.993194544010	N\A	0.057058271294	0.005554670586	0.028951050310	0.003680453464	40	21	
3950000	654.437508	1	-1.442899317503	1.443041730780	-0.035530168264	-0.153092855185	0.017139827966	0.000065079043	0.992669006274	N\A	0.054170779895	0.005525277167	0.027877346835	0.003756586311	47	27	
4000000	640.659294	1	-1.572991722705	1.539376246848	-0.042190005945	-0.212093413990	0.025737785232	0.000144514238	0.991825717706	N\A	0.060834000570	0.006876724952	0.026622454452	0.003964351497	51	23	
4050000	656.285250	1	-1.349918032952	1.378400737901	-0.028172750767	-0.127631065049	0.013051957742	0.000073605673	0.994805357130	N\A	0.052601774433	0.005352000158	0.027032176332	0.003751526033	52	33	
4100000	629.017946	1	-1.640096893997	1.586354180589	-0.048186777889	-0.196741751509	0.021481642243	0.000133406430	0.993009899833	N\A	0.058968944966	0.005984396273	0.030713860956	0.004131284683	43	33	
4150000	637.592738	1	-1.498025902078	1.518670468356	-0.044679793459	-0.195527844887	0.023980675154	0.000157335007	0.991814198901	N\A	0.067141318540	0.008030204234	0.030958170271	0.004925402010	50	37	
4200000	645.587554	1	-1.391363566214	1.432310491084	-0.028282393311	-0.158012318343	0.012698955383	0.000177979911	0.992724078561	N\A	0.062595622500	0.007000734491	0.030259712551	0.004407271130	53	24	
4250000	638.323797	1	-1.618274898162	1.524769404451	-0.039149899303	-0.166118321124	0.014170658330	0.000148106878	0.993683966226	N\A	0.054670857920	0.005265601100	0.028480142707	0.003589550802	48	38	
4300000	641.940774	1	-1.691204810504	1.606014401380	-0.049667842466	-0.214806740296	0.023837542682	0.000151947709	0.993187963986	N\A	0.064536551921	0.007128535628	0.031696026290	0.004535066260	48	33	
4350000	633.188867	1	-1.326988251208	1.335010296621	-0.017302048922	-0.115216493844	0.008873195402	0.000118701245	0.990720142200	N\A	0.066468010326	0.007959682607	0.032025669158	0.004971024184	51	36	
4400000	640.190296	1	-1.511511840020	1.471819248985	-0.034287180783	-0.159371889772	0.014690138430	0.000132148338	0.993079614372	N\A	0.053829687254	0.005314262047	0.028285047531	0.003560454083	47	25	
4450000	651.243797	1	-1.427344349130	1.432597077692	-0.032189869525	-0.145952922335	0.014875745891	0.000162826886	0.994459666627	N\A	0.053732024140	0.005366720268	0.027015790651	0.003494083189	44	46	
4500000	662.723825	1	-1.376676924368	1.376362788272	-0.027958527794	-0.112829847665	0.010268726299	0.000131367333	0.993401616167	N\A	0.055247236422	0.005653767002	0.027906667703	0.003742448294	45	27	
4550000	641.909228	1	-1.529997245700	1.512234310912	-0.039217776122	-0.191257403614	0.019363757531	0.000089165805	0.993011770173	N\A	0.055247444326	0.005807144269	0.028195030142	0.003905829614	61	30	
4600000	654.056870	1	-1.521174455636	1.464339107207	-0.035923797030	-0.149718423783	0.015715859120	0.000035628752	0.991575715276	N\A	0.056253524528	0.006032110676	0.028194229929	0.003954432690	45	29	
4650000	646.218507	1	-1.466932715169	1.399047261951	-0.030103510683	-0.125686285532	0.013163525601	0.000053908273	0.993933277035	N\A	0.052827318270	0.005204498463	0.026900142367	0.003517401803	39	24	
4700000	641.097790	1	-1.515648104375	1.457628976755	-0.037072867143	-0.152810699550	0.017173140630	0.000076499072	0.993435509683	N\A	0.055745973620	0.005890530093	0.028036929056	0.003918126623	48	20	
4750000	637.868954	1	-1.370533849244	1.364764332229	-0.025151246602	-0.122954230821	0.012501859110	0.000049255863	0.993548994305	N\A	0.054901758190	0.005660979528	0.026652873506	0.003606474968	43	37	
4800000	639.743673	1	-1.288051592344	1.318198765550	-0.018759774461	-0.075998687113	0.004766732791	0.000019759324	0.990512496553	N\A	0.068934288631	0.008462901358	0.031673412020	0.005039229709	39	27	
4850000	658.323765	1	-1.367673955146	1.377622584238	-0.026581096369	-0.111588352953	0.009091207405	0.000010896869	0.994535755128	N\A	0.056236628249	0.006449573450	0.027193069741	0.004238023593	44	26	
4900000	644.322691	1	-1.263836383840	1.300868554181	-0.017299390745	-0.082969126533	0.004725543934	0.000012099552	0.993234374689	N\A	0.050618455810	0.004900104247	0.026496978431	0.003353686639	52	31	
4950000	653.030735	1	-1.573769858395	1.531132446252	-0.045438526876	-0.180313066993	0.022448689748	0.000027825611	0.992171579910	N\A	0.056457729112	0.006502490885	0.027107684701	0.004196621668	53	26	
5000000	639.675851	1	-1.437910288147	1.391709026764	-0.026967579493	-0.101296740087	0.006359139460	0.000044360482	0.994914346602	N\A	0.052995551435	0.004959916440	0.027846017101	0.003370498032	46	33	
5050000	646.726708	1	-1.497815459802	1.450323510102	-0.032744237035	-0.150666518013	0.013664656072	0.000022683998	0.993605872841	N\A	0.055608770817	0.005471794716	0.028779810475	0.003680095235	47	27	
5100000	655.102392	1	-1.472393688700	1.465458486729	-0.036195604329	-0.156419193707	0.016509584000	0.000027372032	0.994224614203	N\A	0.053523496883	0.005209891996	0.027549850158	0.003524795820	45	28	
5150000	651.352638	1	-1.276662843035	1.371967424124	-0.027583677705	-0.140324428793	0.016992721797	0.000021847229	0.994028410055	N\A	0.056099215842	0.006299384424	0.027165217065	0.004175017462	50	32	
5200000	645.090922	1	-1.359757196361	1.409199776279	-0.031333301319	-0.129059582213	0.014226813383	0.000018080103	0.991899922180	N\A	0.058896382022	0.006141366310	0.029446847495	0.004005982572	54	23	
5250000	645.753821	1	-1.389185247238	1.417175518003	-0.032442037218	-0.124514486324	0.013254656072	0.000022661111	0.994458628517	N\A	0.054811198830	0.005618870018	0.027530871242	0.003699962299	44	27	
5300000	649.355733	1	-1.566328466645	1.506664457635	-0.038646653350	-0.178487791246	0.017557434906	0.000027706623	0.991600040302	N\A	0.056202446252	0.005956058833	0.028503672817	0.004066649321	58	24	
5350000	656.783162	1	-1.641495991630	1.574124596491	-0.045572244294	-0.203786540047	0.022952182224	0.000013486464	0.992660783302	N\A	0.057757668379	0.005973535687	0.029319589918	0.004135845394	49	28	
5400000	649.956801	1	-1.531535552093	1.501883510068	-0.038735562180	-0.180508378163	0.019897872948	0.000034866266	0.992847273363	N\A	0.052660034954	0.005335002113	0.026822682220	0.003572602087	56	31	
5450000	643.430666	1	-1.615829635437	1.558274614868	-0.044409831435	-0.210199453219	0.021533973714	0.000022128013	0.992682998525	N\A	0.063224392009	0.006612049464	0.030788183952	0.004230410997	36	28	
5500000	642.807568	1	-1.490224444697	1.493178479447	-0.043575045626	-0.163831347806	0.021906515244	0.000023046059	0.989868438945	N\A	0.060655791601	0.006454146194	0.030814727154	0.004348696698	43	28	
5550000	654.801955	1	-1.576024584808	1.501769900137	-0.038541830734	-0.184684903775	0.019206270310	0.000021557508	0.992603937477	N\A	0.057944005677	0.005878554846	0.029378627072	0.003855063026	46	29	
