Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  CEREB_d1_m2-glob-002.txt
Log File Name:                   CEREB_d1_m2-glob-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2505878637
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   CEREB_d1_m2-glob-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.111269
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	Global Trend	
2500000	414.889749	1	0.736223781112	0.708317918671	-0.366283224575	-0.486085822720	0.569292858529	0.147816123374	0.899192873000	-0.056110316501	0.011757286764	-0.086807113681	-0.053110874892	-0.127107399191	0.000884445674	0.964299926753	N\A	0.067582102357	0.190199175423	0.180875028049	0.192836242324	0.200488290175	0.346409575704	0.069499722754	0.068751980150	0.071173909937	0.077098655276	0.068751355781	56	10	-0.000115047859	Global Trend	
2550000	392.488011	1	0.427103314303	0.775538004648	-0.350148397648	-0.588589250275	0.888429111885	0.348850266023	0.518761009621	-0.121597033386	-0.085678126379	-0.165602638488	-0.124157235708	-0.140652413473	0.000569331461	0.965253257896	N\A	0.074374849715	0.113771347864	0.102772189944	0.133609346941	0.121968725230	0.221233346784	0.075560813037	0.075902693532	0.078793783903	0.079858288828	0.077398421979	40	15	0.035029663216	Global Trend	
2600000	382.546860	1	0.451614555143	0.794289071431	-0.484490423245	-0.558516980583	0.623381513766	0.501931338701	0.817395442631	-0.130970090668	-0.078251158285	-0.098398734754	-0.166050367025	-0.219024650675	0.000274122649	0.998614407265	N\A	0.061538312876	0.098835240361	0.098076243970	0.138305086493	0.133049419556	0.190848231532	0.062556084093	0.063479614196	0.066553071784	0.073706142147	0.065052892030	48	6	0.098817151198	Global Trend	
2650000	393.418539	1	0.745597029038	0.732718624731	-0.567941166276	-0.724015023490	0.891688515792	0.537306798798	0.477135387193	-0.074008589503	0.007181196244	-0.025821302101	-0.093021148505	-0.159350816431	0.000268067129	0.998691809268	N\A	0.046901902848	0.117921821327	0.093433515319	0.134991034833	0.116216536601	0.189062332489	0.049318173736	0.049012216418	0.054753629192	0.055271954328	0.051940272193	43	11	0.162953591753	Global Trend	
2700000	397.634141	1	0.807082063750	0.716104396988	-0.530358492750	-0.634947043622	0.498120875977	0.981850662324	0.203458631107	-0.031585053480	0.022134890742	-0.043974871935	-0.115092802021	-0.065192889564	0.000273557845	0.999919869960	N\A	0.070192694162	0.105633134291	0.093633004361	0.135999895981	0.131028908707	0.190925832878	0.072771639961	0.071551771138	0.074310720129	0.080257710053	0.073051138848	45	16	0.655902264833	Global Trend	
2750000	385.358079	1	0.520038481945	0.698466276804	-0.633044165294	-0.722042049298	1.268106598805	0.579345474465	0.484999790200	-0.055614385379	-0.013160141968	-0.134444540242	-0.044397673973	-0.090305320087	0.000286797750	0.943412880386	N\A	0.052010417190	0.175222698965	0.153378958421	0.187684018209	0.169356190850	0.242086804361	0.055522769494	0.053895702194	0.060086730308	0.061858333724	0.056160359033	39	12	0.000341287844	Global Trend	
2800000	383.948296	1	0.306881948014	0.822515964971	-0.487740297514	-0.515870332940	0.815891550058	0.349340392526	0.856285435098	-0.139478053305	-0.093870089711	-0.161297247356	-0.201075378990	-0.239614603930	0.000448156508	0.986570233580	N\A	0.066598440585	0.110681117481	0.104463163690	0.169788717756	0.129793092616	0.232571681089	0.068366581826	0.068305236273	0.074867555714	0.074666605798	0.070831028303	33	12	-0.065063938956	Global Trend	
2850000	402.832802	1	0.668230398630	0.764593031598	-0.393177339070	-0.450409471188	0.943840524589	0.400848394010	0.276168170536	-0.103411386929	-0.045197362523	-0.103825039360	-0.165508185411	-0.122289346986	0.000198355513	0.996996076750	N\A	0.040519647621	0.104925943836	0.088112855158	0.178482546470	0.105717345610	0.166242397252	0.043135862041	0.043445287464	0.054127030305	0.048218896730	0.044495824625	27	16	0.089980440118	Global Trend	
2900000	392.559956	1	0.704589625430	0.849939065613	-0.067469869449	-0.249207666590	0.690758077497	0.535882135383	0.093394348981	-0.173879888409	-0.112210560735	-0.141070666958	-0.238880062884	-0.186727203697	0.000326666250	0.999880790150	N\A	0.051771901466	0.106855992656	0.094603295997	0.147961999033	0.151359868819	0.209042094194	0.054272620765	0.053564791901	0.058279907452	0.065700268909	0.057055849637	35	13	0.568970884291	Global Trend	
2950000	385.598139	1	0.660838645659	0.787182908103	-0.129855395785	-0.477939839528	0.804502065987	0.445459823090	0.316386843240	-0.180454638789	-0.046610331461	-0.167828208548	-0.195630407822	-0.149003486987	0.000283460997	0.955958192656	N\A	0.054309711915	0.104885911301	0.092606555976	0.155997052288	0.132367651670	0.186695506107	0.057905069779	0.056705816574	0.062018921342	0.064471041094	0.057949872985	37	14	0.020450013505	Global Trend	
