Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  DIE_d1_m3-glob-005.txt
Log File Name:                   DIE_d1_m3-glob-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            966020856
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   DIE_d1_m3-glob-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.175894
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
3650000	429.463168	1	0.648360362313	0.806210566724	-0.039344512332	0.000323788226	0.959470889266	N\A	0.020917975635	0.005182751803	36	7	-0.003020901672	Global Trend	
3700000	427.707915	1	0.580835406003	0.814474433489	-0.040928679021	0.000309108526	0.951208910021	N\A	0.019723637188	0.004808134003	33	9	-0.001590743196	Global Trend	
3750000	448.050375	1	0.535892935259	0.799122446310	-0.034910521367	0.000130513031	0.960122877569	N\A	0.018068204031	0.004448868454	32	5	0.000622679931	Global Trend	
3800000	434.579635	1	0.627144963117	0.775289574251	-0.035637090970	0.000144095509	0.945980181189	N\A	0.019500785027	0.004325697971	42	10	-0.000067898791	Global Trend	
3850000	448.551922	1	0.623116757158	0.809784727609	-0.036920594666	0.000313660315	0.960749704206	N\A	0.016620786714	0.003592389871	48	9	-0.002455170057	Global Trend	
3900000	438.021435	1	0.655629576771	0.741848977038	-0.027714680964	0.000363474542	0.950740114149	N\A	0.019058706730	0.004699219925	32	10	-0.000154409683	Global Trend	
3950000	433.084406	1	0.728079408929	0.722697099808	-0.019725217311	0.000355340473	0.947565837083	N\A	0.019779196459	0.004941897807	43	13	0.002326394458	Global Trend	
4000000	427.387793	1	0.799597233322	0.778567388435	-0.032432039649	0.000335015306	0.951322140692	N\A	0.019061696318	0.004696968772	37	6	-0.006555424836	Global Trend	
4050000	451.227222	1	0.584163518330	0.785153870945	-0.032794883049	0.000252495813	0.964519388230	N\A	0.017172811772	0.004255974261	46	8	-0.000241655289	Global Trend	
4100000	450.740043	1	0.409445983560	0.798614528315	-0.036011896874	0.000549267940	0.961372885991	N\A	0.019597121671	0.005047116641	37	10	0.007359776233	Global Trend	
4150000	452.475624	1	0.653152008839	0.762940549091	-0.030552466907	0.000496132830	0.960743488736	N\A	0.018853905185	0.004679599644	39	10	-0.001575575832	Global Trend	
4200000	437.071631	1	0.697026685434	0.774101960912	-0.032981764503	0.000265791758	0.951120940088	N\A	0.019833771448	0.004667383538	33	6	-0.003048549695	Global Trend	
4250000	434.133597	1	0.434426350044	0.768671484854	-0.026867048382	0.000309015212	0.957844976372	N\A	0.020019314896	0.005171962472	30	4	0.002696283970	Global Trend	
4300000	443.954340	1	0.561940568453	0.808087838300	-0.039396939695	0.000211911261	0.966481336990	N\A	0.015400454683	0.003892926735	40	8	-0.000211047073	Global Trend	
4350000	424.499819	1	0.649043671598	0.784745710452	-0.031732389541	0.000130130191	0.951944483636	N\A	0.019891911532	0.004486045751	48	5	-0.001618930039	Global Trend	
4400000	441.145063	1	0.570234825319	0.787378791405	-0.032525348474	0.000114857227	0.954669724761	N\A	0.019849458768	0.004961324980	41	7	0.000013812607	Global Trend	
4450000	425.304471	1	1.027290789444	0.744653442777	-0.025674719599	0.000278413456	0.952756367874	N\A	0.020274405556	0.004848943966	46	5	-0.003635713176	Global Trend	
4500000	438.577351	1	0.720836025930	0.737133227993	-0.026380454945	0.000356001951	0.955544388408	N\A	0.017082203929	0.004247857361	35	9	-0.002015291700	Global Trend	
4550000	434.576712	1	0.426470248334	0.780097916621	-0.028581707010	0.000273436214	0.956556394828	N\A	0.019916029023	0.005212568905	32	7	0.003504641068	Global Trend	
4600000	448.048378	1	0.622902582717	0.741155184316	-0.023298001814	0.000251040107	0.958191009826	N\A	0.018435697416	0.004633123687	43	8	-0.000342904951	Global Trend	
4650000	448.415268	1	0.678244943253	0.745484832505	-0.022969535358	0.000235325789	0.958357753364	N\A	0.018671782496	0.004630377307	41	11	-0.001568363154	Global Trend	
4700000	448.672969	1	0.737220146426	0.766664980807	-0.028393459500	0.000197450358	0.956444219085	N\A	0.018931342768	0.004198441260	38	10	-0.003500979983	Global Trend	
4750000	421.515709	1	0.659461532571	0.779118895362	-0.032625427311	0.000263656919	0.949965740773	N\A	0.017923944889	0.004330351938	28	7	-0.001494893694	Global Trend	
4800000	421.511393	1	0.359017265713	0.775895112610	-0.035127978612	0.000222916668	0.955389579491	N\A	0.019966036707	0.004508960673	36	6	0.001429191568	Global Trend	
4850000	437.722569	1	0.642554668768	0.755947819304	-0.023747758755	0.000109775662	0.955055388498	N\A	0.020595195095	0.005211373406	47	6	-0.001071491576	Global Trend	
4900000	447.201336	1	0.523405251167	0.794143561021	-0.033898048966	0.000142848684	0.955188128245	N\A	0.019941983488	0.005002755254	45	9	0.000127939537	Global Trend	
4950000	453.834677	1	0.608756089366	0.748428069189	-0.021436849729	0.000099434381	0.961470820208	N\A	0.018945097487	0.004507946142	34	10	-0.000205912168	Global Trend	
5000000	440.491024	1	0.556634183305	0.767009575940	-0.030173609383	0.000178233467	0.956216980622	N\A	0.018595434480	0.004612150908	34	7	0.001531210286	Global Trend	
5050000	430.605163	1	0.616714738648	0.766158032397	-0.025390824848	0.000117963091	0.956035494364	N\A	0.020132407038	0.004976240556	33	6	-0.001168970432	Global Trend	
5100000	447.505982	1	0.713322246961	0.732757214420	-0.023347112443	0.000135034993	0.952891583824	N\A	0.019083522916	0.004488304937	44	9	-0.001226533869	Global Trend	
5150000	431.993366	1	0.587940372186	0.759476341439	-0.030544080245	0.000225339235	0.943764950428	N\A	0.020747153386	0.004637676912	39	4	-0.000196663713	Global Trend	
5200000	448.679144	1	0.540344662851	0.800834874410	-0.035829900469	0.000392945721	0.962512878758	N\A	0.018384626840	0.004653808150	40	10	0.000270700244	Global Trend	
5250000	443.083862	1	0.616091865155	0.772661521767	-0.029941811030	0.000128275285	0.957853140728	N\A	0.018100850480	0.004407081597	51	9	-0.000571754452	Global Trend	
5300000	434.469843	1	0.556840117213	0.748749340689	-0.026255349158	0.000328293763	0.951317740570	N\A	0.018373741587	0.004392052447	49	7	0.001046158533	Global Trend	
5350000	451.044465	1	0.666325857158	0.777956849461	-0.033101253313	0.000238994345	0.959686498262	N\A	0.017404255779	0.004181590020	32	8	-0.002390281733	Global Trend	
5400000	453.601293	1	0.629019699900	0.759130260114	-0.030276473324	0.000287508492	0.962572985332	N\A	0.017959766343	0.004381353272	46	9	-0.000716235902	Global Trend	
5450000	446.528863	1	0.592245911282	0.821278631086	-0.042794219382	0.000115529920	0.955480968400	N\A	0.019450648993	0.004847595562	33	11	-0.000004002400	Global Trend	
5500000	461.012850	1	0.497523976789	0.770758843570	-0.031068488883	0.000333889120	0.962176238115	N\A	0.019453308396	0.004676976010	35	11	0.003548441561	Global Trend	
5550000	440.141620	1	0.528447900619	0.769558215642	-0.030214543557	0.000118963644	0.959140444613	N\A	0.018664709809	0.004623184707	42	6	0.001376568433	Global Trend	
5600000	432.151069	1	0.607846515573	0.805485563351	-0.038947462529	0.000143839722	0.952718869506	N\A	0.019705912147	0.004667700491	35	8	-0.001027871306	Global Trend	
5650000	453.338856	1	0.572673294711	0.801215484247	-0.037059364965	0.000222193377	0.959139991346	N\A	0.018511828661	0.004410878934	40	11	-0.000283648124	Global Trend	
5700000	461.124282	1	0.674824615448	0.772456729169	-0.030068895014	0.000184871592	0.956169504983	N\A	0.019669457771	0.004786940193	42	10	-0.001567591021	Global Trend	
5750000	426.345018	1	0.729315325116	0.769971861961	-0.032540561143	0.000329320236	0.954520691430	N\A	0.018503158210	0.004551509136	31	7	-0.004111302358	Global Trend	
5800000	435.770256	1	0.739263725816	0.775552929036	-0.034349651502	0.000247256117	0.954791246798	N\A	0.018460874235	0.004320525149	36	5	-0.003890226862	Global Trend	
5850000	442.818437	1	0.587411586224	0.798065693269	-0.035192037216	0.000218964573	0.955149581187	N\A	0.018293366506	0.004215201828	37	6	-0.000937555301	Global Trend	
5900000	441.593750	1	0.579994825945	0.805059526331	-0.037984381946	0.000217256119	0.967144008248	N\A	0.017443668542	0.004770024780	46	5	-0.000808857209	Global Trend	
5950000	448.441920	1	0.637245838826	0.792504515043	-0.038044157292	0.000072301580	0.958423925739	N\A	0.018011509270	0.004360177518	45	9	-0.001812367956	Global Trend	
6000000	462.265277	1	0.568461327100	0.809875628049	-0.040436095298	0.000067588858	0.964775934328	N\A	0.014977890609	0.003220650635	43	10	-0.000414435195	Global Trend	
6050000	436.085715	1	0.563037844496	0.769628055250	-0.025125882382	0.000196756347	0.952160180231	N\A	0.021574905815	0.004887239544	45	10	-0.000793331004	Global Trend	
6100000	440.314889	1	0.600257216749	0.756715252138	-0.031219650954	0.000173536936	0.948285352227	N\A	0.019178072674	0.004509565984	47	9	-0.000276299594	Global Trend	
6150000	449.483607	1	0.581804695497	0.761546531796	-0.030237076520	0.000122036547	0.955168596282	N\A	0.019309991597	0.004615981791	38	7	-0.001387496319	Global Trend	
6200000	433.639908	1	0.683259080562	0.766131682716	-0.032430574776	0.000288762659	0.951926255670	N\A	0.020638717350	0.005096867753	35	9	0.004275642459	Global Trend	
6250000	429.339183	1	0.628024210637	0.801066155221	-0.038821120492	0.000136826922	0.950577281012	N\A	0.020406218515	0.004811083142	33	6	0.000179152912	Global Trend	
6300000	418.764624	1	0.719605622648	0.806351601923	-0.039146146248	0.000318665262	0.944638639312	N\A	0.020913148638	0.004893501422	34	8	-0.004075088918	Global Trend	
6350000	454.391617	1	0.648460098421	0.778654064382	-0.027006263226	0.000236810618	0.956555545443	N\A	0.019276715760	0.004378470383	30	14	-0.002177514654	Global Trend	
6400000	436.326843	1	0.561208419091	0.804645876276	-0.036024453824	0.000135707810	0.952191914798	N\A	0.019595476999	0.004285372633	36	8	-0.000031209008	Global Trend	
6450000	447.558020	1	0.551911782057	0.771359009854	-0.030896410385	0.000116032094	0.957767515886	N\A	0.018859862529	0.004253598123	39	11	0.001688147823	Global Trend	
6500000	435.814062	1	0.564910554951	0.784848045350	-0.033689054059	0.000123520283	0.948222065663	N\A	0.020300565133	0.004855381949	42	6	-0.000610177246	Global Trend	
6550000	442.346438	1	0.563698562385	0.776260350343	-0.031252520774	0.000137004406	0.957693595617	N\A	0.017735432364	0.004344117125	35	5	0.000119074551	Global Trend	
6600000	420.814279	1	0.581865816945	0.772051320014	-0.031090638731	0.000159112693	0.941188785316	N\A	0.020478080742	0.004349351519	44	4	0.000377109890	Global Trend	
6650000	438.733713	1	0.582320281686	0.761216716536	-0.030285819742	0.000237295162	0.948190402288	N\A	0.019510138383	0.004328790203	28	10	0.001041693421	Global Trend	
6700000	453.845873	1	0.591066001547	0.744626833015	-0.022890626203	0.000093616121	0.962300607323	N\A	0.016920141702	0.004301018055	46	7	0.000248962240	Global Trend	
6750000	413.831320	1	0.403977299221	0.810573128651	-0.040491425624	0.000382419108	0.951246212512	N\A	0.020513553638	0.005000084055	38	6	0.006233078640	Global Trend	
6800000	439.431321	1	0.599989054173	0.757551181805	-0.028908577183	0.000278855192	0.957846905526	N\A	0.018794609855	0.004477905630	34	9	0.000452472706	Global Trend	
6850000	443.617862	1	0.624243330027	0.750328891716	-0.023340049602	0.000330174165	0.964688212224	N\A	0.018558689351	0.004826060909	35	8	-0.001570975358	Global Trend	
6900000	449.646488	1	0.586877351189	0.770173123447	-0.034819826584	0.000110914915	0.954193574570	N\A	0.018652182316	0.004328005085	34	10	-0.000046930685	Global Trend	
6950000	450.699546	1	0.554188353662	0.775890532890	-0.028906413382	0.000086387098	0.955030529939	N\A	0.019629678788	0.004812977603	40	9	-0.000051513724	Global Trend	
7000000	447.303554	1	0.560168645672	0.785207987309	-0.037719336234	0.000257779932	0.950799287205	N\A	0.020213743104	0.004395633939	34	11	0.001471460530	Global Trend	
7050000	435.636563	1	1.254696618839	0.794977240895	-0.033938254815	0.000182943544	0.958256815068	N\A	0.019178526711	0.004033025229	33	11	-0.002193697113	Global Trend	
7100000	456.005927	1	0.617514970017	0.784123914662	-0.031862138578	0.000186211460	0.958743898444	N\A	0.019651362032	0.004457478364	38	10	-0.000800923455	Global Trend	
7150000	455.254720	1	0.644926396559	0.775440630869	-0.031637161223	0.000119540541	0.961884001633	N\A	0.019037285342	0.004083073172	40	12	-0.000768272931	Global Trend	
7200000	434.638241	1	0.484339499197	0.784046398526	-0.029897315214	0.000208742431	0.951996554319	N\A	0.020474195000	0.004771867744	37	9	0.001931627235	Global Trend	
7250000	441.910234	1	0.589786835641	0.803780487286	-0.038376238324	0.000288909353	0.952435006302	N\A	0.019995465976	0.004675641216	38	7	0.000091287030	Global Trend	
7300000	449.259561	1	0.582440868303	0.752295849038	-0.026290139143	0.000114954960	0.956599697761	N\A	0.019706119630	0.004962923617	42	9	0.000407281997	Global Trend	
7350000	428.246656	1	0.493490701172	0.786127142757	-0.031876333216	0.000164867968	0.950543523048	N\A	0.021512010752	0.005256670576	48	7	0.001018351269	Global Trend	
7400000	433.321926	1	0.616587344959	0.793771343501	-0.037383064796	0.000138823546	0.948646687639	N\A	0.019215608125	0.004295082318	38	6	-0.000904706098	Global Trend	
