Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MED_d1_m8-VR-005.txt
Log File Name:                   MED_d1_m8-VR-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1932368563
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MED_d1_m8-VR-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
3800000	595.394935	1	-0.343811024595	0.741324049494	-0.028998211865	0.238304407435	0.000004823417	0.984209811947	N\A	0.039488117291	0.005621302181	0.017640342767	51	27	
3850000	593.120962	1	-0.450030891044	0.792662446835	-0.029121777964	0.205472391435	0.000029906782	0.979801847768	N\A	0.037885502268	0.004179965827	0.016947356896	36	26	
3900000	623.978102	1	-0.425658810423	0.800661325062	-0.040554202773	0.234663486963	0.000011097870	0.987650703025	N\A	0.029365513161	0.003078810792	0.014918280403	41	39	
3950000	598.324037	1	-0.329953650034	0.731886730173	-0.025067173322	0.228109223592	0.000007677327	0.979217270151	N\A	0.038399943854	0.004377701855	0.016598803777	50	34	
4000000	608.796018	1	-0.504331600776	0.851279524054	-0.042871081513	0.209382717794	0.000017426071	0.981853971257	N\A	0.032022008499	0.002973294072	0.013355697526	51	27	
4050000	609.219095	1	-0.345779543355	0.746471818937	-0.029772193007	0.233210514392	0.000003822938	0.980534902057	N\A	0.038092413733	0.004151172525	0.015188775362	40	29	
4100000	599.004615	1	-0.583165799165	0.888735166888	-0.042020135551	0.192942019280	0.000003380680	0.980457856191	N\A	0.036481809727	0.004098503740	0.015789079307	46	22	
4150000	608.242023	1	-0.395512673523	0.784211763102	-0.035404993747	0.222351831315	0.000013966883	0.980220695399	N\A	0.036197071492	0.003968025192	0.014365426655	52	29	
4200000	602.225050	1	-0.320613384262	0.724394409020	-0.026149231621	0.229004839522	0.000006816062	0.978701088414	N\A	0.036200794893	0.003996621766	0.015570354940	38	18	
4250000	596.615539	1	-0.508268263764	0.830727546059	-0.035934554593	0.204553125916	0.000008081291	0.981220331570	N\A	0.035453598098	0.004467895371	0.017561016559	54	30	
4300000	605.492294	1	-0.385985063295	0.770868751580	-0.036318853741	0.242913504923	0.000004250678	0.983685448789	N\A	0.035771093249	0.003970547394	0.014113408162	54	37	
4350000	621.053417	1	-0.396701953655	0.777645914271	-0.029322995298	0.199453073261	0.000010864811	0.984751985262	N\A	0.032899717256	0.003732489859	0.015146802920	43	37	
4400000	609.237975	1	-0.541947976606	0.866781414069	-0.036218073818	0.179107525704	0.000011406993	0.981443784111	N\A	0.037187942870	0.004439234248	0.016241107418	36	27	
4450000	610.770701	1	-0.378434903479	0.760194044113	-0.033665170276	0.236725405540	0.000008332940	0.983201394221	N\A	0.033527195416	0.003378833011	0.013653843943	52	31	
4500000	629.223549	1	-0.387489058583	0.779331666334	-0.036106876905	0.228011315923	0.000007162844	0.982641884728	N\A	0.031822199550	0.003387357640	0.013506824797	48	38	
4550000	599.436066	1	-0.387250322853	0.775703899923	-0.034068933742	0.226766126524	0.000008931049	0.978540949382	N\A	0.038478573735	0.004116810480	0.016358724125	48	30	
4600000	606.689005	1	-0.405756136580	0.770044923815	-0.035987006246	0.241561834033	0.000005176375	0.982887131740	N\A	0.037639783909	0.003892400602	0.014947931089	50	28	
4650000	588.236600	1	-0.483240452341	0.833692131512	-0.039229575482	0.210168614821	0.000005145068	0.980349891664	N\A	0.034629962099	0.003790733708	0.015238712953	49	27	
4700000	614.454975	1	-0.414382069234	0.770304503078	-0.029344790594	0.214589231298	0.000012012192	0.979401389133	N\A	0.037741827443	0.004067166427	0.016642719092	36	28	
4750000	608.525758	1	-0.540026687692	0.860486730256	-0.038962579537	0.190334495859	0.000041629548	0.981054013096	N\A	0.034831390096	0.003625755302	0.015544123923	48	26	
4800000	603.710898	1	-0.488925696890	0.825891019942	-0.039639060226	0.223478993065	0.000056346384	0.984149913126	N\A	0.037537329244	0.004075330110	0.016316617178	54	35	
4850000	600.372505	1	-0.285656763523	0.719177803037	-0.023942423629	0.215134364565	0.000058896196	0.980504617000	N\A	0.035233565299	0.003982592293	0.015427203652	59	29	
4900000	603.201692	1	-0.442638655545	0.798128187904	-0.034405342993	0.221251996357	0.000045609883	0.988009119490	N\A	0.033631202741	0.004143112665	0.015327353668	46	29	
4950000	609.961520	1	-0.454256707721	0.798553151890	-0.036385425157	0.229293988556	0.000090958047	0.982536855802	N\A	0.034675662686	0.003867013961	0.014916270410	44	29	
5000000	612.231159	1	-0.355236613412	0.754926117380	-0.031148279793	0.223915595465	0.000043218392	0.980818803764	N\A	0.036071519958	0.003848128223	0.015236801550	51	27	
5050000	603.536439	1	-0.458376187765	0.813782046242	-0.039745124669	0.234275203737	0.000020566808	0.983882528708	N\A	0.034307116373	0.003233962939	0.014211481890	40	35	
5100000	585.234932	1	-0.502192959764	0.850239328679	-0.035961607291	0.178846443946	0.000023015589	0.975950152152	N\A	0.036910227703	0.004211000746	0.016473056241	37	22	
5150000	609.547959	1	-0.556519449778	0.878938147321	-0.044841183666	0.208978833716	0.000013768952	0.982412900422	N\A	0.035539144828	0.003978317212	0.016052266542	49	29	
5200000	592.777306	1	-0.206513260511	0.671385294144	-0.024605051559	0.252282375659	0.000004197715	0.977588061256	N\A	0.039274143240	0.004191647928	0.015675220160	37	23	
5250000	621.196375	1	-0.403133282752	0.798884708206	-0.036677091372	0.214931053470	0.000005665935	0.980481581055	N\A	0.034168118889	0.004037213428	0.015581938766	56	22	
5300000	593.852737	1	-0.460920393162	0.823266114185	-0.033651165555	0.190327377776	0.000004241484	0.981354192482	N\A	0.038935373839	0.004677543207	0.017376474862	41	23	
5350000	591.198263	1	-0.417152528049	0.801548059040	-0.036282236339	0.219674240648	0.000007098345	0.985095559242	N\A	0.033212921872	0.004027089443	0.017104919491	49	31	
5400000	601.235141	1	-0.438255384824	0.795995183592	-0.020974382949	0.156915154658	0.000010689470	0.979535867403	N\A	0.036180911839	0.004598185419	0.016823231440	52	36	
5450000	598.696846	1	-0.367610926338	0.769185290376	-0.036029276956	0.233122598461	0.000012693346	0.977763088442	N\A	0.039245139818	0.004070211455	0.015807086756	49	25	
5500000	587.826217	1	-0.458041964808	0.809622004234	-0.034273942545	0.205867276586	0.000015472988	0.978570279205	N\A	0.038424429666	0.004393567110	0.016121227561	55	26	
5550000	609.429877	1	-0.488442717396	0.828876803404	-0.038938501509	0.216326012966	0.000011832563	0.980882639907	N\A	0.035016114077	0.004177137966	0.015983743773	42	28	
5600000	616.481507	1	-0.462867537822	0.822035633961	-0.039512997233	0.222614048044	0.000013608067	0.989572007740	N\A	0.034867381700	0.004111368046	0.011184056748	49	29	
5650000	597.384966	1	-0.401668672414	0.785422361850	-0.034933100218	0.221818663867	0.000007390822	0.981024242907	N\A	0.036017416755	0.004071506799	0.014941949850	49	23	
5700000	586.516369	1	-0.449562650630	0.820035619015	-0.042239916584	0.228862309872	0.000015178231	0.980307131571	N\A	0.032575031399	0.003101320126	0.013339679888	53	34	
5750000	599.454048	1	-0.401838163531	0.779535718870	-0.034121958962	0.231763027925	0.000015773966	0.984718124503	N\A	0.035619579761	0.004677905921	0.016363723688	50	26	
5800000	602.908939	1	-0.465341627452	0.814346806805	-0.034040632026	0.196902344775	0.000036182393	0.979969972690	N\A	0.034953102596	0.003605201501	0.015538788320	56	23	
5850000	600.009271	1	-0.363691199400	0.763606342450	-0.036955507758	0.245731156115	0.000054619864	0.978180293800	N\A	0.035228370785	0.004070729244	0.015665346253	48	22	
5900000	597.180625	1	-0.485108154751	0.821469580197	-0.035667836199	0.201783629231	0.000056538002	0.983986390851	N\A	0.036898676034	0.004214760670	0.015237578739	53	24	
5950000	589.277976	1	-0.326583050320	0.746759656861	-0.034180283360	0.241001735623	0.000091032680	0.980711658612	N\A	0.040591167082	0.004597410010	0.017445018610	42	24	
6000000	612.830406	1	-0.496561032827	0.846012334303	-0.045141584787	0.226103836314	0.000038062815	0.981517080481	N\A	0.033879522626	0.003443947528	0.013904296533	55	30	
6050000	608.312575	1	-0.446568228855	0.780052737069	-0.028824054156	0.214489169033	0.000041161544	0.994357373974	N\A	0.034276800318	0.004328597112	0.015507414525	38	34	
6100000	602.684090	1	-0.510697440403	0.844600092981	-0.040752277347	0.209643484324	0.000066675640	0.978787126600	N\A	0.038899036237	0.004288232802	0.016746666482	45	24	
6150000	607.370197	1	-0.572377692025	0.890757355878	-0.043426811271	0.193884843638	0.000036358796	0.982790391696	N\A	0.034482464813	0.004540941673	0.016115414619	49	24	
6200000	596.658365	1	-0.378637835121	0.759912974344	-0.025906212601	0.215027602371	0.000058030654	0.987480881023	N\A	0.035754302288	0.004838053758	0.016593104923	34	24	
6250000	621.569677	1	-0.395444771922	0.767484461905	-0.028120379578	0.213492131119	0.000048452014	0.984987170975	N\A	0.031153278661	0.004216057094	0.015342020990	38	24	
6300000	604.347808	1	-0.330500908032	0.728843695973	-0.026352098700	0.229483337106	0.000050344294	0.981949918093	N\A	0.036637800025	0.003961530108	0.015300200856	46	29	
6350000	607.777044	1	-0.426812012860	0.789150581133	-0.032342908906	0.218149528695	0.000047573951	0.980912965166	N\A	0.036941378064	0.003842448458	0.015546024732	56	26	
6400000	600.248813	1	-0.369297285287	0.754743372593	-0.029835138363	0.230942443364	0.000061542183	0.984459577348	N\A	0.038203780746	0.004691812113	0.016481129493	41	28	
6450000	603.910257	1	-0.466061659269	0.817943112072	-0.039164175776	0.216608868109	0.000047630269	0.983572067204	N\A	0.032104544445	0.002749876548	0.012449962546	46	31	
6500000	599.179694	1	-0.426494188277	0.811238702612	-0.039977403157	0.234015120943	0.000063416931	0.980375689955	N\A	0.036656550636	0.004116072788	0.015585880367	45	30	
6550000	606.732602	1	-0.415115667164	0.810679935525	-0.037259548528	0.209035183767	0.000060622813	0.982662719690	N\A	0.036219295492	0.004025967299	0.016417643458	38	35	
6600000	594.729376	1	-0.389719819717	0.782679324332	-0.025376801326	0.192835827900	0.000056279387	0.980338987248	N\A	0.036188379908	0.004624777100	0.016918793988	64	26	
