Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  HIP_d1_m5-glob-004.txt
Log File Name:                   HIP_d1_m5-glob-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2356507777
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   HIP_d1_m5-glob-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.233350
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.70 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
5700000	464.600075	1	-1.003670082989	1.069380043296	-0.028841371755	0.000121356833	0.964266558026	N\A	0.031768382115	0.004857113751	48	9	0.004981974473	Global Trend	
5750000	460.480547	1	-0.922546761933	1.026381198403	-0.024116842137	0.000095950339	0.999067062967	N\A	0.002724262671	0.001959434391	46	8	0.084913144030	Global Trend	
5800000	479.361185	1	-0.973740544882	1.012986922959	-0.021389904139	0.000103009152	0.982051745552	N\A	0.011001630135	0.002404998174	40	6	0.015627127596	Global Trend	
5850000	458.397501	1	-1.014411389346	1.089892537119	-0.030570803346	0.000120959275	0.968204013175	N\A	0.022194408473	0.003783947029	39	5	0.007737185910	Global Trend	
5900000	467.184248	1	-0.903216306067	1.029951485262	-0.022693837547	0.000128875968	0.996834163063	N\A	0.003984493865	0.002005229513	41	6	0.055468005762	Global Trend	
5950000	469.666811	1	-0.897897184000	1.024257680871	-0.024038595833	0.000006082792	0.999997555067	N\A	0.001901316920	0.001907010150	52	6	0.085801649501	Global Trend	
6000000	470.626979	1	-0.888779013350	1.021824684387	-0.023058127496	0.000018879821	0.999886549266	N\A	0.001795765483	0.001647391168	44	6	-0.044793096925	Global Trend	
6050000	459.017202	1	-0.937268109050	1.025059444906	-0.025201805750	0.000036885646	0.999994297356	N\A	0.001826293125	0.001824983292	39	8	0.298063949371	Global Trend	
6100000	479.079234	1	-0.912557800821	1.027788296603	-0.022210326950	0.000014878038	0.993971195519	N\A	0.005600920484	0.001779363346	44	10	0.004499882406	Global Trend	
6150000	469.628226	1	-0.929123790448	1.018099466643	-0.019076135734	0.000140148910	0.999779632453	N\A	0.002144483798	0.001834087101	33	7	-0.304209578010	Global Trend	
6200000	450.444782	1	-1.015989260977	1.068740710587	-0.027234243046	0.000185090910	0.955799312927	N\A	0.043261930316	0.006798497105	36	5	0.003261865960	Global Trend	
6250000	474.215099	1	-0.953081650257	1.024723206761	-0.025043716762	0.000091372137	0.999938497388	N\A	0.001754110832	0.001720954498	50	5	0.321012884393	Global Trend	
6300000	464.443398	1	-0.965246356708	1.023081997325	-0.022386789102	0.000108006311	0.999956511270	N\A	0.001809106975	0.001771578304	42	8	-0.372286173084	Global Trend	
6350000	470.251594	1	-0.860987520961	1.030654262929	-0.024323593110	0.000159984626	0.996036011742	N\A	0.004380317194	0.001928417048	25	8	0.093940215376	Global Trend	
6400000	462.123702	1	-0.892950388804	1.036009164332	-0.023504716819	0.000178581933	0.992773244504	N\A	0.006174418942	0.002035571593	46	6	0.053803771764	Global Trend	
6450000	462.435631	1	-0.925957432570	1.017855552874	-0.020886401074	0.000115714164	0.997338827429	N\A	0.004194172974	0.002085653241	40	2	-0.056361979128	Global Trend	
6500000	466.084270	1	-0.961507863259	1.022944095719	-0.023373064163	0.000079890682	0.999953466782	N\A	0.001808449106	0.001782596566	46	9	0.319972954015	Global Trend	
6550000	470.964431	1	-0.999571048951	1.071399108270	-0.030750620960	0.000133853745	0.957815474063	N\A	0.039577892179	0.006395925281	40	7	0.003382892819	Global Trend	
6600000	458.453156	1	-1.129303199008	1.133325530562	-0.041510584421	0.000132804947	0.964044831402	N\A	0.042267887681	0.006832084234	41	5	-0.000345738009	Global Trend	
6650000	459.925816	1	-0.973743241227	1.040740544909	-0.023404392516	0.000073773337	0.965931682393	N\A	0.021194411685	0.003581810256	37	6	0.005312751711	Global Trend	
6700000	482.912736	1	-0.907195718313	1.018204729304	-0.021600932883	0.000069277534	0.998867352446	N\A	0.002803384356	0.001752900127	47	8	-0.062250151288	Global Trend	
6750000	464.179951	1	-0.960791758895	1.022687572551	-0.021066937152	0.000100266931	0.998524112226	N\A	0.002985834790	0.001857913276	40	6	0.062025132694	Global Trend	
6800000	467.878023	1	-1.138563737169	1.023683907655	-0.022223484194	0.000127591427	0.999742581339	N\A	0.002308603616	0.002033820716	43	9	-0.192329226008	Global Trend	
6850000	473.533560	1	-0.708516668834	1.021346302790	-0.024031487150	0.000198990688	0.999518941909	N\A	0.002237182600	0.001711985374	39	9	-0.244779220217	Global Trend	
6900000	465.133138	1	-1.510434435011	1.033565205224	-0.028109487197	0.000116507120	0.993038288288	N\A	0.005873293793	0.002067145642	35	9	0.033833438682	Global Trend	
6950000	472.616799	1	-0.974152330908	1.061685919477	-0.030489183531	0.000101151799	0.956987383556	N\A	0.033986697500	0.005534240698	32	4	0.003715027327	Global Trend	
