Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MED_d1_m7-glob-004.txt
Log File Name:                   MED_d1_m7-glob-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1780848424
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MED_d1_m7-glob-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.275310
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	Global Trend	
4600000	613.792325	1	-0.132314138834	0.583620356567	0.250843274367	-0.011375740167	0.000056487134	0.979455724306	N\A	0.026397552711	0.023649810946	0.002770025995	42	2	-0.000035429091	Global Trend	
4650000	627.544795	1	-0.109907791503	0.580443140788	0.263884108526	-0.011659443275	0.000078334272	0.983539973248	N\A	0.027463975406	0.023342126166	0.002554404929	41	1	-0.001130535454	Global Trend	
4700000	594.441413	1	-0.155033990977	0.584060274613	0.274166551884	-0.012700674876	0.000054171499	0.982047533593	N\A	0.027071243750	0.024743861414	0.003042393149	37	1	-0.000672604108	Global Trend	
4750000	604.893485	1	-0.078736657928	0.537019949412	0.317435695219	-0.017568305937	0.000097422711	0.979305750302	N\A	0.027454564947	0.023683189028	0.002961427502	33	4	-0.000180982382	Global Trend	
4800000	608.843596	1	0.086620136622	0.500683361948	0.309784525853	-0.013607362817	0.000099170695	0.979427636994	N\A	0.025679790139	0.022279358249	0.002708208591	43	3	-0.001870696248	Global Trend	
4850000	605.570893	1	-0.045589192523	0.602412040650	0.240555402954	-0.007101360775	0.000218651847	0.980746937192	N\A	0.025233070816	0.022159193116	0.002764309823	39	3	-0.005053022341	Global Trend	
4900000	621.680854	1	-0.175973977183	0.607400146954	0.245518285752	-0.010835239433	0.000050103108	0.980663515545	N\A	0.026536975177	0.023479350187	0.002987675855	46	4	0.000438107851	Global Trend	
4950000	613.497698	1	-0.250352086454	0.647376008237	0.229994644388	-0.012672148272	0.000038101612	0.988524130435	N\A	0.024906968602	0.020646068347	0.002320841769	42	5	-0.000139065695	Global Trend	
5000000	614.769492	1	-0.162017736831	0.589661285432	0.268318836322	-0.013250707873	0.000031045295	0.984295181377	N\A	0.024364860002	0.021955333558	0.002819490975	43	3	-0.000371501931	Global Trend	
5050000	614.121339	1	-0.200437748984	0.615824827463	0.262489763091	-0.017523247303	0.000043519099	0.983603414302	N\A	0.023130133768	0.020333073526	0.002593187692	43	3	-0.000469381860	Global Trend	
5100000	620.084343	1	-0.210449184204	0.618379811484	0.224891202792	-0.006955105651	0.000090145201	0.981896032661	N\A	0.026065828143	0.023215209533	0.002993768606	35	6	-0.000349822614	Global Trend	
5150000	622.201997	1	-0.296632572364	0.703515811132	0.184721219408	-0.009590344465	0.000051058281	0.982951105989	N\A	0.024055578447	0.021765711025	0.002484270855	43	7	-0.002776072203	Global Trend	
5200000	628.751758	1	-0.143573333781	0.605081744090	0.245642051458	-0.011148504828	0.000042478652	0.984789959517	N\A	0.022732844858	0.021124512966	0.002688942639	41	7	0.000234524818	Global Trend	
5250000	618.375340	1	-0.196164313995	0.625662672386	0.239352641468	-0.014185242177	0.000069413963	0.981023561670	N\A	0.024635214886	0.021651036757	0.002708233903	30	4	0.000937300299	Global Trend	
5300000	620.235309	1	-0.160049971203	0.583499012109	0.271344459913	-0.014606769592	0.000051192934	0.982426191878	N\A	0.026237338599	0.023185631880	0.002639650445	38	2	-0.000122667312	Global Trend	
5350000	614.037612	1	-0.117108518492	0.567949431822	0.276036724302	-0.011027956991	0.000052860584	0.981827449585	N\A	0.025448010441	0.022557433905	0.002528688077	35	4	-0.000136377166	Global Trend	
5400000	630.630052	1	-0.170035181350	0.594126687523	0.266470685480	-0.014831928140	0.000071340564	0.984165845539	N\A	0.023167435610	0.019812521226	0.002664901633	34	4	0.000237089021	Global Trend	
5450000	598.143356	1	-0.223529201361	0.666657899384	0.171236590633	-0.004697999224	0.000108952328	0.976818309159	N\A	0.025881220212	0.023314540146	0.002975734361	35	6	-0.001998710548	Global Trend	
5500000	620.600342	1	-0.099287092002	0.647652692137	0.199309804840	-0.004407592689	0.000124202359	0.982662545646	N\A	0.025726114193	0.023322056539	0.003089174948	40	6	-0.007196992392	Global Trend	
5550000	628.392490	1	-0.301418805812	0.687632316621	0.196208442317	-0.008719520891	0.000069669357	0.993618063166	N\A	0.024661792194	0.019538617991	0.002256402235	54	4	-0.001211284653	Global Trend	
5600000	603.185545	1	-0.102204207340	0.562508186396	0.279525507772	-0.012234586219	0.000068075145	0.979713917971	N\A	0.027364239841	0.024029620809	0.002787124548	31	2	-0.000358965187	Global Trend	
5650000	605.168783	1	0.027260323141	0.483395463100	0.339880524008	-0.018066572690	0.000049200963	0.979493391622	N\A	0.024053868477	0.021320538747	0.002514839943	36	2	0.000090546316	Global Trend	
5700000	607.367967	1	-0.130155497848	0.578625894051	0.253837692415	-0.010781126356	0.000066811341	0.977868149722	N\A	0.027452736144	0.024191798720	0.002700718129	39	3	-0.000324359341	Global Trend	
5750000	608.046756	1	-0.186886336506	0.605762359232	0.232126182895	-0.008896553750	0.000059718596	0.980383763705	N\A	0.026922445864	0.024292976438	0.002949859096	34	2	-0.000005692687	Global Trend	
5800000	624.865150	1	-0.212507759866	0.613297886233	0.244880512611	-0.012839878046	0.000053156406	0.981012201717	N\A	0.026662752619	0.024042595365	0.002967074888	29	4	0.000080462919	Global Trend	
5850000	611.034258	1	-0.258986646439	0.608983570979	0.251410372581	-0.011179042146	0.000107414099	0.982660911660	N\A	0.023582224611	0.021571248848	0.002625075319	45	6	0.000835454297	Global Trend	
5900000	610.069605	1	-0.086552514310	0.579508067286	0.257673658253	-0.011955309197	0.000038736178	0.980255610485	N\A	0.025877715828	0.022594752510	0.002386153752	41	4	-0.000228589563	Global Trend	
5950000	629.587808	1	-0.397716117880	0.723295044794	0.192816020696	-0.014366974022	0.000035008322	0.985537685758	N\A	0.023450185791	0.020726746627	0.002710835201	48	4	-0.000547456642	Global Trend	
6000000	611.393437	1	-0.105106282646	0.603988717820	0.252901720725	-0.013205209553	0.000039369761	0.981720601219	N\A	0.025058139380	0.022055209932	0.002646333075	29	4	-0.001436001921	Global Trend	
6050000	619.564742	1	-0.261855745054	0.626303707504	0.246690332710	-0.014121722880	0.000089923911	0.984797014564	N\A	0.024927689789	0.022073296354	0.002401532481	43	5	0.000478744026	Global Trend	
6100000	609.391684	1	-0.045254010220	0.540804736162	0.297891596875	-0.014536597194	0.000112737900	0.982778178689	N\A	0.026130245545	0.022247457910	0.002836077189	37	2	-0.000563381628	Global Trend	
6150000	631.567129	1	-0.072582411280	0.558388990527	0.296387405167	-0.014977750876	0.000107598312	0.987094856001	N\A	0.024782154017	0.019299384793	0.002547651146	42	7	-0.002190657828	Global Trend	
6200000	620.172954	1	-0.068927528208	0.534845761175	0.307794639180	-0.014288440284	0.000111213389	0.984600767075	N\A	0.025542700719	0.021710472456	0.002659976732	39	4	0.000042004184	Global Trend	
6250000	615.734488	1	-0.112089786631	0.587676001045	0.246218597565	-0.010139827613	0.000051494162	0.981531648270	N\A	0.026701615492	0.023535440476	0.002926343640	39	2	-0.000105886083	Global Trend	
6300000	618.100221	1	-0.100575051262	0.570635576910	0.250806629750	-0.008709170793	0.000050243300	0.985407342614	N\A	0.023674780544	0.020756885875	0.002603912355	42	3	-0.000152974209	Global Trend	
