Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SEP_d1_m9-VR-004.txt
Log File Name:                   SEP_d1_m9-VR-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4060266799
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SEP_d1_m9-VR-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
3150000	534.373151	1	-1.855407473962	1.093786106072	-0.032679136941	0.009802821926	0.002011075245	0.000118798373	0.976453276942	N\A	0.056357936507	0.008092741275	0.030400061975	0.005512912532	48	28	
3200000	535.524275	1	-1.805601545069	1.039179718466	-0.026992015765	0.043254549437	-0.003675532653	0.000114159184	0.974667478569	N\A	0.089385391707	0.012686597611	0.037580048219	0.006727768906	51	26	
3250000	532.141804	1	-2.273100955137	1.392510503334	-0.065367525567	-0.127767360297	0.019300025590	0.000106644676	0.974398762555	N\A	0.076372670998	0.010381425303	0.035768302842	0.006164717773	41	32	
3300000	537.460176	1	-1.914439296012	1.131654664793	-0.039534379300	0.006417549039	0.002909739780	0.000079826425	0.972343262675	N\A	0.084218964508	0.012763977783	0.035576248456	0.006897111737	56	27	
3350000	547.635781	1	-1.889707523276	1.115942871738	-0.047380545972	0.045787558625	0.003831625551	0.000074982549	0.975886089864	N\A	0.083634393813	0.012494702712	0.034761990842	0.006747941655	40	22	
3400000	550.239217	1	-1.870271123283	1.099678358516	-0.041163796496	0.043354365109	0.001276067436	0.000072966073	0.975167815397	N\A	0.080970600778	0.011317017436	0.035518913858	0.006466258808	46	21	
3450000	557.643668	1	-1.869267490215	1.145994924116	-0.045416011401	-0.001525141879	0.006796923614	0.000053441916	0.974220493853	N\A	0.077773969257	0.011639988811	0.033250786643	0.006508708421	51	25	
3500000	533.695181	1	-1.715773170779	0.974155061665	-0.017797762149	0.038834394016	-0.001838344725	0.000062892298	0.973456645136	N\A	0.079475284815	0.011464034114	0.035743766302	0.006682101002	42	31	
3550000	540.863099	1	-1.773003260754	1.025827369939	-0.032855914832	0.088931272103	-0.005840350565	0.000074745699	0.988260177020	N\A	0.082614457632	0.012411347794	0.036334292110	0.007259083097	52	28	
3600000	542.610910	1	-1.759989924432	1.017509200893	-0.027525678796	0.068348558190	-0.006324098960	0.000073889296	0.971335964707	N\A	0.093072588736	0.012700271565	0.040318531238	0.007274875902	43	17	
3650000	538.376632	1	-2.057187417527	1.298168456470	-0.072002393017	-0.049882081678	0.022597524744	0.000050177579	0.977447617076	N\A	0.078937429859	0.011633479703	0.034164859669	0.006516104388	41	28	
3700000	532.528976	1	-1.902257994167	1.127591314846	-0.035173082735	-0.000837415252	-0.000562826376	0.000052353616	0.977415878580	N\A	0.073847634877	0.010739582443	0.033350102451	0.006342546561	40	27	
3750000	533.299661	1	-1.679204986783	0.931953111903	-0.004508877112	0.073574702470	-0.017387654587	0.000081904931	0.973937225895	N\A	0.081842083055	0.011655361958	0.036820109386	0.006731490000	42	24	
3800000	542.682448	1	-1.885864781898	1.092490719786	-0.031309945422	0.006997956768	0.000796233108	0.000066571247	0.974425863419	N\A	0.081780951900	0.011918101669	0.035313902841	0.006797474649	41	20	
3850000	534.225481	1	-1.835104673926	1.060352408963	-0.023192666893	0.047134474710	-0.011983371918	0.000032563404	0.976771042175	N\A	0.072133050431	0.009997939648	0.033138112610	0.005833357590	42	31	
3900000	553.393249	1	-1.968647326470	1.184549402918	-0.043853876745	-0.016082006846	0.003230015340	0.000056112245	0.978005288889	N\A	0.070365595090	0.009534552176	0.029662803686	0.005327375207	42	29	
3950000	540.732349	1	-1.929562496398	1.180649441501	-0.058719648480	0.009791407537	0.012860367639	0.000098962782	0.974953033892	N\A	0.074703522730	0.011768173592	0.033181765775	0.006726435139	48	25	
4000000	555.615281	1	-2.003072845931	1.214362960670	-0.055607553755	-0.029334548822	0.014027581823	0.000079917159	0.978078107442	N\A	0.078645415016	0.011436557634	0.034807095140	0.006434851638	42	27	
4050000	536.575053	1	-1.766208478411	1.041554695045	-0.039109974690	0.062253923795	0.003745207017	0.000074284977	0.975117717427	N\A	0.082845929952	0.011516636443	0.038168190465	0.006928049315	45	19	
