Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SCH_d1_m7-fab-002.txt
Log File Name:                   SCH_d1_m7-fab-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            398729887
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SCH_d1_m7-fab-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.179389
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
3600000	480.538493	1	-1.506637180297	1.017799287024	0.014222011910	-0.013051818056	0.000094833757	0.964297645587	N\A	0.037927935466	0.035090545563	0.004413643983	33	7	
3650000	478.429096	1	-1.592771560640	1.060229980292	-0.034891955376	-0.006026822453	0.000104764913	0.971934175427	N\A	0.031791206526	0.029103937946	0.003784950739	25	8	
3700000	472.778781	1	-1.334362872062	0.887088267190	0.141637914357	-0.021826933908	0.000088369213	0.961882058503	N\A	0.038973129260	0.033607372106	0.003944634593	32	3	
3750000	483.113502	1	-1.448061303036	0.987646977585	0.022044809374	-0.008678849569	0.000134019077	0.961990407683	N\A	0.037362119322	0.033657750493	0.003894081291	40	6	
3800000	471.110450	1	-1.442380745669	0.972118750819	0.071505517182	-0.019293440778	0.000112152424	0.957950558337	N\A	0.043127554820	0.036685983301	0.004117689077	30	2	
3850000	466.781262	1	-1.556424638262	1.035286306204	0.018083964089	-0.017222267393	0.000124809817	0.963352643462	N\A	0.040761748099	0.036318501888	0.004043015669	33	1	
3900000	467.712973	1	-1.619107287056	1.091052882982	-0.029777496466	-0.012705826716	0.000034572047	0.961767065206	N\A	0.040311693224	0.036305246462	0.004365483118	40	3	
3950000	482.168925	1	-1.351951011426	0.909710106732	0.118500670134	-0.019723713632	0.000089527034	0.971428000111	N\A	0.036402422956	0.028212721684	0.003291210393	40	2	
4000000	476.502838	1	-1.430282674479	0.961331725401	0.066924628845	-0.015587329234	0.000106914568	0.964295294364	N\A	0.036014457323	0.032823855764	0.003923443253	34	4	
4050000	476.990500	1	-1.719458618335	1.006821318831	0.062156272608	-0.022548063115	0.000199471973	0.962666233900	N\A	0.038530190031	0.034816737023	0.004176293048	40	6	
4100000	477.499726	1	-1.451894315688	0.954777013260	0.117123776630	-0.024325147395	0.000118787914	0.968064789246	N\A	0.038255594905	0.031790022834	0.003543447509	38	5	
4150000	456.961251	1	-1.332682050507	0.917828462337	0.077065480607	-0.014515163973	0.000140860871	0.960150228007	N\A	0.038848035184	0.035909190494	0.003902408602	38	3	
4200000	466.728884	1	-1.461831526914	0.954530284142	0.093730731479	-0.020514328458	0.000018630004	0.960646855393	N\A	0.040227636283	0.035346479983	0.004236582348	37	6	
