Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  AMY_d1_m2-fab-005.txt
Log File Name:                   AMY_d1_m2-fab-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3717862612
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   AMY_d1_m2-fab-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.287140
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	
2700000	384.709443	1	-0.082355915624	0.504522411452	1.216815343846	1.270822880270	0.220898204007	1.424976596769	1.319956920805	0.069143664485	0.108945473424	0.023301812228	0.009434398850	-0.026002633952	0.000175146142	0.916587278425	N\A	0.040519166799	0.174309243620	0.156682425025	0.168346456280	0.159091068612	0.218505325834	0.046897046440	0.044492754807	0.047286536855	0.047034872780	0.045391341735	26	10	
2750000	384.531955	1	-0.278025652592	0.819838593138	1.930415257070	1.977370398200	1.013933331515	2.035404872472	0.961548919519	-0.238634012419	-0.184667212030	-0.303080989834	-0.292754420309	-0.359237412097	0.000304678418	0.916556917687	N\A	0.054603952239	0.203679183393	0.192421589739	0.198503182122	0.201882532156	0.287435414947	0.059371985655	0.057099896779	0.058441458326	0.062748560723	0.059148102973	37	8	
2800000	385.044222	1	0.131789467635	0.577725282072	1.641637085664	1.417953008881	0.408155448709	1.718603714505	0.674274405494	-0.068748153270	0.089132259758	-0.063231378797	-0.089467741259	-0.100058446135	0.000231849962	0.909939972565	N\A	0.062146132857	0.215342707406	0.195895044072	0.204511913328	0.202785682387	0.262028940034	0.066421872396	0.064543828406	0.066680567558	0.070578577663	0.065400531462	30	8	
2850000	401.599897	1	0.572516260592	0.638642293894	1.721194361685	1.515859228524	0.720765185203	1.595932978576	0.341664252699	-0.083808046669	-0.028614966807	-0.141895718209	-0.071584855370	-0.197941328750	0.000193876216	0.931397139662	N\A	0.057187737131	0.187144922127	0.171669993085	0.173241968458	0.174976798000	0.233068751884	0.060994284583	0.059736820842	0.058963404965	0.062698978191	0.060226749935	30	13	
2900000	403.194047	1	-0.147150891722	0.676799531876	1.823787172072	1.716252636085	0.731213713166	1.670022681118	1.664926349647	-0.156002053150	-0.033093192489	-0.108694615551	-0.143723156176	-0.233852541742	0.000403808161	0.927299676248	N\A	0.057293934729	0.208259201416	0.194137618378	0.211641093816	0.197065906068	0.314430987040	0.060595946201	0.059170797854	0.064098149159	0.062265467050	0.060548356477	40	13	
2950000	393.483605	1	0.301573058003	0.770681918708	0.943928610917	0.926418371172	0.581599359946	0.961583983549	0.295616607289	-0.213010231981	-0.143221497944	-0.270999629652	-0.261390597082	-0.274854411885	0.000280247231	0.931055255918	N\A	0.051666401749	0.216722238212	0.194493766493	0.198759530242	0.200680938946	0.271106882416	0.057218944645	0.054078429980	0.054204187710	0.059813158543	0.053823990281	29	10	
3000000	389.854377	1	0.197346392594	0.603985693453	0.430527329378	0.353603619147	0.550712554363	0.786949353352	0.353439394684	-0.049894338529	0.059901010572	-0.031597745159	-0.021592344955	-0.132722322106	0.000191933178	0.920419901816	N\A	0.044473329936	0.177442658626	0.157906661282	0.167999424721	0.162732209365	0.223412637494	0.050507718267	0.047601104964	0.050291527172	0.052365112048	0.048626731313	39	9	
3050000	370.887092	1	0.120648004790	0.693472859262	0.280612690232	0.214503533088	0.349014187062	1.326737140024	0.644880041358	-0.128822617697	-0.014449070194	-0.145149529213	-0.132942971551	-0.245744933070	0.000171185664	0.912738968517	N\A	0.068497376210	0.205570544961	0.190507103205	0.205430656200	0.193760289516	0.242405529069	0.073027382387	0.070686319699	0.074333288976	0.073240444339	0.071460693396	35	9	
3100000	377.523412	1	0.172381169664	0.704304897361	0.549796769639	0.293227162119	0.426126661710	0.984651459360	0.435893394458	-0.172431381146	-0.054522624133	-0.150169059378	-0.185679127415	-0.227343982875	0.000202511679	0.921125460753	N\A	0.093459118655	0.243564472423	0.229302708743	0.247402021956	0.231303730123	0.279566929444	0.095893611052	0.094874915645	0.099346079428	0.096880164706	0.094872534281	37	9	
3150000	393.890737	1	0.229623743065	0.642493514980	0.382951985440	0.245042510405	0.730568194359	1.179670366487	0.958632854564	-0.089467734584	0.002764968084	-0.151636305620	-0.124406370334	-0.164675054691	0.000236148258	0.918289714791	N\A	0.096655701329	0.241035639911	0.231642759718	0.260405989284	0.243384004439	0.297614835286	0.099569597564	0.097807926487	0.100727525028	0.100768928793	0.098860261354	30	8	
