Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MOB_d1_m9-fab-005.txt
Log File Name:                   MOB_d1_m9-fab-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            965072628
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MOB_d1_m9-fab-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.114840
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	
3700000	319.871653	1	-1.643990989944	1.512132332793	-0.128138608193	0.045173941230	0.025863884675	0.000633073804	0.924404401033	N\A	0.158386687495	0.025937402779	0.061224324468	0.013956361208	42	24	
3750000	300.404803	1	-2.431208762255	1.984237152190	-0.203026995164	-0.012135700297	0.044966559926	0.000232562479	0.927988996065	N\A	0.158836000226	0.024398714952	0.066025067645	0.013337397768	41	23	
3800000	287.253792	1	-1.707582248558	1.478189753637	-0.113904829661	0.109329021053	0.008251478442	0.000209486199	0.918888740329	N\A	0.166549587250	0.025992063686	0.068834221044	0.014282082494	50	22	
3850000	307.862528	1	-1.804025315917	1.545750604060	-0.132478059228	0.124833756850	0.009256894909	0.000055751776	0.942596789584	N\A	0.142193504833	0.022890275545	0.048508966601	0.011135924177	51	26	
3900000	308.994918	1	-2.081711891251	1.798827906158	-0.176671248643	0.019577896752	0.047019818983	0.000227807442	0.917418947320	N\A	0.159264079995	0.026434557656	0.063447394828	0.014391923017	49	22	
3950000	303.021845	1	-1.813057425555	1.653431639213	-0.136583633613	-0.113316732861	0.053529182568	0.000345306740	0.935806693344	N\A	0.121464895949	0.021607648438	0.047449794367	0.011781293869	38	19	
4000000	272.210280	1	-2.079724702045	1.749433104720	-0.152344458579	0.036564841104	0.025385941335	0.001712736559	0.887559327969	N\A	0.183287964832	0.027759555562	0.081198737721	0.016759476234	32	23	
4050000	276.587340	1	-1.604178268048	1.418068291837	-0.130390776869	0.115788000642	0.035624052023	0.000764593337	0.918886993030	N\A	0.164198755761	0.029480192765	0.054567556386	0.015619956809	40	17	
4100000	280.151217	1	-1.641995105131	1.493031518810	-0.135151740079	0.046458433104	0.040934336509	0.000358952816	0.910655038404	N\A	0.174141359071	0.028343689598	0.070612467350	0.015479997986	33	20	
4150000	280.088981	1	-2.626081235877	2.111008818231	-0.197407431532	-0.138885018370	0.042270683295	0.000727787304	0.903337698505	N\A	0.181120324567	0.028894558817	0.072204226556	0.015577158764	34	18	
4200000	297.429555	1	-1.937226629109	1.729050453723	-0.169572351484	-0.037500537376	0.052318098454	0.000212115534	0.930899659071	N\A	0.136332257624	0.024372099858	0.052232100405	0.013762260698	34	26	
4250000	302.831866	1	-1.846081138002	1.667013444566	-0.140919687024	-0.065392735622	0.046730996484	0.000323486810	0.923063613982	N\A	0.131456848767	0.019587269742	0.052599244821	0.010951530602	41	24	
4300000	294.789696	1	-1.690193313916	1.551734812043	-0.145872762756	0.054384365193	0.051592283778	0.000234664859	0.919244142700	N\A	0.176511667033	0.029444085111	0.066706908036	0.015634344867	37	24	
4350000	311.461482	1	-2.090211300458	1.908696577670	-0.193011407326	-0.119090386975	0.072322637220	0.000068163708	0.928107254785	N\A	0.131175026595	0.022789262855	0.055974955877	0.013871425460	39	23	
4400000	291.506964	1	-1.698169857516	1.495333624377	-0.113739670478	0.057684842750	0.014690904666	0.000258340017	0.918127482322	N\A	0.172699371559	0.028649791895	0.069935798212	0.015413337586	38	22	
4450000	325.569668	1	-1.632476515896	1.487713204051	-0.103803242822	0.009388726195	0.014008581867	0.000208289868	0.933547489848	N\A	0.132592324940	0.021017067549	0.057779250182	0.012370409002	34	27	
4500000	290.264034	1	-1.751037161236	1.586519531513	-0.142976472910	0.020857172301	0.038262549677	0.000275657105	0.923906779712	N\A	0.124833207731	0.020563954475	0.054917742810	0.012283720163	35	20	
4550000	320.055850	1	-1.691326224124	1.451869698435	-0.095379463288	0.034511746114	0.017912739824	0.000268225479	0.941712203159	N\A	0.137858956814	0.023709648057	0.054301861456	0.012774649644	42	28	
4600000	318.899115	1	-1.347062470214	1.279545955174	-0.096746372215	0.142416927780	0.016986044385	0.000210982119	0.968391558338	N\A	0.136648431094	0.026005924897	0.033910696297	0.012586495885	41	26	
4650000	317.655824	1	-1.618189715524	1.448274806384	-0.134374873939	0.155267680034	0.023369312195	0.000269930047	0.953287026943	N\A	0.164539555554	0.026319659000	0.068398438419	0.014742598171	36	23	
4700000	296.570031	1	-1.868392491097	1.580680632088	-0.147717105287	0.146410274183	0.017736256005	0.000229097233	0.924389791442	N\A	0.139299740297	0.023657501277	0.048858825626	0.013072995811	42	26	
4750000	311.895752	1	-2.045502269660	1.805401816453	-0.187463368444	0.001680808943	0.057803576699	0.000234635394	0.929942688034	N\A	0.155187562840	0.023862317387	0.066460101520	0.013328179188	40	21	
4800000	323.718419	1	-1.392096213333	1.178219036217	-0.052148297400	0.113151671327	-0.003648462689	0.000301102962	0.949129049617	N\A	0.122557650978	0.022348389576	0.038684017660	0.011452994497	40	21	
4850000	319.355279	1	-1.803247422287	1.650016569923	-0.154472547151	-0.012514593425	0.047927765417	0.000207048785	0.929294527037	N\A	0.157690423332	0.024306732266	0.062845626096	0.012662287205	53	26	
4900000	311.824670	1	-1.993103011314	1.784808770524	-0.173690313966	-0.037114961865	0.052483882338	0.000172973186	0.931767426953	N\A	0.142997431774	0.022126905794	0.060550586518	0.012161025830	43	27	
4950000	317.431427	1	-1.890766363661	1.620478955424	-0.127041607780	-0.051849715323	0.037833765055	0.000226579686	0.934666703648	N\A	0.126689041928	0.021581762757	0.050764390230	0.012292297503	43	23	
5000000	329.855625	1	-1.894936194613	1.698242875750	-0.160467295592	0.045884061982	0.033483281639	0.000193498872	0.933406010059	N\A	0.162411401531	0.024206722922	0.069423212946	0.013631431895	41	22	
5050000	314.239523	1	-1.562545292825	1.451090487978	-0.099281401144	-0.008609347860	0.027623058206	0.000183172443	0.919681933582	N\A	0.159108658841	0.027585205634	0.060111449714	0.014796486263	42	24	
5100000	299.442491	1	-2.221653698170	2.000129888103	-0.205935319681	-0.141294490656	0.074308846332	0.000172874664	0.930241986201	N\A	0.129149922599	0.022126724452	0.053291312400	0.012491458533	43	25	
5150000	310.037306	1	-1.973542185224	1.660823162734	-0.133857107846	0.010100071333	0.020463156612	0.000236708222	0.925245731220	N\A	0.153342510810	0.025673805625	0.058146161637	0.013696593251	43	19	
5200000	302.492382	1	-2.349927601317	2.068075652044	-0.221972363994	-0.169635500711	0.088575613813	0.000284784661	0.918518152835	N\A	0.134438031457	0.022715604116	0.056787230149	0.012975262819	38	20	
5250000	298.219571	1	-2.335873222185	2.032154247173	-0.199152227653	-0.139655453750	0.065655137113	0.000243023142	0.917506623374	N\A	0.156615509982	0.025735827676	0.063061901995	0.013883240019	48	23	
5300000	317.124856	1	-1.827048181162	1.686482364797	-0.158636468899	-0.013753404616	0.046128057312	0.000225410016	0.924581135563	N\A	0.147488911063	0.023449664155	0.061401306150	0.013373832768	34	23	
5350000	308.954130	1	-1.943330857194	1.668190866684	-0.155368236553	0.058207181818	0.031668547205	0.000398902584	0.929313667205	N\A	0.121688326267	0.021602117751	0.048095211984	0.012465386548	36	22	
5400000	324.595713	1	-1.785586665820	1.559410936958	-0.130478214165	0.086305982880	0.018168024646	0.000234940239	0.930418746440	N\A	0.136078727446	0.019210783000	0.062535778837	0.011550184519	46	32	
5450000	307.680674	1	-1.784920583087	1.550105424180	-0.130718757651	0.095479601517	0.014501070282	0.000266409634	0.934878379886	N\A	0.119301125876	0.021243541123	0.053705717749	0.012556102074	50	21	
5500000	307.905828	1	-2.280739235182	2.072158308630	-0.222011401116	-0.155112007268	0.080434386678	0.000229273626	0.922188750642	N\A	0.133290235717	0.021836118837	0.057722648372	0.012948848996	38	25	
5550000	313.679216	1	-1.938157249166	1.748583981019	-0.168325581377	-0.019770739072	0.045817017351	0.000235144179	0.919450802493	N\A	0.119876343441	0.014749628790	0.061198499506	0.010285963299	42	26	
5600000	320.339758	1	-1.311362319204	1.137761463355	-0.062248446576	0.149197166136	0.001058699610	0.000342990578	0.915305021985	N\A	0.125108078163	0.016175257574	0.062034212675	0.011059975032	32	28	
5650000	317.347673	1	-2.087162420154	1.831062119069	-0.164874791773	-0.101918725741	0.049035025760	0.000273123761	0.974104337524	N\A	0.107236532223	0.019668020211	0.028891415686	0.009887951866	42	20	
5700000	305.783315	1	-1.952044708418	1.593027568755	-0.126494126098	-0.010169709251	0.031120491447	0.000693945444	0.934734620079	N\A	0.154817660581	0.024872170046	0.059804408361	0.013253629026	35	22	
5750000	294.461028	1	-1.686461114880	1.486006499839	-0.118338241507	0.048780242389	0.027288384732	0.000591729027	0.924431567288	N\A	0.173474592312	0.029924814825	0.061013627064	0.015294309054	46	24	
5800000	319.505639	1	-1.359294588943	1.275394655337	-0.081251481327	0.091404624053	0.011910590948	0.000266740146	0.925355524946	N\A	0.160245587205	0.025995868144	0.065336618815	0.014374060581	37	31	
