Species_TTOL	PAL	rest_of_brain
Diphylla_ecaudata	1.59	2.87975236516861
Emballonura_monticola	0.651	2.19689550326823
Emballonura_raffrayana	0.781	2.21750313113026
Eptesicus_brasiliensis	0.988	2.27704088235613
Eptesicus_fuscus_bahamensis	1.029	2.3513653086034
Eumops_auripendulus	1.352	2.75999624802448
Eumops_glaucinus	1.34	2.79101278730558
Furipterus_horrens	0.572	2.07959239815975
Glischropus_tylopus	0.612	1.97312302120491
Glossophaga_longirostris	1.292	2.6169266719764
Glossophaga_soricina	1.267	2.57354501835856
Harpiocephalus_harpia	1.553	2.62086344715862
Hesperoptenus_blanfordi	0.794	2.16984821507198
Hipposideros_armiger	1.394	2.87560056473481
Hipposideros_ater	0.865	2.30545128539469
Hipposideros_caffer	0.98	2.4627759440208
Macronycteris_commersoni	1.487	2.84697711567035
Hipposideros_diadema	1.365	2.82568898250015
Hipposideros_fulvus	0.914	2.34735841257385
Hipposideros_lankadiva	1.45	2.83381440820857
Hipposideros_larvatus	1.173	2.59070379701993
Hipposideros_ridleyi	0.979	2.40319100137588
Hipposideros_speoris	0.97	2.42782469906196
Hipposideros_turpis	1.32	2.74970813235674
Ia_io	1.5	2.85693377655639
Kerivoula_papillosa	0.898	2.47004291344843
Lasiurus_borealis	0.757	2.20786055220101
Leptonycteris_curasoae	1.468	2.76007259430502
Leptonycteris_nivalis	1.43	2.74009904764629
Lonchophylla_mordax	1.255	2.61273847911539
Hsunycteris_thomasi	1.179	2.50023862095974
Lophostoma_silvicolum	1.328	2.85331808051172
Macroderma_gigas	1.605	3.20498065502424
Macrophyllum_macrophyllum	0.987	2.4790378028068
Megaderma_lyra	1.41	2.93241161841455
Megaderma_spasma	1.265	2.78365497627165
Mesophylla_macconnelli	1.176	2.5144416036305
Micronycteris_brachyotis	1.407	2.58328686142129
Micronycteris_megalotis	1.188	2.41295245824855
Micronycteris_minuta	1.201	2.43110917339505
Micronycteris_schmidtorum	1.225	2.46261324325241
Gardnerycteris_crenulatum	1.013	2.48743694137244
Miniopterus_australis	0.865	2.28796870242141
Miniopterus_inflatus	1.061	2.48807198431177
Miniopterus_magnater	1.053	2.4849865990346
Miniopterus_pusillus	0.915	2.31097785415854
Miniopterus_tristis	1.097	2.49587912679333
Molossus_molossus	1.111	2.47483774200244
Molossus_rufus	1.324	2.69716719929339
Monophyllus_plethodon	1.32	2.62023584937206
Mormoops_megalophylla	1.072	2.56247160047249
Murina_cyclotis	1.303	2.37139315447136
Murina_huttoni	1.318	2.38592275334146
Myotis_adversus	1.033	2.3772871201093
Myotis_albescens	0.711	2.07780309246655
Myotis_annectans	0.966	2.31710569964846
Myotis_bechsteinii	1.149	2.39586985328546
Myotis_bocagii	0.868	2.25339686523018
Myotis_dasycneme	1.072	2.46431986810657
Myotis_myotis	1.262	2.65907694339085
Myotis_nigricans	0.847	2.11100026230064
Myotis_siligorensis	0.573	1.98557890358024
Natalus_tumidirostris	0.909	2.36796538095518
Noctilio_albiventris	1.217	2.74963685311494
Noctilio_leporinus	1.497	3.04342425236468
Nyctalus_noctula	1.086	2.52928534798622
Nycteris_arge	1.004	2.51972165509131
