Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SCH_d1_m7-glob-002.txt
Log File Name:                   SCH_d1_m7-glob-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4273742761
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SCH_d1_m7-glob-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.179389
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	Global Trend	
5150000	490.427631	1	-1.401471207601	1.034312496812	-0.019992663098	-0.010071705533	0.000105454343	0.999411090475	N\A	0.028710273460	0.031286233414	0.003251950197	29	10	0.156671859193	Global Trend	
5200000	491.277953	1	-1.446500687636	0.990767289049	0.018883746924	-0.010463433110	0.000127936329	0.998549996694	N\A	0.016228046289	0.017798083047	0.001809074931	41	9	-0.095617791314	Global Trend	
5250000	489.848458	1	-1.278731852166	1.005556133059	0.002935705203	-0.009324365230	0.000110222436	0.999991002172	N\A	0.023999551968	0.026185475941	0.002622846693	33	10	-1.320916807992	Global Trend	
5300000	492.785522	1	-1.433205939424	0.955921402178	0.056059800238	-0.012451827243	0.000095305001	0.999918269407	N\A	0.027712198496	0.030206113116	0.002965973096	39	9	0.355767564079	Global Trend	
5350000	484.421121	1	-1.323150143802	0.928154836550	0.096125710392	-0.019444873744	0.000125431926	0.996538707334	N\A	0.027068235620	0.029067751683	0.002899480892	34	7	0.059852125704	Global Trend	
5400000	487.745718	1	-1.324720712633	0.937760675244	0.072924382775	-0.015414962437	0.000093851753	0.990179915986	N\A	0.030518105162	0.032069057436	0.003131413136	42	8	-0.021322406647	Global Trend	
5450000	497.216299	1	-1.290204372076	0.941776138892	0.079726317976	-0.019186835102	0.000076090121	0.999804224726	N\A	0.020782245560	0.022741725466	0.002375841886	30	9	0.184488669250	Global Trend	
5500000	479.201640	1	-1.352369954250	0.953279005733	0.070208916588	-0.020277984554	0.000091911782	0.999253059216	N\A	0.026443364467	0.028924892303	0.003197049979	47	6	0.089872985679	Global Trend	
5550000	480.168857	1	-1.517472773776	0.916222731080	0.098128009978	-0.017681904216	0.000104390771	0.998711762292	N\A	0.027763125371	0.030189363196	0.003090761780	35	9	-0.084329524665	Global Trend	
5600000	488.737012	1	-1.400771519246	0.974042612536	0.041700516130	-0.015513290202	0.000096028616	0.999967902932	N\A	0.029433962304	0.032046107780	0.003068736482	41	9	0.498777581046	Global Trend	
5650000	477.657815	1	-1.219348683771	0.874647035423	0.142706106377	-0.020382540004	0.000165059468	0.998918896488	N\A	0.030004651757	0.032605674354	0.003261508097	32	7	-0.160680563327	Global Trend	
5700000	479.536618	1	-1.138039396664	0.929640562225	0.077685537563	-0.014842689796	0.000134524518	0.998682336719	N\A	0.029025419814	0.031975288342	0.003385261808	31	8	-0.162784134312	Global Trend	
5750000	490.268457	1	-1.384331809365	0.910550394956	0.128807536617	-0.021489975755	0.000085854806	0.968330305923	N\A	0.034415693067	0.032495612766	0.003771490347	32	9	-0.005546783233	Global Trend	
5800000	503.187791	1	-1.336569050454	0.949101161521	0.067175013590	-0.016093545710	0.000084545511	0.999995717021	N\A	0.017680382385	0.019366401593	0.001980493845	32	9	1.251249125631	Global Trend	
5850000	477.419451	1	-1.382931999077	1.010491862445	-0.000036492315	-0.011158060261	0.000126199882	0.999978430433	N\A	0.024703145418	0.026974713917	0.002659716937	38	7	-0.840906857111	Global Trend	
5900000	478.351146	1	-1.387501070934	0.952011460241	0.063177525148	-0.015226405948	0.000104714043	0.999998447609	N\A	0.027949430726	0.030437054908	0.002952104507	35	5	-2.302508189933	Global Trend	
5950000	486.820880	1	-1.373036295634	0.934977569841	0.091386624387	-0.018579579827	0.000107606837	0.990891220642	N\A	0.026072093654	0.027534145869	0.002850505081	36	10	0.026702557375	Global Trend	
6000000	479.689978	1	-1.278657227025	0.887964968232	0.129385984227	-0.022420127427	0.000046031797	0.963665314458	N\A	0.033944501053	0.030358597566	0.003883064750	44	9	-0.000107396802	Global Trend	
6050000	477.366842	1	-1.270648177014	0.942454698388	0.068883962278	-0.015443704604	0.000111125443	0.999336728852	N\A	0.030880527466	0.033676238629	0.003265840721	34	9	-0.163293595361	Global Trend	
6100000	494.349301	1	-1.405451065866	1.007342528657	0.006093180163	-0.014754633775	0.000096152273	0.999646585627	N\A	0.027154830469	0.029670597015	0.003017863081	45	10	-0.142667045356	Global Trend	
6150000	493.075037	1	-1.449590236607	0.992370808495	0.036252205152	-0.012624948816	0.000110838226	0.981652597409	N\A	0.024486265777	0.026437507783	0.003256507648	36	10	0.012052667699	Global Trend	
6200000	484.640523	1	-1.343185608727	0.956554045065	0.055618563461	-0.014591153504	0.000122091728	0.997968074275	N\A	0.027875964020	0.030386284519	0.003054308644	38	8	-0.084530595080	Global Trend	
6250000	492.771671	1	-1.355436220510	0.951678575242	0.075366778993	-0.014024884426	0.000130712585	0.992459427724	N\A	0.029441586495	0.031780853597	0.003258675867	44	9	0.044193576193	Global Trend	
6300000	496.698152	1	-1.384017526418	0.967680108828	0.057558183653	-0.017447971266	0.000075172471	0.985887968872	N\A	0.031354190912	0.032374618220	0.003382519044	35	9	0.013154005038	Global Trend	
