Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MOB_d1_m9-VR-002.txt
Log File Name:                   MOB_d1_m9-VR-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2033277167
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MOB_d1_m9-VR-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
4250000	250.663296	1	-1.916754056590	1.618430112221	-0.149482307754	0.055072492288	0.032225683393	0.000596321548	0.911410503515	N\A	0.177188923465	0.030961615111	0.055018658829	0.015436691569	44	37	
4300000	232.029965	1	-2.218680248070	1.792123660869	-0.172678629418	-0.050145890745	0.055406506523	0.000677578490	0.919503690129	N\A	0.120302898124	0.022818380276	0.053421697210	0.013106837608	52	31	
4350000	247.032439	1	-1.893984105607	1.516410046563	-0.116627854711	0.074152311263	0.012548111365	0.000571573940	0.908591783458	N\A	0.198238545638	0.032321566416	0.065957936386	0.015672468083	40	31	
4400000	238.217205	1	-2.207568812884	1.750530826090	-0.173305941026	0.059511509909	0.036806385367	0.000577463747	0.907853239553	N\A	0.163480286031	0.027233750290	0.066747871303	0.014910501423	37	44	
4450000	230.673036	1	-1.482278515682	1.194472302555	-0.083422455861	0.154666725971	0.007811309086	0.000654614819	0.921510102473	N\A	0.165480893214	0.027633388638	0.055029635883	0.013067804263	57	36	
4500000	231.216824	1	-2.790794134322	2.003486660539	-0.196418016026	0.008372378879	0.036235435453	0.000431493241	0.893135149136	N\A	0.200829320302	0.032207340224	0.072554047167	0.016662764128	41	35	
4550000	232.389651	1	-1.983879802973	1.646347916690	-0.161976779332	0.066396988824	0.027765801392	0.000511054903	0.914858440086	N\A	0.212956361767	0.036092524260	0.076921857371	0.017785357068	55	25	
4600000	232.177770	1	-2.085265356580	1.675038124121	-0.165900271499	0.074534255641	0.033985411318	0.000400948696	0.915644515939	N\A	0.170155396232	0.028713184829	0.066556981339	0.014895124038	61	22	
4650000	242.986056	1	-2.110051661083	1.611147035671	-0.145027252789	0.059944430461	0.018811046745	0.000960246518	0.890708172989	N\A	0.211331651638	0.034728893487	0.080915977270	0.019576688740	55	40	
4700000	248.419283	1	-1.696818771606	1.433812277380	-0.118921924426	0.087404556092	0.025836836759	0.000351037631	0.904274298067	N\A	0.214380339280	0.032201580237	0.086424219199	0.016748605343	53	30	
4750000	240.938026	1	-1.963191538276	1.679746707621	-0.157121245790	0.024270314032	0.034398528950	0.000516262738	0.918175096100	N\A	0.136023271207	0.022971156642	0.060034183118	0.012830832141	46	34	
4800000	239.595732	1	-1.923240267096	1.567417351776	-0.147267602128	0.104176993415	0.030191983306	0.000362279293	0.886808650946	N\A	0.185365380524	0.029515911304	0.073934671658	0.016217149150	49	39	
4850000	244.621260	1	-1.163631607515	1.017088283486	-0.051034857563	0.232369241437	-0.013198149232	0.000380888258	0.897721687655	N\A	0.215124757977	0.035022764927	0.077534736527	0.017137838006	41	32	
4900000	222.026571	1	-2.360012591768	1.903469415637	-0.191829499220	-0.066050434421	0.064995413350	0.000626925110	0.902811670578	N\A	0.140626377802	0.022546709889	0.064416596569	0.013941633052	52	34	
4950000	232.764009	1	-2.359946588330	1.870000585154	-0.172216936801	-0.097475440198	0.051717772694	0.000478557827	0.918106483650	N\A	0.154901891639	0.025892141322	0.061816172048	0.014065476556	53	37	
5000000	250.134795	1	-1.837760855123	1.491010772173	-0.120567741816	0.089345163384	0.013801846506	0.000412836010	0.903742990218	N\A	0.159840990872	0.028766125472	0.060128299139	0.015688683822	50	26	
5050000	233.896304	1	-1.822133819135	1.561996541906	-0.157600679273	0.133756304963	0.030073519034	0.000814443252	0.890624338983	N\A	0.145612882945	0.022466143398	0.062838140667	0.013109832451	48	28	
5100000	230.860537	1	-2.325894135276	1.862465940564	-0.181447732332	-0.065932997274	0.052100765747	0.000643661777	0.922166741185	N\A	0.146379538616	0.027063648991	0.055457152404	0.014899774357	35	21	
5150000	250.165975	1	-2.075397942944	1.583307140917	-0.143642432238	0.055683643764	0.028947636436	0.000624904756	0.892318276949	N\A	0.174749837865	0.027731783472	0.068504408837	0.015094799173	52	37	
5200000	228.765740	1	-2.314188299986	1.588589726895	-0.147790139184	0.104437414312	0.027874508464	0.001452666355	0.901629962492	N\A	0.199702036712	0.031979935279	0.070082042309	0.015672611814	44	34	
5250000	224.465111	1	-2.155623554592	1.664316643446	-0.134644819026	-0.002464399750	0.022778429574	0.000819463700	0.867048138168	N\A	0.220538369638	0.032605929419	0.092444347064	0.017375155515	44	29	
5300000	234.191595	1	-2.273858645820	1.771516627367	-0.161322335045	0.054366665657	0.018248701134	0.000508731019	0.935615765670	N\A	0.182476046060	0.032692488753	0.045899349051	0.014874502796	54	35	
5350000	228.666739	1	-1.850415895584	1.430842441759	-0.107288928588	0.133799461804	-0.001863519509	0.000433682060	0.884100737037	N\A	0.223053717405	0.035628097213	0.088046818104	0.018539223726	40	28	
5400000	227.746742	1	-2.279991376303	1.747594971514	-0.161809167428	0.040055683718	0.031940766704	0.000391239287	0.888627221819	N\A	0.199422283772	0.031138996011	0.077037216421	0.016848416479	59	31	
5450000	247.461103	1	-1.950363739383	1.618058372057	-0.140218071063	0.063029034823	0.023701270795	0.000345627580	0.913436494782	N\A	0.176830788307	0.028369751624	0.066780180106	0.014609862383	42	25	
5500000	246.678301	1	-1.974411557075	1.571023881038	-0.143842298939	0.136037974876	0.015022057953	0.000412862966	0.897042094409	N\A	0.206736403664	0.032553459293	0.078423926655	0.016824424016	41	32	
5550000	237.479770	1	-1.549397717460	1.307290316406	-0.097734192630	0.151749697231	0.005133764810	0.000467950769	0.900874109138	N\A	0.197403479476	0.031886077515	0.071595281585	0.017297098215	58	33	
5600000	230.704628	1	-2.184343831164	1.704384580411	-0.170182786184	0.116145320632	0.026720551326	0.000598092622	0.888609238614	N\A	0.166018188068	0.026398920375	0.057751554485	0.013116494531	52	24	
5650000	243.499466	1	-1.997100485672	1.568476489217	-0.147915867404	0.133596420085	0.021531285899	0.000433866907	0.888603882207	N\A	0.207430156500	0.032281002758	0.086111086216	0.017647053143	56	28	
5700000	232.582114	1	-2.631246817380	2.149748623768	-0.227567192581	-0.182259464417	0.075282988515	0.000517137049	0.961075153776	N\A	0.128845024605	0.024155815757	0.039312094157	0.013256918207	42	36	
5750000	239.546638	1	-2.240988244471	1.797366437168	-0.176283360044	0.024539034038	0.042941196474	0.000554207233	0.888096074900	N\A	0.213144598377	0.031833980019	0.089845374653	0.017277800089	53	33	
5800000	243.781529	1	-1.945066724561	1.502067313111	-0.128952195828	0.133028270836	0.009028444968	0.000691511269	0.929721622910	N\A	0.192288105295	0.033625668389	0.053793016115	0.015644383734	47	19	
5850000	236.070798	1	-1.909243442180	1.619943723780	-0.147372997131	0.075301586270	0.022579730963	0.000699358131	0.897125950565	N\A	0.168601656377	0.026812546941	0.071065189143	0.015507190895	44	32	
5900000	236.563212	1	-1.940999351569	1.519301220565	-0.137649875674	0.143581597816	0.015183952992	0.000600352311	0.891447026354	N\A	0.183350486615	0.030348869645	0.065047407731	0.015909967600	44	39	
5950000	235.514716	1	-2.128489825131	1.690353761562	-0.143616763892	0.016689328999	0.022874143420	0.000468184417	0.877862821094	N\A	0.206847338536	0.031132661115	0.086357467038	0.017018708232	47	32	
6000000	239.392825	1	-2.466472998262	1.933934378493	-0.182799400043	-0.034461307796	0.037179748787	0.000582813815	0.890100583063	N\A	0.190479473241	0.031378075757	0.076163685066	0.017290723354	48	32	
6050000	237.173789	1	-2.417030094601	1.952151733346	-0.202481207790	-0.066157360696	0.062522821732	0.000746279902	0.894793806808	N\A	0.173614193044	0.028209523203	0.072819164919	0.015466575875	45	26	
6100000	251.283057	1	-1.969670663523	1.704196164086	-0.166284196686	0.061040700549	0.033323021482	0.000248598520	0.904632677446	N\A	0.166807952697	0.026872768655	0.071170431479	0.015164946243	63	27	
6150000	232.353149	1	-1.711524113168	1.401089481879	-0.093177013640	0.059353549246	0.007522024167	0.000380130091	0.901334919426	N\A	0.163950623351	0.027142136100	0.063080365643	0.014307445867	53	37	
