Species_TTOL	NEO	BOD	BOD2
Coleura_afra	1.72	1.061	1.125721
Cormura_brevirostris	1.635	0.914	0.835396
Craseonycteris_thonglongyai	1.243	0.408	0.166464
Desmodus_rotundus	2.495	1.56	2.4336
Diphylla_ecaudata	2.364	1.49	2.2201
Emballonura_monticola	1.507	0.724	0.524176
Emballonura_raffrayana	1.538	0.771	0.594441
Eptesicus_brasiliensis	1.542	0.964	0.929296
Eptesicus_fuscus_bahamensis	1.636	1.134	1.285956
Eumops_auripendulus	2.071	1.529	2.337841
Eumops_glaucinus	2.111	1.562	2.439844
Furipterus_horrens	1.367	0.535	0.286225
Glischropus_tylopus	1.155	0.69	0.4761
Glossophaga_longirostris	1.968	1.053	1.108809
Glossophaga_soricina	1.944	0.996	0.992016
Harpiocephalus_harpia	1.91	1.13	1.2769
Hesperoptenus_blanfordi	1.41	0.863	0.744769
Hipposideros_armiger	2.227	1.748	3.055504
Hipposideros_ater	1.587	0.839	0.703921
Hipposideros_caffer	1.785	1.041	1.083681
Macronycteris_commersoni	2.235	1.997	3.988009
Hipposideros_diadema	2.189	1.622	2.630884
Hipposideros_fulvus	1.649	0.845	0.714025
Hipposideros_lankadiva	2.189	1.686	2.842596
Hipposideros_larvatus	1.931	1.312	1.721344
Hipposideros_ridleyi	1.702	0.982	0.964324
Hipposideros_speoris	1.76	1.061	1.125721
Hipposideros_turpis	2.11	1.542	2.377764
Ia_io	2.15	1.727	2.982529
Kerivoula_papillosa	1.839	1.004	1.008016
Lasiurus_borealis	1.446	0.892	0.795664
Leptonycteris_curasoae	2.147	1.389	1.929321
Leptonycteris_nivalis	2.159	1.358	1.844164
Lonchophylla_mordax	1.989	1.029	1.058841
Hsunycteris_thomasi	1.885	0.839	0.703921
Lophostoma_silvicolum	2.381	1.509	2.277081
Macroderma_gigas	2.708	2.078	4.318084
Macrophyllum_macrophyllum	1.905	0.934	0.872356
Megaderma_lyra	2.388	1.587	2.518569
Megaderma_spasma	2.238	1.354	1.833316
Mesophylla_macconnelli	1.939	0.875	0.765625
Micronycteris_brachyotis	1.944	1.167	1.361889
Micronycteris_megalotis	1.776	0.813	0.660969
Micronycteris_minuta	1.817	0.839	0.703921
Micronycteris_schmidtorum	1.881	0.892	0.795664
Gardnerycteris_crenulatum	1.94	1.072	1.149184
Miniopterus_australis	1.575	0.851	0.724201
Miniopterus_inflatus	1.747	1.173	1.375929
Miniopterus_magnater	1.776	1.176	1.382976
Miniopterus_pusillus	1.571	0.934	0.872356
Miniopterus_tristis	1.794	1.193	1.423249
Molossus_molossus	1.797	1.137	1.292769
Molossus_rufus	2.056	1.526	2.328676
Monophyllus_plethodon	1.984	1.176	1.382976
Mormoops_megalophylla	1.827	1.196	1.430416
Murina_cyclotis	1.647	0.851	0.724201
