Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SCH_d1_m8-VR-005.txt
Log File Name:                   SCH_d1_m8-VR-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3079218938
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SCH_d1_m8-VR-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
5250000	451.606724	1	-1.651609604123	1.139016693200	-0.024579630470	-0.014744365761	0.000129574857	0.960031299926	N\A	0.056060699446	0.007820424101	0.025224396661	50	24	
5300000	468.017307	1	-1.744547183740	1.195396052034	-0.035791560376	0.004037244485	0.000120726636	0.963076322277	N\A	0.058743733795	0.007692981345	0.026356370240	36	30	
5350000	474.070343	1	-1.907156675309	1.271998515764	-0.041925489799	-0.023789537785	0.000096304899	0.962427901512	N\A	0.057529139325	0.008098330484	0.027150152929	41	22	
5400000	462.245825	1	-1.630307410991	1.143644223575	-0.032268969040	0.008442966573	0.000097307884	0.963257554929	N\A	0.057481511895	0.007936933753	0.024803109104	35	26	
5450000	460.980772	1	-1.947740511128	1.337052517425	-0.052678584515	-0.034852625287	0.000194229377	0.961953662033	N\A	0.059455284516	0.007878328433	0.025994023527	45	24	
5500000	467.110365	1	-1.934585380518	1.293941053481	-0.035772724018	-0.071350537093	0.000099670837	0.967765871750	N\A	0.052389590228	0.008007961128	0.023700580158	52	20	
5550000	462.930734	1	-1.658033208158	1.129484871125	-0.024957007644	0.002826357530	0.000111817366	0.963416756086	N\A	0.054500523943	0.007917186882	0.026158442707	55	32	
5600000	469.958293	1	-1.785651235880	1.217755667020	-0.031907158828	-0.033046961928	0.000100606270	0.963232503918	N\A	0.054977669682	0.007614228400	0.024907266702	51	19	
5650000	452.247714	1	-1.824804163266	1.250912039843	-0.050033405085	0.009028843489	0.000114391646	0.966268531705	N\A	0.057786956988	0.008340598960	0.026093434642	54	36	
5700000	458.017167	1	-1.686798411624	1.193662172058	-0.037688630012	-0.016677149032	0.000118124171	0.961742584132	N\A	0.059360269956	0.007976476728	0.025904079522	39	19	
5750000	451.202527	1	-1.804848661794	1.232435355704	-0.040263038809	-0.007657417160	0.000102901572	0.956560073812	N\A	0.056687997422	0.007413934844	0.025950054116	41	21	
5800000	463.921373	1	-1.813875395720	1.235127731010	-0.035637883889	-0.030632112683	0.000109774177	0.961418162605	N\A	0.060127521502	0.008118714145	0.025535242376	39	26	
5850000	464.184486	1	-1.942983247751	1.316468562570	-0.058451580466	0.012416367281	0.000143797246	0.960381194284	N\A	0.059379020978	0.008368524434	0.028375879406	37	21	
5900000	469.186073	1	-1.664439749151	1.185384313567	-0.047430158134	0.034892031733	0.000111548756	0.962738228442	N\A	0.056188461180	0.007405160590	0.026073174019	50	19	
5950000	460.056797	1	-1.604197972303	1.131735436231	-0.032408764703	0.012700163175	0.000178252578	0.960612418546	N\A	0.057234133562	0.008065843427	0.026957292700	51	18	
6000000	463.025554	1	-1.663736004098	1.154021263406	-0.030028801391	-0.011165939797	0.000139329405	0.962667711341	N\A	0.055950855873	0.007656484043	0.026448116347	53	22	
6050000	445.036485	1	-1.751018417053	1.214938288555	-0.029120556535	-0.064508806489	0.000098888161	0.962226609310	N\A	0.057832506465	0.007870464725	0.027189895176	38	25	
6100000	457.654204	1	-1.779613284973	1.250146258074	-0.050030336828	0.019115382328	0.000181766400	0.972158699961	N\A	0.060437078030	0.007706453283	0.024202437171	33	25	
6150000	461.364504	1	-1.671721430287	1.170517437426	-0.036833433468	0.007500269751	0.000129104119	0.963679391403	N\A	0.053155612284	0.007448639048	0.026927022599	47	20	
6200000	459.881669	1	-1.703769674948	1.200649872460	-0.043985364477	0.011008148318	0.000109145589	0.965621112105	N\A	0.056781273229	0.007814614420	0.026424005433	53	28	
6250000	450.931663	1	-1.792245250388	1.238705261234	-0.044177822477	0.001457651394	0.000097497685	0.962324093354	N\A	0.056385236841	0.007924623810	0.028010620409	52	32	
6300000	473.407678	1	-1.969724694988	1.348468080446	-0.057124452451	-0.015584106601	0.000108202934	0.963634967205	N\A	0.052910086448	0.007628534633	0.024087581409	38	24	
6350000	462.903559	1	-1.717313100957	1.176612005288	-0.037650597962	0.014878789421	0.000103291047	0.959701220347	N\A	0.060250583669	0.008192177138	0.026989854643	53	24	
6400000	456.024395	1	-1.689729273504	1.176083964697	-0.036401913430	0.002520096145	0.000166693018	0.961501790036	N\A	0.052328552899	0.007224053785	0.026078914168	56	25	
6450000	447.580966	1	-1.679507371624	1.170115773095	-0.035201329965	0.001436801774	0.000216179195	0.956904966501	N\A	0.055445187549	0.006952918437	0.025243540049	36	21	
6500000	451.368738	1	-1.748311893310	1.212315718811	-0.048093347172	0.034633271487	0.000157153030	0.959513028348	N\A	0.057688319675	0.008079097167	0.025734150402	45	24	
6550000	461.676843	1	-1.901138787018	1.308083277868	-0.045455289385	-0.042287018953	0.000118611061	0.961246965025	N\A	0.055651996398	0.007729524756	0.024789230375	40	20	
6600000	455.808095	1	-1.916232993954	1.296255310659	-0.039053337480	-0.059892252508	0.000105178268	0.961094176420	N\A	0.053292606997	0.007210509533	0.026073164452	46	28	
