Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  STR_d1_m7-fab-006.txt
Log File Name:                   STR_d1_m7-fab-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            569594791
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   STR_d1_m7-fab-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.147241
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.77 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
5700000	539.418176	1	-1.423385830711	1.079793916920	-0.060697858893	0.001197772959	0.000064910896	0.977591076790	N\A	0.029082929571	0.027139149398	0.003128785681	39	3	
5750000	542.834011	1	-1.531826335738	1.121033221992	-0.081886264459	0.000686767467	0.000191930608	0.977014974651	N\A	0.032127804955	0.028391416426	0.003482218359	36	2	
5800000	552.803525	1	-1.522269268099	1.130512118995	-0.092060645788	-0.002012847598	0.000187746786	0.989220593908	N\A	0.019105201362	0.018203904793	0.002381776423	41	2	
5850000	536.889171	1	-1.408834870678	1.063056479001	-0.072097545386	0.008228122542	0.000156352831	0.985230640118	N\A	0.025179333707	0.023199235030	0.003249915656	39	1	
5900000	547.173702	1	-1.502208746058	1.097371053488	-0.066631859216	-0.001121609749	0.000073402012	0.982337512730	N\A	0.026689461156	0.023298476325	0.003125697877	42	1	
5950000	532.072280	1	-1.560604295097	1.124382175722	-0.062019267133	-0.006297840933	0.000086203769	0.981935592235	N\A	0.024164604617	0.022606284926	0.003073958530	43	1	
6000000	540.454780	1	-1.491720540096	1.091105529632	-0.053060756798	-0.001302313388	0.000071031791	0.979702635677	N\A	0.028633240674	0.026290810910	0.003173434643	32	1	
6050000	550.723348	1	-1.454799290722	1.116866831748	-0.083393841117	-0.003303175598	0.000138982175	0.982500555914	N\A	0.025408074233	0.023866363417	0.003078601887	24	4	
6100000	511.038070	1	-1.567890378524	1.135454688975	-0.109180647732	0.008468806842	0.000142264630	0.975852546758	N\A	0.034123208504	0.031317171805	0.003961425116	37	2	
6150000	551.377685	1	-1.532215113177	1.145212915918	-0.131633778704	0.007323764197	0.000175310990	0.985343896119	N\A	0.024070702990	0.023099542332	0.003181740839	41	2	
6200000	536.586343	1	-1.532944688621	1.105140965609	-0.087551995540	0.002893906044	0.000070319113	0.976415281795	N\A	0.031757978137	0.028260514839	0.003714012497	41	1	
6250000	547.270376	1	-1.596644232711	1.126577585322	-0.106037039498	0.001412521334	0.000069350841	0.986126510401	N\A	0.021833799694	0.020013455699	0.002732150112	49	1	
6300000	533.180147	1	-1.697565451640	1.160390883394	-0.101689305211	-0.000536927813	0.000079520676	0.986234218812	N\A	0.023720565029	0.022601153715	0.003035759414	38	1	
6350000	543.390099	1	-1.556990154400	1.162089948080	-0.145620164503	0.007680420569	0.000089960210	0.981334578075	N\A	0.027053144554	0.026242384303	0.003570241264	44	1	
6400000	543.912575	1	-1.652138344731	1.185588822665	-0.132802993267	0.001365274763	0.000108744956	0.979655458048	N\A	0.029197329666	0.027288487903	0.003156754150	32	4	
6450000	540.119967	1	-1.573150779179	1.155581958086	-0.100357046706	-0.001055632031	0.000100787272	0.979723188470	N\A	0.028226804892	0.026610945222	0.003321527416	42	4	
6500000	538.322750	1	-1.545170568441	1.108685185461	-0.066150933189	-0.000610086081	0.000090708753	0.985163708225	N\A	0.023422378132	0.018853411223	0.002528141342	47	0	
