Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  AMY_d1_m7-VR-006.txt
Log File Name:                   AMY_d1_m7-VR-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3967620313
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   AMY_d1_m7-VR-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
4950000	484.807847	1	-0.897313634916	0.692020918705	0.253962515599	-0.036515361906	0.000090365504	0.959613241648	N\A	0.030907681889	0.026516671244	0.003777597148	49	32	
5000000	485.574652	1	-0.990963135598	0.742814823808	0.207740224904	-0.034973575833	0.000077258709	0.970135465969	N\A	0.022669339449	0.025143094775	0.003662156925	42	33	
5050000	489.102681	1	-0.998811809432	0.753821347482	0.172613811102	-0.024517483798	0.000120155914	0.957383148717	N\A	0.035824798882	0.031512878350	0.004121691084	56	23	
5100000	470.072782	1	-0.872326436281	0.684376176090	0.226650780960	-0.025812486135	0.000105199295	0.947676205687	N\A	0.036694419235	0.033014635836	0.004231759422	44	22	
5150000	481.285531	1	-1.028082903541	0.770815880714	0.164768134368	-0.026274315216	0.000083314680	0.955902943390	N\A	0.035234677911	0.031070279321	0.004194509344	54	18	
5200000	489.323009	1	-1.018792463554	0.749115588138	0.197141024852	-0.028008226729	0.000100432334	0.960668173576	N\A	0.031165232251	0.028231788624	0.003999624148	54	26	
5250000	479.718595	1	-1.002486650963	0.766574601403	0.169314726277	-0.030991366620	0.000074699851	0.960972286000	N\A	0.033297141389	0.027593137958	0.004142471077	42	29	
5300000	478.091478	1	-0.942907740139	0.704966098931	0.232141447025	-0.029968977085	0.000108942898	0.956126453144	N\A	0.035881582841	0.030623597262	0.003389046287	59	26	
5350000	478.946138	1	-1.089615976766	0.769905744635	0.220702244012	-0.037830483545	0.000101690697	0.953732668020	N\A	0.033349875293	0.030557264323	0.003892675666	43	17	
5400000	494.938485	1	-0.957563159670	0.736023725292	0.179234010218	-0.027770905496	0.000082422921	0.958360257677	N\A	0.035579770488	0.031247692405	0.004103729637	50	26	
5450000	476.394918	1	-1.019594348932	0.753119670887	0.194973541052	-0.033252804389	0.000085604142	0.955653797270	N\A	0.037377584067	0.032008010947	0.004103114157	39	26	
5500000	465.390512	1	-0.944830867209	0.732612704894	0.194298734972	-0.031901658504	0.000111909877	0.951149172614	N\A	0.037441586922	0.032421003472	0.004004599736	45	19	
5550000	485.789476	1	-0.902723201538	0.681475514232	0.265914043548	-0.037859264754	0.000101396262	0.957342291110	N\A	0.030718994607	0.027592243516	0.004001508506	39	23	
5600000	477.986685	1	-1.113856419080	0.796018083132	0.178729829751	-0.035022764589	0.000099571339	0.964195414599	N\A	0.034507681575	0.029796654358	0.003587481604	52	25	
5650000	492.400620	1	-1.018564665875	0.753063353702	0.199905416579	-0.034356596690	0.000077929359	0.958204620652	N\A	0.031528968528	0.028362833552	0.004146849320	62	30	
5700000	480.406789	1	-0.897482898258	0.668071343597	0.294594879334	-0.041314818919	0.000123389147	0.958754966166	N\A	0.032401149575	0.027392369007	0.003573981606	51	23	
5750000	478.623715	1	-1.062312550925	0.765617712313	0.187207028084	-0.029420931273	0.000142016568	0.960964307541	N\A	0.028047147116	0.027584533060	0.004266746663	48	30	
5800000	467.349309	1	-0.954090381890	0.748616201985	0.178648871401	-0.026104980231	0.000102285286	0.956873615398	N\A	0.034466317948	0.031700141855	0.004155253675	42	29	
5850000	480.593348	1	-1.004604942104	0.756430605565	0.185196440430	-0.027820297136	0.000096179987	0.953529679249	N\A	0.038033382996	0.031967288864	0.003915841558	51	24	
5900000	481.433666	1	-0.980341566037	0.748602524522	0.193507452478	-0.029251643382	0.000075954931	0.963971649425	N\A	0.034608708648	0.028458254726	0.003873477962	60	27	
5950000	500.799895	1	-0.981496769060	0.735899270276	0.210635526180	-0.031859171991	0.000081182343	0.962721667586	N\A	0.031871654177	0.027368882787	0.003977922724	53	29	
6000000	492.043087	1	-0.957021252837	0.734604625117	0.186817937366	-0.026922470934	0.000092361128	0.958695633096	N\A	0.032563000579	0.028269400033	0.003780879022	34	26	
6050000	479.512169	1	-0.986232617046	0.727674157795	0.241349682078	-0.040352043522	0.000086840313	0.955707965126	N\A	0.035574772835	0.031828759953	0.004389845495	40	27	
6100000	477.857928	1	-1.039263984694	0.748452431653	0.225835473782	-0.037019107238	0.000108480548	0.956347437819	N\A	0.029311212371	0.024599249660	0.003873081886	43	26	
6150000	480.667378	1	-0.842705049716	0.668612339369	0.230499508106	-0.026524555603	0.000080749117	0.963893344840	N\A	0.031581362341	0.027767987827	0.003891677575	61	23	
6200000	482.852580	1	-1.107087775522	0.812540596467	0.144406380627	-0.028175871367	0.000097317964	0.956302694511	N\A	0.033278046140	0.030463412438	0.004267681715	51	19	
6250000	487.322502	1	-0.999484611905	0.767167537081	0.165874328742	-0.030266147597	0.000102139303	0.961833152729	N\A	0.032480401074	0.027483605512	0.003746327272	53	24	
6300000	484.519509	1	-0.944371055460	0.726757804306	0.193056286029	-0.029497451214	0.000076666995	0.959909492128	N\A	0.032654198339	0.028178382976	0.003883422015	57	32	
6350000	477.457141	1	-0.913895857576	0.721543098355	0.179572068170	-0.024002586230	0.000084141891	0.960810608975	N\A	0.032108445417	0.026006843678	0.003918452893	39	32	
6400000	489.740058	1	-1.061635220899	0.776764909666	0.172650465229	-0.027321557376	0.000093610559	0.962218766598	N\A	0.029839787330	0.027460863121	0.003989046514	49	23	
6450000	472.776149	1	-1.075943039855	0.766621925387	0.218310879903	-0.041765809635	0.000083397205	0.958211029829	N\A	0.032773480909	0.028985585307	0.004251173130	42	30	
6500000	492.037136	1	-0.956548893904	0.735702937324	0.197680250968	-0.031254961449	0.000091515584	0.959986883792	N\A	0.034568069508	0.028732317361	0.003733869457	39	30	
6550000	471.567387	1	-0.874160476288	0.664534866768	0.300418324268	-0.044260911045	0.000102462505	0.953451868945	N\A	0.034115697293	0.028619535005	0.004065008825	55	24	
6600000	476.839662	1	-1.053683620755	0.770233424045	0.202114756977	-0.038907837260	0.000088363981	0.955192880946	N\A	0.035022914147	0.031602021366	0.004353744135	49	24	
6650000	470.810953	1	-1.083298553243	0.793910558593	0.169533302479	-0.033927550358	0.000126076962	0.954145917742	N\A	0.035178950814	0.032084165466	0.004436869282	52	25	
6700000	489.865450	1	-1.038236127600	0.765591724526	0.202145670408	-0.037054401369	0.000081469944	0.959003783559	N\A	0.029720905699	0.025621984461	0.003873408778	47	31	
6750000	489.450104	1	-1.056848029962	0.778810531588	0.182649016465	-0.035032379423	0.000101222122	0.982638776366	N\A	0.033837439902	0.027598582227	0.003538684607	47	21	
6800000	501.452500	1	-0.823147409910	0.652022707373	0.255213774051	-0.031088603216	0.000099275438	0.960028172576	N\A	0.031283091976	0.027862147896	0.003754663332	49	28	
6850000	474.810391	1	-1.057580828580	0.770255109578	0.206877258554	-0.036151766438	0.000165548692	0.956389587060	N\A	0.035143433522	0.032084673084	0.004331873147	58	33	
6900000	487.314547	1	-0.834831974119	0.647319861705	0.271590054808	-0.030679868359	0.000093901046	0.958884996100	N\A	0.022043905346	0.022189492127	0.003946889492	41	25	
6950000	486.367316	1	-0.987237653844	0.745753063142	0.192539675907	-0.031824134973	0.000085509288	0.962253066304	N\A	0.032008057064	0.026867220027	0.003939574682	49	26	
7000000	487.996095	1	-1.015903729626	0.762873366814	0.187721994971	-0.031280410140	0.000107803220	0.958383838008	N\A	0.032277053450	0.028613587604	0.003948747473	51	30	
7050000	479.100584	1	-1.009204362655	0.723103681610	0.250378279380	-0.039834333695	0.000100034107	0.959190542255	N\A	0.030198355159	0.030014220340	0.004235648369	49	23	
7100000	493.881641	1	-0.890477413163	0.684594945803	0.230196914215	-0.028981172242	0.000091017884	0.960875461188	N\A	0.031720892820	0.028688224380	0.004072182775	55	24	
7150000	486.634569	1	-0.954097247011	0.712354793249	0.217013031844	-0.027309198747	0.000083308647	0.963241249070	N\A	0.032551417910	0.027713469682	0.003835414193	48	34	
7200000	488.194833	1	-1.031882686411	0.770463234761	0.153558002955	-0.022349349446	0.000102464770	0.960592091694	N\A	0.032535599709	0.029457502042	0.003502666182	42	34	
7250000	484.277369	1	-0.953514555073	0.707756288907	0.260179505585	-0.041148011104	0.000083849179	0.956535887509	N\A	0.034263204714	0.031590509428	0.004143023221	38	30	
