Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  AMY_d1_m9-VR-004.txt
Log File Name:                   AMY_d1_m9-VR-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2961514695
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   AMY_d1_m9-VR-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
4550000	500.017174	1	-1.996255858766	1.488255238637	-0.099264714662	-0.079729468754	0.021989210310	0.000119445440	0.982880408812	N\A	0.053380253734	0.009223502384	0.022354548214	0.005705799716	30	28	
4600000	492.796507	1	-1.527985876234	1.145652147920	-0.056823941412	0.035315971783	0.006125993284	0.000106390045	0.961734742449	N\A	0.088019766596	0.010848699869	0.039615484698	0.006746871648	44	27	
4650000	480.302634	1	-1.768542834890	1.322314644797	-0.077107835531	-0.019713092113	0.013999653215	0.000095380817	0.967107966034	N\A	0.069237399637	0.010756358990	0.031758738746	0.006758437118	54	27	
4700000	486.018788	1	-1.812113697178	1.327767379548	-0.075954002240	-0.017270126330	0.008246412425	0.000110813923	0.960372849975	N\A	0.099357419382	0.014505496578	0.041276266347	0.008107058921	54	22	
4750000	491.234189	1	-1.574684068150	1.248932124777	-0.076610423532	-0.004835957934	0.012100004338	0.000092980349	0.962256439020	N\A	0.088104942060	0.011701160520	0.041871011897	0.007421067398	38	23	
4800000	489.012370	1	-1.242613534751	0.928176511564	-0.031004035237	0.142941794036	-0.013765666972	0.000090223116	0.969642722652	N\A	0.110384189742	0.015241407606	0.044673206622	0.007725114063	49	22	
4850000	486.938184	1	-1.740884672996	1.323541933550	-0.079211658949	-0.032622616823	0.014175747633	0.000108977359	0.963006016858	N\A	0.105322580471	0.015649289034	0.042503176430	0.008232270288	41	31	
4900000	479.691971	1	-1.463493466767	1.177933254494	-0.072950537741	0.038288242268	0.009828984621	0.000108158717	0.955457104129	N\A	0.102093030292	0.013482405755	0.045479236408	0.007968381194	51	25	
4950000	490.874530	1	-1.782582848491	1.358331138452	-0.091829705682	-0.012940988063	0.017422420581	0.000108096956	0.988165298836	N\A	0.096872419325	0.014988414083	0.030157381782	0.007180961512	51	21	
5000000	485.314100	1	-1.679495942638	1.265681123602	-0.069536090358	-0.013617474618	0.008691357982	0.000102341144	0.969588738917	N\A	0.086435489178	0.013149645825	0.031413410172	0.007016264106	33	26	
5050000	496.803683	1	-1.778348271790	1.351137745679	-0.084309361791	-0.033212200554	0.013502625336	0.000114863072	0.960564675081	N\A	0.091762323190	0.013712409391	0.039978006739	0.007669280316	56	26	
5100000	493.523976	1	-1.674430986560	1.244695394367	-0.074310230124	0.037530001036	0.007946821951	0.000093325276	0.963632265317	N\A	0.098762783661	0.013222024173	0.043996459752	0.007296589786	54	24	
