Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  HIP_d1_m7-VR-003.txt
Log File Name:                   HIP_d1_m7-VR-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3985275238
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   HIP_d1_m7-VR-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
5600000	444.130138	1	-0.796044349262	0.871256635520	0.071725560321	-0.013154310235	0.000104844124	0.956249617278	N\A	0.034530124080	0.032586340984	0.004264549805	33	31	
5650000	436.187772	1	-0.960656985103	0.956794205838	0.022298604375	-0.013448591584	0.000106202285	0.956682490566	N\A	0.037953899163	0.034037223063	0.004654894486	45	27	
5700000	443.383577	1	-0.863514172737	0.929759803940	0.022843232347	-0.013654619787	0.000100382877	0.961175122390	N\A	0.036210050859	0.032535516683	0.004313864294	55	27	
5750000	433.644119	1	-0.936983526906	0.963701156500	-0.001345757676	-0.011272738435	0.000100601734	0.952092128560	N\A	0.037733392739	0.034681507323	0.004607500202	50	29	
5800000	428.234654	1	-0.932284247235	0.935575628755	0.038478232638	-0.014403683729	0.000216378744	0.958808462701	N\A	0.037524063753	0.033587952678	0.004389165599	38	29	
5850000	432.165757	1	-0.831715840885	0.897048622864	0.057976146845	-0.016724057459	0.000090338119	0.959512342417	N\A	0.036095269218	0.032849147389	0.004684767706	44	34	
5900000	439.372717	1	-0.810968546654	0.911021444056	0.005022214651	-0.007182677721	0.000093493261	0.952621370115	N\A	0.036989729905	0.033320492989	0.004464701209	51	28	
5950000	433.544023	1	-0.811034401085	0.872585256619	0.078411799021	-0.017740655739	0.000134414683	0.981555370711	N\A	0.035449795108	0.022438213245	0.003429429028	35	33	
6000000	436.495242	1	-0.913740898678	0.938057252062	0.034326444620	-0.015720757915	0.000089213037	0.962086914432	N\A	0.035321552019	0.032269187508	0.004603450971	47	33	
6050000	426.239606	1	-0.910634634060	0.941367789007	0.017760600014	-0.013378293587	0.000155498162	0.954754526111	N\A	0.039026140813	0.035650720703	0.004861995006	48	26	
6100000	426.397374	1	-0.794707157810	0.857996854753	0.104930402113	-0.018470084539	0.000133537877	0.953043195617	N\A	0.037290414396	0.033890427101	0.004446883301	42	27	
6150000	443.991669	1	-0.832915405929	0.929967100447	-0.016413212116	-0.006490600494	0.000096260506	0.960932697792	N\A	0.034822780967	0.031509879945	0.004128628822	56	34	
6200000	428.356916	1	-0.879187776418	0.915128790048	0.058741756729	-0.019215792527	0.000076079566	0.958873464644	N\A	0.036665269769	0.032244871566	0.004274794030	64	41	
6250000	435.249432	1	-0.907387518571	0.919219280790	0.073927953478	-0.024440562143	0.000137816911	0.949985514825	N\A	0.039788125028	0.035268180290	0.004900852038	48	28	
6300000	428.282274	1	-0.870503636412	0.930940352853	-0.003064413717	-0.005750522436	0.000123805982	0.958078070421	N\A	0.037071983628	0.032670625592	0.004548530442	55	19	
6350000	417.129265	1	-0.904453494827	0.926684192510	0.045298522428	-0.016218476680	0.000127112839	0.954001517703	N\A	0.039205152859	0.035540556611	0.004684150913	46	31	
6400000	420.723688	1	-0.917442142615	0.923304884927	0.072450864094	-0.020459400913	0.000101359633	0.948651106408	N\A	0.038327467492	0.037184683269	0.005094042242	34	22	
6450000	425.074631	1	-0.875308060430	0.914976239710	0.064675489708	-0.018565528758	0.000097377819	0.953308819999	N\A	0.039731392756	0.035317588610	0.004706520817	44	24	
6500000	408.959156	1	-0.839359348658	0.905659155251	0.004770592799	-0.003049728042	0.000119691696	0.937005162022	N\A	0.045441881762	0.041220686223	0.005128008055	44	35	
6550000	419.724465	1	-0.792961543130	0.838794253606	0.096021188895	-0.013492070245	0.000127725312	0.948016435344	N\A	0.041475124642	0.037319121053	0.004880953602	48	36	
6600000	427.306673	1	-0.868929355700	0.892397701488	0.080308471017	-0.018047316385	0.000108245946	0.957746794152	N\A	0.041073205309	0.034373768488	0.004542646967	36	35	
6650000	440.194832	1	-0.879732636377	0.927752701009	0.042470596800	-0.018332451021	0.000094404421	0.958030313336	N\A	0.034801847893	0.029478171282	0.004630012622	51	32	
6700000	419.924596	1	-0.858872954362	0.917211621839	0.049228220068	-0.013849997312	0.000155210623	0.954294268096	N\A	0.040410656964	0.035920276784	0.005063807320	54	27	
6750000	442.479234	1	-0.742404761307	0.874393612588	0.040273131477	-0.010607769120	0.000134751347	0.949540825391	N\A	0.038311641763	0.034924069927	0.004810765695	39	23	
6800000	438.220405	1	-0.869701876219	0.931700497064	0.042613160333	-0.016896321340	0.000107297615	0.959566262121	N\A	0.032991224527	0.030113024812	0.004072502573	52	23	
6850000	424.903661	1	-0.780956716303	0.874805710433	0.082694350548	-0.019491635823	0.000124935946	0.960928731496	N\A	0.037554121773	0.032985475148	0.004398283531	32	24	
6900000	433.661127	1	-0.877385540584	0.901524204317	0.074177961272	-0.017313709400	0.000069942511	0.952939282384	N\A	0.037843465338	0.034340600035	0.004593025557	42	31	
6950000	422.612945	1	-0.781004164821	0.869564064365	0.094012325991	-0.018152777999	0.000104187861	0.950616391409	N\A	0.041608350674	0.036562052136	0.004809363373	42	24	
7000000	442.618412	1	-0.718821322254	0.842272265893	0.084708455420	-0.015477907549	0.000103615286	0.950820508835	N\A	0.035537521519	0.033566847326	0.004412519511	43	25	
7050000	443.485564	1	-0.798046157518	0.900071703926	0.053606887112	-0.015679822869	0.000097233250	0.957860183038	N\A	0.039102643282	0.035759641642	0.004847093773	70	25	
