Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  CEREB_d1_m2-bm-002.txt
Log File Name:                   CEREB_d1_m2-bm-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1468342866
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   CEREB_d1_m2-bm-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	
2850000	280.502604	1	0.325870452470	0.787783872540	0.824047100121	0.834365875121	0.879301286636	0.520076506688	0.740074325839	-0.104670855664	-0.083423670688	-0.053274799891	-0.127051487949	-0.185361328588	0.000490985469	0.890763246036	N\A	0.067841358823	0.289525121402	0.261882641047	0.274504904633	0.266046312221	0.360729865068	0.075486359701	0.072849308690	0.075730180960	0.078699339174	0.071931254874	
2900000	274.160252	1	0.980267210837	0.817755643665	0.269335766343	0.339909293924	0.361190152141	-0.214593073630	-0.270143031287	-0.165961385487	-0.137665478536	-0.078748108222	-0.147454545987	-0.195278216458	0.000509428075	0.886660048444	N\A	0.069103756465	0.294912628921	0.266755774994	0.279612914710	0.270996924107	0.367442356374	0.076891016155	0.074204894680	0.077139374461	0.080163783017	0.073269757642	
2950000	277.754897	1	0.379451925478	0.737642495014	0.608644123182	0.572228439784	1.032144013365	0.149201620164	0.736336333759	-0.016148794310	0.015347863704	-0.063518616411	-0.012586227518	-0.111209823327	0.000498891968	0.889004171027	N\A	0.068385413042	0.291846970001	0.263982810594	0.276706298505	0.268179872356	0.363622740574	0.076091723055	0.073433524196	0.076337499640	0.079330469037	0.072508108042	
3000000	281.606510	1	0.648606970250	0.690225140320	0.585807097829	0.423192594020	0.315389034986	0.355801299769	0.400456023002	-0.054696800073	0.060080776335	0.047398149725	-0.024822904814	-0.083723828216	0.000487844386	0.891462088937	N\A	0.067624002846	0.288597515932	0.261043598931	0.273625422224	0.265193930177	0.359574127720	0.075244510013	0.072615907813	0.075487550097	0.078447195466	0.071700795337	
3050000	279.265578	1	0.688005977737	0.833025842661	0.496713506690	0.274670083299	0.986556226283	0.301588057354	-0.061251908849	-0.195619584784	-0.110512305740	-0.155335731836	-0.152382051775	-0.166862310949	0.000494529371	0.889974782078	N\A	0.068085755916	0.290568129671	0.262826067851	0.275493802881	0.267004738564	0.362029386955	0.075758297752	0.073111746820	0.076002997373	0.078982851917	0.072190385734	
3100000	282.700124	1	0.699006327714	0.778912952978	0.466402599331	0.359881368327	0.535615236775	0.228913746875	0.242686171605	-0.094017473026	-0.035635456203	-0.069607937940	-0.105346766329	-0.177557759927	0.000484752405	0.892150007339	N\A	0.067409360141	0.287681489833	0.260215030644	0.272756918463	0.264352188486	0.358432817531	0.075005679354	0.072385420498	0.075247948014	0.078198199288	0.071473212644	
3150000	281.065093	1	0.708029363893	0.803487432237	0.596795032393	0.359674451245	0.733922815174	0.124619433444	0.024617915760	-0.189885611051	-0.060690018518	-0.082566053068	-0.092369448429	-0.160206304400	0.000489382428	0.891119897974	N\A	0.067730519142	0.289052093258	0.261454775378	0.274056416622	0.265611643917	0.360140502122	0.075363029565	0.072730286986	0.075606452467	0.078570759649	0.071813733093	
3200000	280.066027	1	0.619870447155	0.713513279286	0.799555585710	0.467856936758	0.776785469066	0.641358885495	0.141540246388	-0.048473966097	0.048908364739	-0.015286150209	-0.102294415610	-0.067596912080	0.000492233289	0.890485625067	N\A	0.067927512208	0.289892796370	0.262215212158	0.274853505063	0.266384170879	0.361187964665	0.075582221658	0.072941821792	0.075826352552	0.078799281371	0.072022602118	
3250000	282.145701	1	0.616621636431	0.752677102144	0.871635816168	0.558733916171	0.759901270210	0.556455434799	0.118150539538	-0.130444438456	-0.020390945076	-0.057184083129	-0.127795006287	-0.097538455057	0.000486317471	0.891801804019	N\A	0.067518091015	0.288145518270	0.260634755854	0.273196873659	0.264778586905	0.359010967414	0.075126663044	0.072502177726	0.075369322481	0.078324332492	0.071588498487	
3300000	280.534251	1	0.676444716739	0.792816245118	0.533407900012	0.409748547691	0.548630860301	0.172007258269	0.240856386505	-0.153181511648	-0.089147128844	-0.035438069506	-0.145758666425	-0.181729808377	0.000490895137	0.890783343414	N\A	0.067835117809	0.289498486761	0.261858549354	0.274479651765	0.266021837494	0.360696680001	0.075479415391	0.072842606974	0.075723214220	0.078692099288	0.071924637613	
3350000	281.009435	1	0.280098311653	0.795086386204	0.728681222412	0.524468862723	0.870335096940	0.361179589532	1.062766624483	-0.177874024588	-0.100526752114	-0.116790935851	-0.110350231933	-0.205554474935	0.000489540814	0.891084659549	N\A	0.067741478554	0.289098864507	0.261497081130	0.274100761435	0.265654622288	0.360198776119	0.075375223986	0.072742055406	0.075618686276	0.078583473110	0.071825353206	
3400000	280.256185	1	0.382585583234	0.719883834003	0.931624132087	0.534352086463	0.534387562894	0.417480478997	0.852543256920	-0.130291027597	-0.016780266338	-0.022714738736	-0.046092466298	-0.087765730220	0.000491689392	0.890606633813	N\A	0.067889973324	0.289732592472	0.262070303766	0.274701612352	0.266236958589	0.360988360810	0.075540452540	0.072901511842	0.075784448519	0.078755734404	0.071982800157	
3450000	274.963159	1	0.288867284310	0.891103699536	1.010387878843	0.654675888809	1.365148151427	1.017674666450	0.513021368712	-0.294794027663	-0.136858198872	-0.264282633247	-0.268016197487	-0.260720897583	0.000507055573	0.887187893802	N\A	0.068942654114	0.294225095851	0.266133884308	0.278961050032	0.270365145984	0.366585733949	0.076711759280	0.074031899989	0.076959538585	0.079976896304	0.073098943047	
3500000	280.030949	1	0.440504379949	0.752219817595	1.096213280887	0.781681636295	1.026839191374	0.596442222485	0.330993312260	-0.136799062568	-0.057603535271	-0.054085796732	-0.105682485876	-0.091349261649	0.000492333686	0.890463288355	N\A	0.067934439152	0.289922358342	0.262241951694	0.274881533396	0.266411335547	0.361224797000	0.075589929195	0.072949260074	0.075834084985	0.078807316970	0.072029946661	
