Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  HIP_d1_m9-VR-001.txt
Log File Name:                   HIP_d1_m9-VR-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            487227208
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   HIP_d1_m9-VR-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
5400000	449.301380	1	-1.190372109175	1.203833932920	-0.051531785053	-0.030464134305	0.006629463092	0.000078204426	0.959594209739	N\A	0.091186474961	0.012906502568	0.043079469602	0.008020050660	47	28	
5450000	438.321410	1	-1.196179408080	1.167972611335	-0.033101136493	-0.083218632396	0.009922265410	0.000059307669	0.965379357837	N\A	0.089021965622	0.014066935446	0.037590116559	0.007907837538	46	39	
5500000	439.563337	1	-1.265808501258	1.269036132283	-0.063159720077	-0.038252823224	0.011256326326	0.000363128961	0.956912386575	N\A	0.104093812672	0.015574096911	0.045955478094	0.009234742573	37	27	
5550000	434.147516	1	-1.869349646757	1.666833926420	-0.104099136522	-0.232302717179	0.038816649922	0.000305224045	0.948524515585	N\A	0.132485381532	0.018305546616	0.054249801655	0.010108226281	64	24	
5600000	439.186753	1	-1.331255918391	1.311364046868	-0.064164933751	-0.097784673911	0.018809946741	0.000116362005	0.957234473017	N\A	0.107877117595	0.014929460145	0.048158112807	0.008550625358	46	24	
5650000	438.969233	1	-1.559431264823	1.435390150404	-0.072198511196	-0.125485758059	0.016155919977	0.000105259021	0.948307651334	N\A	0.113251203948	0.015640822463	0.051337066667	0.009188712337	49	25	
5700000	443.491891	1	-1.379433076794	1.342416670948	-0.070724507220	-0.095823471240	0.020982341466	0.000128051742	0.948149517542	N\A	0.112575600112	0.015065995326	0.050488659523	0.008659650028	31	33	
5750000	438.280448	1	-1.486696900536	1.348614042040	-0.060730397156	-0.065586277977	0.006008741942	0.000092859506	0.958240053117	N\A	0.103381540267	0.014815921562	0.044442736308	0.008091870657	41	28	
5800000	440.870843	1	-1.385964976194	1.310016029258	-0.057993928213	-0.115684457307	0.018864637831	0.000058377509	0.959704590756	N\A	0.102975015942	0.014480339583	0.045889303520	0.008792524009	33	29	
5850000	442.866309	1	-1.370065962969	1.334457832532	-0.063087511882	-0.116297273999	0.019484946388	0.000092391655	0.957204706252	N\A	0.103991541670	0.015841226000	0.043721622046	0.008728911941	57	27	
5900000	432.308507	1	-1.331456722040	1.296175059443	-0.052451573635	-0.121387009863	0.013883616968	0.000110848826	0.949763314272	N\A	0.119972624194	0.017016132324	0.051231491951	0.009228499450	48	26	
5950000	451.775456	1	-1.386976509276	1.372091584790	-0.067574822074	-0.156641140656	0.026969707773	0.000104597768	0.960947819247	N\A	0.113782540127	0.016872553712	0.049182591446	0.009919013175	49	35	
6000000	453.266984	1	-0.954508024202	0.987821101841	-0.015849074211	0.056301870120	-0.013704740091	0.000083726371	0.963505676851	N\A	0.107252963608	0.015452318243	0.045994918735	0.008647685743	47	28	
6050000	434.710236	1	-1.415212749404	1.345826377284	-0.072519851541	-0.073927667793	0.019488651278	0.000100186255	0.958834666699	N\A	0.107498552192	0.014992886288	0.046468309099	0.008557946244	42	40	
6100000	457.913577	1	-1.451255395221	1.414948288866	-0.079346885764	-0.137030748136	0.028292527274	0.000081629139	0.957284377223	N\A	0.112533688197	0.016306428749	0.047054491847	0.008978709045	45	31	
6150000	438.516688	1	-1.604790586370	1.521345395040	-0.099166311267	-0.154176373399	0.034764781759	0.000211879473	0.962201745810	N\A	0.127766028407	0.017992332460	0.052948855579	0.010044930898	45	32	
6200000	430.097988	1	-1.263907578682	1.245306507265	-0.053515741398	-0.073311194328	0.014330769074	0.000133064176	0.955627305291	N\A	0.107507371839	0.015227509958	0.048808131088	0.008834518505	48	30	
