Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  STR_d1_m9-VR-002.txt
Log File Name:                   STR_d1_m9-VR-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4129904833
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   STR_d1_m9-VR-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
4100000	523.189038	1	-1.591244057691	1.195671173164	-0.004132064067	-0.167051314161	0.010606265928	0.000123394499	0.975833658098	N\A	0.092350587195	0.014110538780	0.038086994270	0.007346098858	55	23	
4150000	519.520024	1	-1.650977537444	1.204499150829	-0.015734450997	-0.087874470011	0.001869191977	0.000105283655	0.981635064234	N\A	0.085631163566	0.012968333591	0.035708803542	0.007051004116	48	27	
4200000	552.429763	1	-1.546192052106	1.109732087080	0.000489856647	-0.082943548642	0.000894352824	0.000102947582	0.981875332770	N\A	0.083254083313	0.012216870108	0.035414968926	0.006831899353	62	30	
4250000	550.266647	1	-1.772590715644	1.291311134586	-0.016833292303	-0.155289284818	0.005431618037	0.000134918928	0.981792247567	N\A	0.084840602049	0.011790613855	0.036828353938	0.006482078537	53	24	
4300000	531.860115	1	-1.494135843140	1.119982152500	-0.005409935199	-0.087646787143	0.007213421418	0.000093778447	0.982794307869	N\A	0.088678925604	0.013137798361	0.037582482484	0.007570729550	45	23	
4350000	519.861086	1	-1.309138663602	0.970741633039	0.014288801086	-0.019165277108	-0.006378544974	0.000112901191	0.982707810138	N\A	0.091631238165	0.012127356699	0.039869762119	0.006953858913	46	15	
4400000	530.212577	1	-1.597509240777	1.178533140980	-0.005880813475	-0.105566314686	0.001113979369	0.000143553905	0.982375777013	N\A	0.090386756157	0.012264832088	0.038191996753	0.006659802683	56	20	
4450000	513.455299	1	-1.850233821852	1.335588221302	-0.030094948011	-0.132812315053	0.011083457371	0.000172816939	0.978051263475	N\A	0.083718003612	0.011615925207	0.038209623711	0.007101788730	37	22	
4500000	527.912174	1	-1.703122882380	1.296407446004	-0.038028835116	-0.104743669866	0.013079455523	0.000099958048	0.984026895061	N\A	0.074049398845	0.010773444263	0.030570571510	0.005654708465	52	18	
4550000	528.540034	1	-1.705550865900	1.285837272101	-0.028278300351	-0.150362520601	0.018414619346	0.000195256968	0.985455898338	N\A	0.080441344259	0.010676448326	0.034375292080	0.006231571063	46	24	
4600000	524.321592	1	-1.407304676187	1.052786189522	0.006916900560	-0.048583627055	-0.005093376588	0.000132737449	0.976876466288	N\A	0.102560788326	0.014263417088	0.042972613853	0.007826284171	41	27	
4650000	547.557566	1	-1.375612570154	1.024933100915	0.009322701654	-0.046269296416	-0.003666343611	0.000129200970	0.982844329585	N\A	0.085451220416	0.012745041128	0.036589798542	0.007436617491	47	27	
4700000	545.056406	1	-1.508594557400	1.114290598087	0.010905789501	-0.117517942623	-0.002995285540	0.000106361162	0.980922868007	N\A	0.088243259631	0.012713733917	0.037425025034	0.007066323498	48	22	
4750000	528.476366	1	-1.621890646452	1.214911383352	-0.014561269389	-0.130449386142	0.011593150607	0.000083601529	0.986560119496	N\A	0.080953211061	0.011296996841	0.035425274160	0.006841732589	37	24	
