Species_TTOL	HIP	rest_of_brain	BOD
Monophyllus_plethodon	1.535	2.62023584937206	1.86328760196422
Mormoops_megalophylla	1.439	2.56247160047249	1.86328760196422
Murina_cyclotis	1.201	2.37139315447136	1.86328760196422
Murina_huttoni	1.233	2.38592275334146	1.86328760196422
Myotis_adversus	1.121	2.3772871201093	1.86328760196422
Myotis_albescens	0.88	2.07780309246655	1.86328760196422
Myotis_annectans	1.248	2.31710569964846	1.86328760196422
Myotis_bechsteinii	1.407	2.39586985328546	1.86328760196422
Myotis_bocagii	0.989	2.25339686523018	1.86328760196422
Myotis_dasycneme	1.401	2.46431986810657	1.86328760196422
Myotis_myotis	1.551	2.65907694339085	1.86328760196422
Myotis_nigricans	0.956	2.11100026230064	1.86328760196422
Myotis_siligorensis	0.854	1.98557890358024	1.86328760196422
Natalus_tumidirostris	1.433	2.36796538095518	1.86328760196422
Noctilio_albiventris	1.332	2.74963685311494	1.86328760196422
Noctilio_leporinus	1.703	3.04342425236468	1.86328760196422
Nyctalus_noctula	1.283	2.52928534798622	1.86328760196422
Nycteris_arge	1.253	2.51972165509131	1.86328760196422
Nycteris_grandis	1.559	2.82882341601125	1.86328760196422
Nycteris_hispida	1.238	2.43216548536531	1.86328760196422
Nycteris_javanica	1.436	2.65047090615567	1.86328760196422
Nycteris_macrotis	1.267	2.56570573628551	1.86328760196422
Nycteris_thebaica	1.241	2.4880134922472	1.86328760196422
Nyctophilus_geoffroyi	1.09	2.1954325071819	1.86328760196422
Otomops_martiensseni	1.486	2.85387267955123	1.86328760196422
Peropteryx_macrotis	0.91	2.18774408447669	1.86328760196422
Phylloderma_stenops	1.962	3.10305487853701	1.86328760196422
Phyllostomus_discolor	1.832	3.01289560068157	1.86328760196422
Phyllostomus_elongatus	1.691	2.91962973558399	1.86328760196422
Phyllostomus_hastatus	1.902	3.15775224544109	1.86328760196422
Pipistrellus_javanicus	0.918	2.04743835568333	1.86328760196422
Pipistrellus_tenuis	0.797	1.94445839594312	1.86328760196422
Afronycteris_nana	0.797	1.97624949883145	1.86328760196422
Hypsugo_pulveratus	0.999	2.12583275320563	1.86328760196422
Perimyotis_subflavus	1.037	2.0689992385851	1.86328760196422
Pteronotus_gymnonotus	1.283	2.50919392843789	1.86328760196422
