Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SCH_d1_m2-VR-001.txt
Log File Name:                   SCH_d1_m2-VR-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1092621456
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SCH_d1_m2-VR-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Branch	No RJ Local Node	
2500000	329.974336	1	0.213824992669	0.610312587929	0.482288836592	0.074123989767	0.638114710776	0.054831420799	0.294665776992	0.014013447786	0.082049883184	-0.030619112047	0.061483628196	-0.074083375307	0.000263163004	0.913898767905	N\A	0.086438931902	0.305846834207	0.289656538879	0.298587748363	0.292668597496	0.345621840284	0.090411536241	0.088588561639	0.090268488625	0.090795116099	0.089330149186	57	23	
2550000	324.050499	1	0.191067822189	0.676797777821	0.721765891363	0.008016369143	0.391970358443	0.088307890141	0.573346596641	-0.100746313434	-0.021711127310	-0.130848159163	-0.023206887792	-0.169543935084	0.000251624669	0.917936747687	N\A	0.054884633086	0.249846955776	0.164807867083	0.175733047894	0.180718334694	0.247678532723	0.062840609330	0.057211972058	0.063928676274	0.068346600730	0.058557064663	53	29	
2600000	303.386526	1	-0.360140089461	0.839558115234	0.553478632474	0.175573102790	0.975646949382	0.745599242850	1.195625283322	-0.233250511828	-0.201622511235	-0.308841215260	-0.231616163785	-0.279891478410	0.000445507625	0.888045454393	N\A	0.124673036904	0.364783587949	0.353420347305	0.370554089905	0.358138687707	0.431139720110	0.127093978254	0.126494810568	0.129947991793	0.129987610264	0.127687799564	65	22	
2650000	329.836180	1	0.302195702092	0.725011167253	0.278170909441	-0.055970930618	0.601063471387	0.020840676178	0.225408709777	-0.127166016671	-0.078277626505	-0.189880000258	-0.053923789553	-0.215137498405	0.000187485203	0.921357899039	N\A	0.086920387762	0.237443155804	0.225269582049	0.234149670362	0.258480130558	0.273105820763	0.089434336131	0.089089165606	0.090443708924	0.093411882160	0.088821665909	38	31	
2700000	319.031126	1	-0.192282579773	0.858837099853	0.773597218678	0.374529451125	1.191965388648	0.575747960041	0.757723556400	-0.244515147894	-0.200111338324	-0.294145131531	-0.176401549478	-0.343118574976	0.000474586853	0.911525371573	N\A	0.109843803335	0.631724926140	0.627484933150	0.641542232218	0.635433899412	0.683429412460	0.111717324657	0.111330573530	0.114825551929	0.115082124780	0.113446460815	48	24	
2750000	308.298148	1	-0.624264971860	0.989010656745	1.030716131878	0.864651766392	1.175779573863	0.892596614671	1.470462260496	-0.358621003283	-0.311818615957	-0.398744378745	-0.345256884616	-0.492936725470	0.000264147919	0.903312511792	N\A	0.144720984960	0.326197393737	0.312772371014	0.322954049091	0.319097020475	0.364802275618	0.146962818765	0.145964960473	0.147405225150	0.149883877103	0.146880751563	36	24	
2800000	321.082684	1	-0.270773904061	0.781598177986	1.221263290594	0.382957830637	0.785768464966	0.405493729118	1.001544724533	-0.236249461748	-0.113078190203	-0.174950257727	-0.112373050129	-0.223387417997	0.000388415017	0.903509888272	N\A	0.095482538925	0.417513392035	0.269473209585	0.282348759153	0.274361634587	0.362528714698	0.099340268352	0.097121283904	0.100389484553	0.100722451324	0.099632115550	37	23	
2850000	314.932284	1	0.285063219055	0.684749609697	0.501992582185	0.098652113522	0.696273950196	0.042843564178	0.361965406366	-0.089693678055	0.002047234448	-0.190235305619	0.040329787182	-0.200365546589	0.000278183413	0.902878423051	N\A	0.106965072528	0.656909625253	0.649875810815	0.398851346681	0.413490630072	0.337351283763	0.110724613899	0.108526250179	0.110465739982	0.111993238083	0.109731266160	55	31	
2900000	327.563503	1	0.515091317715	0.465589841894	0.220103291345	-0.298198634493	-0.149682597151	-0.264653995467	0.226053716959	0.104790276722	0.229437406889	0.139629322344	0.163817970643	0.070285929733	0.000322579913	0.907669180559	N\A	0.068888225785	0.232849746210	0.208722023070	0.217925239185	0.213712472861	0.291372074601	0.074735211004	0.071447211091	0.073580901205	0.076785864302	0.072328929754	47	21	
2950000	327.667990	1	0.266175191586	0.600856071870	0.395216935991	0.023565266815	0.672641642951	0.169706609051	0.286000394968	0.026984574803	0.090733264519	-0.056182122527	0.051173901666	-0.076472490919	0.000278901758	0.923895006576	N\A	0.091554076471	0.253455658223	0.240407329013	0.254894311786	0.246719633623	0.306656960993	0.095059392927	0.092809785829	0.096608340608	0.097664696817	0.094226361615	55	29	
3000000	334.288671	1	0.318421883077	0.585333222106	0.220953539137	-0.184483572949	0.211670602347	0.020145640746	0.395673599956	0.043019935044	0.122540468430	0.030400203249	0.069082337838	-0.071845237935	0.000307516113	0.914440114593	N\A	0.064429216645	0.238191299357	0.224414988339	0.239342377233	0.224658048933	0.300120262603	0.069022253537	0.066600719472	0.072347926734	0.072188965904	0.068569126371	44	18	
3050000	323.874591	1	0.230945561224	0.710568976794	0.457909508285	-0.135793180795	0.431322923488	0.128663451349	0.497913958801	-0.081300826592	0.002400364225	-0.149913193829	-0.088455563426	-0.219644137747	0.000255726124	0.916953684924	N\A	0.082333469904	0.243391741028	0.229817300105	0.232593855471	0.260481135994	0.290399124527	0.085827615681	0.084175023371	0.085609164674	0.092794003888	0.085078468173	52	18	
3100000	323.438965	1	0.378154272354	0.500946319405	0.272524890875	-0.159681587487	0.326739887137	0.015418105319	0.522440767577	0.108135934119	0.200869353467	0.078136413211	0.142053339758	0.045353489159	0.000306886261	0.905713536994	N\A	0.072181408256	0.265201101941	0.244240182498	0.259638405409	0.275982125911	0.783652499554	0.076657717140	0.074320555301	0.080747273602	0.082561295492	0.075971413405	61	20	
3150000	333.406559	1	0.365280734742	0.571716996366	0.558710122627	-0.037979555512	0.071653879052	-0.014715123459	0.257185985082	0.042982487767	0.119607883277	0.009590182224	0.100507995579	-0.036985923535	0.000302951485	0.923612671773	N\A	0.091813564176	0.259820625784	0.249121913123	0.262956452472	0.259139059837	0.317880563547	0.093496692825	0.093613386308	0.097904031858	0.100488756207	0.093903883789	31	33	
3200000	322.007088	1	0.340397662341	0.635068051341	0.477083634074	-0.112188743242	0.285473721294	-0.158776906891	0.384042932694	-0.092947502402	0.070458124969	-0.067587578542	0.008965229170	-0.138256531900	0.000310011853	0.910905590896	N\A	0.093237084557	0.274087967013	0.267428648449	0.281331131105	0.275093296198	0.336047370095	0.096090449724	0.095184248344	0.097565386569	0.099807167351	0.095507757305	55	27	
3250000	322.391808	1	0.246228159966	0.615793443313	0.651185208418	-0.086605741950	0.504993394460	0.230161038531	0.441833879690	-0.083948819899	0.084410147045	-0.082007658367	0.010173030177	-0.110015684290	0.000306446277	0.911643286956	N\A	0.087541707912	0.270117689640	0.250822454470	0.263154292108	0.253525828302	0.319764473540	0.091301588323	0.089549616341	0.092323118595	0.093021621141	0.090142920435	51	27	
