Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SCH_d1_m2-bm-001.txt
Log File Name:                   SCH_d1_m2-bm-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            550834898
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SCH_d1_m2-bm-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	
2550000	260.808375	1	0.124685075676	0.761455571815	0.490901777359	0.175593467530	0.797838682657	0.188089766516	0.346059074817	-0.138844216520	-0.015042760088	-0.215914450239	-0.107864122107	-0.233189543537	0.000550548947	0.859702443552	N\A	0.071838653989	0.306584292806	0.277313083972	0.290679066641	0.281722083703	0.381984506354	0.079934107594	0.077141678338	0.080192295098	0.083336399715	0.076169531678	
2600000	255.346099	1	-0.769182758347	0.942965521997	1.145790848127	0.910596210085	1.271483742879	0.818449523196	1.572384510971	-0.313543511739	-0.256998462489	-0.367331718485	-0.164698916007	-0.397127890332	0.000568313544	0.855175453467	N\A	0.072988463568	0.311491310642	0.281751603104	0.295331514266	0.286231170835	0.388098338112	0.081213488505	0.078376365178	0.081475808414	0.084670235823	0.077388658878	
2650000	262.544720	1	0.210603616199	0.690142015845	0.382737457641	0.024803477164	0.683559045906	-0.038987550594	0.276450409842	-0.089438089051	-0.006196873425	-0.144114186556	-0.033341117825	-0.123977994592	0.000545019096	0.861111627084	N\A	0.071476960814	0.305040702549	0.275916868364	0.289215556000	0.280303669669	0.380061291185	0.079531655438	0.076753285502	0.079788543020	0.082916817702	0.075786033404	
2700000	257.921309	1	0.200174477064	0.790931392349	0.271651967994	-0.230133741206	0.282483754905	0.123951076763	0.310529065994	-0.218481322443	-0.114579471388	-0.140620457984	-0.142514953269	-0.234177845083	0.000559868049	0.857327636910	N\A	0.072444106491	0.309168169546	0.279650264461	0.293128894950	0.284096423016	0.385203852238	0.080607788165	0.077791824458	0.080868151660	0.084038754630	0.076811484595	
2750000	261.091162	1	-0.027892254271	0.652766126909	0.462023465843	-0.134965395998	0.722779460744	0.048359190344	0.868361218800	-0.051503162950	0.035650439974	-0.130834656024	0.045241908936	-0.096966653766	0.000549644527	0.859932918766	N\A	0.071779622902	0.306332367093	0.277085210927	0.290440210533	0.281490587705	0.381670622958	0.079868424330	0.077078289663	0.080126399677	0.083267920728	0.076106941832	
2800000	256.908663	1	0.493947227763	0.623900063339	0.036140338221	-0.279564513034	0.208780402818	0.091878771061	-0.117451586616	-0.004582234569	0.004902067264	-0.065651378093	0.032006242784	-0.059678828876	0.000563173981	0.856485179174	N\A	0.072657677174	0.310079620601	0.280474694508	0.293993061014	0.284933960674	0.386339462213	0.080845425997	0.078021160617	0.081106557063	0.084286507210	0.077037930639	
2850000	260.180821	1	-0.339084347757	0.819663977876	1.128447269044	0.624525707286	0.849825667961	0.842321942287	0.942065629929	-0.267795255089	-0.105925571557	-0.255696668577	-0.201867306171	-0.253065326490	0.000552561331	0.859189623418	N\A	0.071969827708	0.307144100092	0.277819443523	0.291209831796	0.282236493863	0.382681990586	0.080080063199	0.077282535110	0.080338722140	0.083488567732	0.076308613359	
2900000	261.223692	1	-0.161027008135	0.817367418912	0.735630363126	0.435495847689	0.879854422056	0.651504467692	0.723786947608	-0.264946809498	-0.139189008023	-0.248935938620	-0.150804770431	-0.297366381055	0.000549221175	0.860040802468	N\A	0.071751974210	0.306214371360	0.276978480865	0.290328336278	0.281382160742	0.381523607788	0.079837659924	0.077048599985	0.080095535902	0.083235846875	0.076077626307	
2950000	262.896752	1	0.322209841258	0.699454796241	0.412659995381	-0.115920557974	0.572235824405	-0.037006824360	0.184064850183	-0.145059098571	0.000273900663	-0.169279531579	-0.008881431411	-0.178153148989	0.000543904748	0.861395598686	N\A	0.071403852416	0.304728699399	0.275634653790	0.288919739200	0.280016968166	0.379672555128	0.079450308500	0.076674780350	0.079706933331	0.082832008337	0.075708517581	
3000000	257.946237	1	-0.197930836741	0.731691933958	0.911590254035	0.252293469327	0.493562234136	0.500744447636	0.904153554123	-0.146618527420	0.004379655930	-0.169595906223	-0.021977261313	-0.147662164031	0.000559786913	0.857348313015	N\A	0.072438856994	0.309145766381	0.279630000243	0.293107654033	0.284075836618	0.385175939320	0.080601947106	0.077786187451	0.080862291734	0.084032664954	0.076805918627	
