Species_TTOL	NEO	rest_of_brain	BOD
Glossophaga_longirostris	1.968	2.6169266719764	1.053
Glossophaga_soricina	1.944	2.57354501835856	0.996
Harpiocephalus_harpia	1.91	2.62086344715862	1.13
Hesperoptenus_blanfordi	1.41	2.16984821507198	0.863
Hipposideros_armiger	2.227	2.87560056473481	1.748
Hipposideros_ater	1.587	2.30545128539469	0.839
Hipposideros_caffer	1.785	2.4627759440208	1.041
Macronycteris_commersoni	2.235	2.84697711567035	1.997
Hipposideros_diadema	2.189	2.82568898250015	1.622
Hipposideros_fulvus	1.649	2.34735841257385	0.845
Hipposideros_lankadiva	2.189	2.83381440820857	1.686
Hipposideros_larvatus	1.931	2.59070379701993	1.312
Hipposideros_ridleyi	1.702	2.40319100137588	0.982
Hipposideros_speoris	1.76	2.42782469906196	1.061
Hipposideros_turpis	2.11	2.74970813235674	1.542
Ia_io	2.15	2.85693377655639	1.727
Kerivoula_papillosa	1.839	2.47004291344843	1.004
Lasiurus_borealis	1.446	2.20786055220101	0.892
Leptonycteris_curasoae	2.147	2.76007259430502	1.389
Leptonycteris_nivalis	2.159	2.74009904764629	1.358
Lonchophylla_mordax	1.989	2.61273847911539	1.029
Hsunycteris_thomasi	1.885	2.50023862095974	0.839
Lophostoma_silvicolum	2.381	2.85331808051172	1.509
Macroderma_gigas	2.708	3.20498065502424	2.078
Macrophyllum_macrophyllum	1.905	2.4790378028068	0.934
Megaderma_lyra	2.388	2.93241161841455	1.587
Megaderma_spasma	2.238	2.78365497627165	1.354
Mesophylla_macconnelli	1.939	2.5144416036305	0.875
Micronycteris_brachyotis	1.944	2.58328686142129	1.167
Micronycteris_megalotis	1.776	2.41295245824855	0.813
Micronycteris_minuta	1.817	2.43110917339505	0.839
Micronycteris_schmidtorum	1.881	2.46261324325241	0.892
Gardnerycteris_crenulatum	1.94	2.48743694137244	1.072
Miniopterus_australis	1.575	2.28796870242141	0.851
Miniopterus_inflatus	1.747	2.48807198431177	1.173
Miniopterus_magnater	1.776	2.4849865990346	1.176
Miniopterus_pusillus	1.571	2.31097785415854	0.934
Miniopterus_tristis	1.794	2.49587912679333	1.193
Molossus_molossus	1.797	2.47483774200244	1.137
Molossus_rufus	2.056	2.69716719929339	1.526
Monophyllus_plethodon	1.984	2.62023584937206	1.176
Mormoops_megalophylla	1.827	2.56247160047249	1.196
Murina_cyclotis	1.647	2.37139315447136	0.851
Murina_huttoni	1.695	2.38592275334146	0.944
Myotis_adversus	1.668	2.3772871201093	1.049
Myotis_albescens	1.312	2.07780309246655	0.602
Myotis_annectans	1.572	2.31710569964846	0.991
Myotis_bechsteinii	1.56	2.39586985328546	0.978
Myotis_bocagii	1.556	2.25339686523018	0.845
Myotis_dasycneme	1.667	2.46431986810657	1.176
Myotis_myotis	1.894	2.65907694339085	1.408
Myotis_nigricans	1.362	2.11100026230064	0.663
Myotis_siligorensis	1.21	1.98557890358024	0.539
Natalus_tumidirostris	1.741	2.36796538095518	0.839
Noctilio_albiventris	2.265	2.74963685311494	1.515
Noctilio_leporinus	2.558	3.04342425236468	1.763
Nyctalus_noctula	1.74	2.52928534798622	1.431
Nycteris_arge	1.953	2.51972165509131	1.025
Nycteris_grandis	2.272	2.82882341601125	1.474
Nycteris_hispida	1.843	2.43216548536531	0.892
Nycteris_javanica	2.089	2.65047090615567	1.265
Nycteris_macrotis	2.009	2.56570573628551	1.161
Nycteris_thebaica	1.933	2.4880134922472	0.949
Nyctophilus_geoffroyi	1.502	2.1954325071819	0.857
Otomops_martiensseni	2.186	2.85387267955123	1.618
Peropteryx_macrotis	1.486	2.18774408447669	0.748
Phylloderma_stenops	2.542	3.10305487853701	1.664
Phyllostomus_discolor	2.495	3.01289560068157	1.563
Phyllostomus_elongatus	2.355	2.91962973558399	1.652
Phyllostomus_hastatus	2.642	3.15775224544109	1.963
Pipistrellus_javanicus	1.265	2.04743835568333	0.653
Pipistrellus_tenuis	1.158	1.94445839594312	0.591
Afronycteris_nana	1.196	1.97624949883145	0.591
Hypsugo_pulveratus	1.354	2.12583275320563	0.724
Perimyotis_subflavus	1.22	2.0689992385851	0.724
Pteronotus_gymnonotus	1.89	2.50919392843789	1.134
Pteronotus_parnellii_mesoamericanus	2.078	2.71076396835588	1.305
Pteronotus_personatus	1.699	2.33437416842607	0.908
Rhinolophus_cornutus	1.574	2.26307067478927	0.82
Rhinolophus_eloquens	1.884	2.58228368121921	1.281
Rhinolophus_hipposideros	1.279	2.14741999328989	0.663
Rhinolophus_landeri	1.704	2.41927248180996	0.987
Rhinolophus_lepidus	1.513	2.24246038366786	0.778
Rhinolophus_luctus	2.132	2.76563752486781	1.516
Rhinolophus_macrotis	1.511	2.29216841823355	0.799
Rhinolophus_malayanus	1.538	2.28065583157794	0.806
Rhinolophus_megaphyllus	1.695	2.39284327871508	0.991
Rhinolophus_pearsonii	1.851	2.49680535567541	1.143
Rhinolophus_pusillus	1.471	2.19036275728536	0.672
Rhinolophus_trifoliatus	1.855	2.51948592306197	1.164
Rhinolophus_yunnanensis	1.957	2.61598611233896	1.371
Rhinonicteris_aurantia	1.675	2.36980993185743	0.934
Rhinophylla_pumilio	1.932	2.52389337701925	0.949
Rhinopoma_hardwickii	1.732	2.41517493551946	1.111
Rhinopoma_microphyllum	1.889	2.56167523073907	1.468
Rhogeessa_parvula	1.26	2.02540404611476	0.653
Rhynchonycteris_naso	1.344	2.04732050651951	0.58
Saccopteryx_bilineata	1.642	2.33483311530367	0.924
Saccopteryx_canescens	1.375	2.08934484317686	0.531
Saccopteryx_leptura	1.477	2.18322541361085	0.708
Scotomanes_ornatus	1.813	2.55494722650546	1.338
Scotophilus_dinganii	1.941	2.6152095371468	1.386
Scotophilus_kuhlii	1.825	2.50605597481635	1.31
Sphaeronycteris_toxophyllum	2.131	2.69540272673135	1.265
Sturnira_lilium	2.208	2.7664442150746	1.305
Sturnira_ludovici	2.203	2.79971581818209	1.413
Sturnira_tildae	2.279	2.82056767486967	1.387
Tadarida_aegyptiaca	1.888	2.56759514736225	1.248
Taphozous_australis	2.008	2.68911434548403	1.38
Taphozous_hildegardeae	2.046	2.71134274302204	1.438
Taphozous_mauritianus	2.025	2.71797961523504	1.462
Taphozous_melanopogon	2.054	2.70480831622297	1.356
Tonatia_bidens	2.315	2.87212442061372	1.468
Lophostoma_schulzi	2.186	2.67681030271887	1.328
Trachops_cirrhosus	2.472	2.97719852358353	1.567
Triaenops_persicus	1.682	2.41026109600416	1.137
Tylonycteris_pachypus	1.09	1.87843900376487	0.681
Tylonycteris_robustula	1.223	2.03440793493338	0.857
Uroderma_bilobatum	2.193	2.76341624316696	1.21
Vampyressa_pusilla	1.993	2.55572901399533	0.934
Vampyrum_spectrum	2.879	3.38883839645361	2.238
Alouatta_seniculus	4.501	4.69064476860801	3.806
Aotus_trivirgatus	3.998	4.20956514451613	2.919
Ateles_geoffroyi	4.85	5.00423671459412	3.903
Avahi_laniger	3.682	3.99079117597203	3.109
Plecturocebus_moloch	4.048	4.24999973790912	2.954
Callimico_goeldii	3.811	4.02141427425862	2.681
Callithrix_jacchus	3.641	3.86010428447601	2.447
Cebuella_pygmaea	3.404	3.63358773263483	2.146
Cebus_albifrons	4.667	4.8258408678735	3.491
Cercopithecus_ascanius	4.655	4.80297404128273	3.531
Cercopithecus_mitis_mitis	4.698	4.84835244065239	3.799
Cheirogaleus_major	3.468	3.80396492768725	2.653
Cheirogaleus_medius	3.087	3.4708780230274	2.248
Daubentonia_madagascariensis	4.345	4.6294722319675	3.447
Erythrocebus_patas	4.887	5.01330305301563	3.892
Eulemur_fulvus_fulvus	4.087	4.34468914865517	3.146
Galago_senegalensis	3.33	3.65384583826705	2.27
Galagoides_demidoff	3.195	3.50526524207999	1.908
Gorilla_gorilla	5.533	5.67214160105073	5.021
Homo_sapiens	6.003	6.09769523952942	4.813
Hylobates_lar	4.818	4.98887970833346	3.756
Indri_indri	4.303	4.55944787748954	3.796
Lagothrix_lagotricha	4.819	4.980177796679	3.716
Lepilemur_mustelinus	3.516	3.85550540645094	2.961
Lophocebus_albigena	4.837	4.9893093148895	3.898
Loris_tardigradus_tardigradus	3.547	3.79701647977618	2.508
Macaca_mulatta	4.803	4.94427327976376	3.892
Microcebus_murinus	2.869	3.22499777943092	1.732
Miopithecus_talapoin	4.422	4.57720824492106	3.079
Nasalis_larvatus	4.804	4.97211427746941	4.146
Nycticebus_coucang	3.792	4.07016900764897	2.903
Otolemur_crassicaudatus	3.674	3.98509131950917	2.929
Pan_troglodytes	5.465	5.58232825551133	4.663
Papio_cynocephalus	5.147	5.28121407692444	4.398
Perodicticus_potto	3.825	4.12079897970986	3.061
Pithecia_monachus	4.323	4.51688705271499	3.176
Piliocolobus_badius	4.707	4.86832778778568	3.845
Propithecus_verreauxi	4.12	4.40135338583513	3.542
Pygathrix_nemaeus	4.688	4.86047259819674	3.875
Saguinus_midas	3.77	3.98108200720884	2.531
Saguinus_oedipus	3.77	3.97903342592802	2.58
Saimiri_sciureus_sciureus	4.191	4.35321967494396	2.82
Tarsius_tarsier	3.247	3.53020840861181	2.097
Varecia_variegata	4.184	4.47260429620756	3.477
