Species_TTOL	CEREB	rest_of_brain	BOD
Rhinolophus_yunnanensis	1.905	2.61598611233896	1.371
Rhinonicteris_aurantia	1.701	2.36980993185743	0.934
Rhinophylla_pumilio	1.716	2.52389337701925	0.949
Rhinopoma_hardwickii	1.629	2.41517493551946	1.111
Rhinopoma_microphyllum	1.781	2.56167523073907	1.468
Rhogeessa_parvula	1.255	2.02540404611476	0.653
Rhynchonycteris_naso	1.354	2.04732050651951	0.58
Saccopteryx_bilineata	1.577	2.33483311530367	0.924
Saccopteryx_canescens	1.33	2.08934484317686	0.531
Saccopteryx_leptura	1.438	2.18322541361085	0.708
Scotomanes_ornatus	1.74	2.55494722650546	1.338
Scotophilus_dinganii	1.911	2.6152095371468	1.386
Scotophilus_kuhlii	1.765	2.50605597481635	1.31
Sphaeronycteris_toxophyllum	1.918	2.69540272673135	1.265
Sturnira_lilium	1.983	2.7664442150746	1.305
Sturnira_ludovici	2.035	2.79971581818209	1.413
Sturnira_tildae	2.015	2.82056767486967	1.387
Tadarida_aegyptiaca	1.847	2.56759514736225	1.248
Taphozous_australis	2.017	2.68911434548403	1.38
Taphozous_hildegardeae	2.06	2.71134274302204	1.438
Taphozous_mauritianus	2.057	2.71797961523504	1.462
Taphozous_melanopogon	2.052	2.70480831622297	1.356
Tonatia_bidens	2.126	2.87212442061372	1.468
Lophostoma_schulzi	1.925	2.67681030271887	1.328
Trachops_cirrhosus	2.258	2.97719852358353	1.567
Triaenops_persicus	1.82	2.41026109600416	1.137
Tylonycteris_pachypus	1.068	1.87843900376487	0.681
Tylonycteris_robustula	1.314	2.03440793493338	0.857
Uroderma_bilobatum	2.013	2.76341624316696	1.21
Vampyressa_pusilla	1.823	2.55572901399533	0.934
Vampyrum_spectrum	2.726	3.38883839645361	2.238
Alouatta_seniculus	3.756	4.69064476860801	3.806
Aotus_trivirgatus	3.273	4.20956514451613	2.919
Ateles_geoffroyi	4.095	5.00423671459412	3.903
Avahi_laniger	3.173	3.99079117597203	3.109
