Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  NEO_d1_m8-fab-004.txt
Log File Name:                   NEO_d1_m8-fab-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1836151085
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   NEO_d1_m8-fab-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.036913
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.86 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
3850000	675.761995	1	-0.208663287385	1.202629898282	-0.011926569055	-0.021987569047	0.000062122374	0.993709641929	N\A	0.026059167385	0.002464736310	0.009814701117	38	14	
3900000	669.161920	1	-0.497912701918	1.313167942090	-0.019927163118	-0.045588126356	0.000092662740	0.993308102411	N\A	0.028950068289	0.002795026794	0.010344658864	38	14	
3950000	664.041826	1	-0.389140100419	1.268640905704	-0.013749528953	-0.059690692012	0.000031691550	0.992400575080	N\A	0.029019536994	0.003045780264	0.011106545745	36	11	
4000000	668.112269	1	-0.305669526053	1.216692796720	-0.007065364347	-0.049672277754	0.000035232622	0.992459900418	N\A	0.027124565867	0.003044957108	0.009853570726	53	12	
4050000	655.139773	1	-0.211600813103	1.179901296112	-0.010721863121	-0.010164603156	0.000038842608	0.993942994588	N\A	0.025335952167	0.002314550822	0.008304354220	39	10	
4100000	659.202348	1	-0.386424321762	1.231275263329	-0.013718573776	-0.024975923953	0.000072712901	0.992856412892	N\A	0.025355744995	0.002363964048	0.008813658584	35	9	
4150000	659.712276	1	-0.347921914070	1.228252953825	-0.012055512354	-0.027603171394	0.000054512018	0.994350006493	N\A	0.023138018476	0.002065006767	0.007500888182	37	10	
4200000	661.247897	1	-0.483780328206	1.304550266237	-0.018103247238	-0.063876554396	0.000078470546	0.994659285075	N\A	0.025844787808	0.002491057311	0.008810440842	43	11	
4250000	660.742330	1	-0.377251837353	1.224267537425	-0.012722243836	-0.035414687083	0.000099526880	0.993828225170	N\A	0.022523978626	0.002393880160	0.006752998776	51	10	
4300000	675.686697	1	-0.389310414783	1.221230083685	-0.012219734552	-0.035892419105	0.000030123431	0.994385624116	N\A	0.027607213455	0.002695213868	0.009349830022	54	9	
4350000	668.118198	1	-0.457560196728	1.245604137636	-0.014559763985	-0.038936604984	0.000026026454	0.993002950753	N\A	0.026298365251	0.002545151283	0.009117576570	27	11	
4400000	659.068432	1	-0.338531950753	1.191264532165	-0.008821633450	-0.040300964914	0.000038872235	0.995548223894	N\A	0.022970215949	0.002058767948	0.009781895563	54	9	
4450000	670.569141	1	-0.454414723201	1.237732572856	-0.011732947827	-0.043115857699	0.000028310909	0.994912186276	N\A	0.023620335447	0.002165988164	0.008107485771	35	12	
4500000	659.677821	1	-0.336042186717	1.195779915732	-0.009432936187	-0.022936780585	0.000019604676	0.994177849858	N\A	0.025741309550	0.002354698805	0.009182856921	46	9	
