Species_TTOL	DIE	rest_of_brain	rest_of_brain2	BOD
Artibeus_cinereus	1.513	3.0789623596587	9.48000921219507	1.1
Artibeus_concolor	1.649	3.0789623596587	9.48000921219507	1.288
Artibeus_jamaicensis	1.861	3.0789623596587	9.48000921219507	1.613
Artibeus_lituratus	1.933	3.0789623596587	9.48000921219507	1.748
Aselliscus_stoliczkanus	0.991	3.0789623596587	9.48000921219507	0.69
Aselliscus_tricuspidatus	0.991	3.0789623596587	9.48000921219507	0.643
Brachyphylla_cavernarum	1.984	3.0789623596587	9.48000921219507	1.648
Cardioderma_cor	1.737	3.0789623596587	9.48000921219507	1.415
Carollia_perspicillata	1.577	3.0789623596587	9.48000921219507	1.25
Chalinolobus_gouldii	1.23	3.0789623596587	9.48000921219507	1.068
Chalinolobus_morio	1.137	3.0789623596587	9.48000921219507	0.919
Chiroderma_salvini	1.774	3.0789623596587	9.48000921219507	1.417
Chiroderma_trinitatum	1.584	3.0789623596587	9.48000921219507	1.137
Chiroderma_villosum	1.697	3.0789623596587	9.48000921219507	1.394
Choeroniscus_minor	1.474	3.0789623596587	9.48000921219507	0.982
Coleura_afra	1.31	3.0789623596587	9.48000921219507	1.061
Cormura_brevirostris	1.265	3.0789623596587	9.48000921219507	0.914
Craseonycteris_thonglongyai	0.875	3.0789623596587	9.48000921219507	0.408
Desmodus_rotundus	1.874	3.0789623596587	9.48000921219507	1.56
Diphylla_ecaudata	1.803	3.0789623596587	9.48000921219507	1.49
Emballonura_monticola	1.17	3.0789623596587	9.48000921219507	0.724
Emballonura_raffrayana	1.173	3.0789623596587	9.48000921219507	0.771
Eptesicus_brasiliensis	1.185	3.0789623596587	9.48000921219507	0.964
Eptesicus_fuscus_bahamensis	1.279	3.0789623596587	9.48000921219507	1.134
Eumops_auripendulus	1.668	3.0789623596587	9.48000921219507	1.529
Eumops_glaucinus	1.665	3.0789623596587	9.48000921219507	1.562
Furipterus_horrens	0.964	3.0789623596587	9.48000921219507	0.535
Glischropus_tylopus	0.892	3.0789623596587	9.48000921219507	0.69
Glossophaga_longirostris	1.502	3.0789623596587	9.48000921219507	1.053
Glossophaga_soricina	1.455	3.0789623596587	9.48000921219507	0.996
Harpiocephalus_harpia	1.501	3.0789623596587	9.48000921219507	1.13
Hesperoptenus_blanfordi	1.104	3.0789623596587	9.48000921219507	0.863
Hipposideros_armiger	1.749	3.0789623596587	9.48000921219507	1.748
Hipposideros_ater	1.193	3.0789623596587	9.48000921219507	0.839
Hipposideros_caffer	1.326	3.0789623596587	9.48000921219507	1.041
Macronycteris_commersoni	1.734	3.0789623596587	9.48000921219507	1.997
Hipposideros_diadema	1.728	3.0789623596587	9.48000921219507	1.622
Hipposideros_fulvus	1.25	3.0789623596587	9.48000921219507	0.845
Hipposideros_lankadiva	1.728	3.0789623596587	9.48000921219507	1.686
Hipposideros_larvatus	1.49	3.0789623596587	9.48000921219507	1.312
Hipposideros_ridleyi	1.324	3.0789623596587	9.48000921219507	0.982
Hipposideros_speoris	1.31	3.0789623596587	9.48000921219507	1.061
Hipposideros_turpis	1.629	3.0789623596587	9.48000921219507	1.542
Ia_io	1.774	3.0789623596587	9.48000921219507	1.727
Kerivoula_papillosa	1.33	3.0789623596587	9.48000921219507	1.004
