Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  DIE_d1_m9-glob-001.txt
Log File Name:                   DIE_d1_m9-glob-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            923623443
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   DIE_d1_m9-glob-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.175894
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	Global Trend	
3650000	728.728701	1	-1.021026762911	0.969862848718	-0.003117508802	0.033246700412	0.000979820832	0.000025201332	0.999832042430	N\A	0.015939528563	0.002355871335	0.017414710651	0.003282442974	25	0	0.110666160209	Global Trend	
3700000	735.254008	1	-0.961101915575	0.915554937184	0.002820604184	0.093132535154	-0.011279249156	0.000024156410	0.999995464039	N\A	0.014533611202	0.002121771888	0.015802392344	0.002701872806	41	0	0.672427899280	Global Trend	
3750000	736.488017	1	-0.827797506364	0.852180473001	0.010288874952	0.090550991619	-0.009585761887	0.000026625999	0.993824656238	N\A	0.029914245965	0.004869860677	0.017496318103	0.003505354556	21	0	-0.004805342227	Global Trend	
3800000	739.827233	1	-0.914357670035	0.887526690733	0.009402526289	0.082996178151	-0.010796059722	0.000019962877	0.994525586100	N\A	0.023294487146	0.003433375408	0.017324934244	0.003138759276	44	0	-0.006320368986	Global Trend	
3850000	716.536027	1	-0.937235332135	0.919159127856	-0.000550482969	0.091806335963	-0.009827564168	0.000032214383	0.999959531442	N\A	0.016100996462	0.002232106786	0.017426933240	0.002984245487	32	0	0.312515128771	Global Trend	
3900000	738.629010	1	-0.975543194852	0.938359206401	-0.002237343764	0.070540363970	-0.006202584664	0.000026436240	0.999911340039	N\A	0.015126494292	0.002128299415	0.016443331512	0.002876724179	26	0	0.183834662668	Global Trend	
3950000	726.805841	1	-0.889242192429	0.905712875561	-0.002715885299	0.100864847356	-0.007781655502	0.000029609765	0.999368991184	N\A	0.016228118205	0.002215461911	0.017564002489	0.003001329073	42	0	-0.072212069291	Global Trend	
4000000	733.077852	1	-0.897485238477	0.922031032022	0.003269981643	0.059640153437	-0.006653097601	0.000025039099	0.996301277944	N\A	0.016762235200	0.002421032973	0.016682804397	0.002837912569	29	1	-0.019733115976	Global Trend	
4050000	718.499591	1	-0.978455668408	0.899030941361	0.004157637200	0.111877511967	-0.014915199285	0.000022237099	0.999900289658	N\A	0.015932504446	0.002178007455	0.017347076468	0.002932256514	54	1	0.097761364937	Global Trend	
4100000	733.775173	1	-1.004206658640	0.950267445600	-0.001207050950	0.056166859145	-0.005340565063	0.000030108690	0.999948418658	N\A	0.015199873325	0.002262466228	0.016677158111	0.003039259368	40	1	-0.290347112446	Global Trend	
4150000	721.441109	1	-0.962060450302	0.952008565415	-0.004819131933	0.053940925650	-0.001665609893	0.000021038555	0.999973839686	N\A	0.013890839000	0.002172342126	0.015359493301	0.002904105873	36	1	-0.225294938371	Global Trend	
4200000	724.107465	1	-0.996594989383	0.941444268320	0.000281365075	0.067054827461	-0.008364439546	0.000058209424	0.999897195644	N\A	0.015337509974	0.002096246945	0.016720897357	0.002871618325	36	1	0.460202697685	Global Trend	
4250000	727.192137	1	-0.965381362510	0.930719447920	-0.002646014522	0.082402919582	-0.005160159077	0.000031518274	0.996038161066	N\A	0.017609294057	0.002473380985	0.017447333286	0.003115670226	44	0	0.025407855874	Global Trend	
4300000	728.200393	1	-0.988038438891	0.929286722873	0.001766531338	0.083391751558	-0.011659837883	0.000029867886	0.997871696124	N\A	0.015901868060	0.002237638875	0.016537016879	0.002955942084	24	0	0.031525024211	Global Trend	
4350000	731.570283	1	-1.008033694428	0.957029165367	-0.004572371153	0.047805768230	-0.000405010951	0.000018610268	0.999881698475	N\A	0.015854367742	0.002234029473	0.017397304821	0.003177281115	40	0	0.088095027452	Global Trend	
4400000	737.812471	1	-0.988180121044	0.949345929273	-0.001396827168	0.059163839861	-0.006647673706	0.000021838428	0.999962430466	N\A	0.015233847990	0.002038680406	0.016626683469	0.002889944633	43	1	0.198632103142	Global Trend	
4450000	744.981704	1	-0.989095767672	0.936721137527	-0.002106787622	0.071870522433	-0.006478577909	0.000032449733	0.999982146669	N\A	0.013779807557	0.002030448210	0.015070323162	0.002749033721	35	2	-0.513143553845	Global Trend	
4500000	736.468765	1	-1.007231432812	0.953079761579	-0.001919313508	0.054133482882	-0.005281572083	0.000016924136	0.999985487689	N\A	0.013302813645	0.002057998133	0.014544477924	0.002681471588	44	1	-0.279204540979	Global Trend	
4550000	737.626837	1	-1.032255930544	0.942951280200	0.001351115759	0.074569155063	-0.012084629501	0.000027221259	0.993887635412	N\A	0.020715401960	0.003196736344	0.016580375020	0.002942226410	34	2	-0.010945901733	Global Trend	
4600000	735.758686	1	-0.931227015959	0.949012234231	-0.001557186690	0.060842839464	-0.005558484873	0.000036713988	0.999923487632	N\A	0.014087395250	0.002101682096	0.015265394073	0.002762878238	39	0	0.249957169959	Global Trend	
4650000	729.895414	1	-0.948686437445	0.923501949330	0.003468898498	0.066452779015	-0.008049334150	0.000023508483	0.995946736866	N\A	0.017067386276	0.002493018693	0.016734226512	0.003058286862	35	1	-0.014534005103	Global Trend	
4700000	728.699225	1	-0.988150234944	0.944891742675	0.001414604864	0.061950172230	-0.008394380211	0.000026746795	0.999997940307	N\A	0.014201318255	0.002007231725	0.015520870560	0.002769141542	33	0	-1.293203449984	Global Trend	
4750000	734.948013	1	-1.018068259520	0.955697843804	0.000033395924	0.047950846375	-0.005071716812	0.000018815966	0.997799002508	N\A	0.014899033258	0.002307270863	0.015769590972	0.002861474117	27	0	-0.024301262094	Global Trend	
4800000	732.503589	1	-0.913355223628	0.886837306943	0.006317442219	0.092254837761	-0.011564725565	0.000023642250	0.993082733664	N\A	0.029479573296	0.004547310091	0.016767505965	0.003263706530	42	1	-0.003958193736	Global Trend	
4850000	718.279157	1	-1.058191459174	0.976964129322	0.003004653235	0.029379045517	-0.008129813628	0.000026716217	0.999130465752	N\A	0.016347012086	0.002281352049	0.017533820160	0.003118984372	44	1	0.043373810551	Global Trend	
4900000	736.583691	1	-1.028530331471	1.017869841906	-0.015714314496	0.027525232681	0.003094478436	0.000028953187	0.991734848156	N\A	0.031319464241	0.004695126678	0.018602590020	0.003660358436	41	0	0.004907458197	Global Trend	
4950000	737.865628	1	-0.947166145068	0.943412033508	-0.004623910544	0.064041277034	-0.002944002586	0.000029825367	0.999998338141	N\A	0.014270541223	0.002071409485	0.015476729167	0.002705397569	49	1	-1.512247483824	Global Trend	
5000000	738.060877	1	-0.956738391402	0.944393261094	-0.005078290698	0.064508602684	-0.002716296256	0.000026916138	0.999613357001	N\A	0.014413356072	0.002052199863	0.015491650050	0.002673148067	44	1	0.095237684309	Global Trend	
5050000	719.121110	1	-1.207299929378	1.125893486390	-0.030940852856	-0.003030127074	0.010036567993	0.000027737780	0.991070078657	N\A	0.064734618352	0.009710201509	0.025123853976	0.005056778840	25	1	0.000019769759	Global Trend	
5100000	731.689356	1	-0.988676409724	0.933794524771	0.001246502890	0.072499619571	-0.009559983566	0.000017581136	0.997416025500	N\A	0.015587996324	0.002254720718	0.015844959241	0.002823167677	40	1	-0.017747115703	Global Trend	
5150000	725.885824	1	-1.034133931719	0.976412026245	-0.003699990845	0.034071011150	-0.002155524879	0.000028603722	0.994385659171	N\A	0.019215524425	0.002696513645	0.016649924172	0.003047686406	32	2	0.014110675002	Global Trend	
5200000	735.919662	1	-0.992236021899	0.934846654430	0.000294315365	0.073791589270	-0.008963912608	0.000021565491	0.999991743837	N\A	0.015664993654	0.002108472049	0.017096796173	0.002949639905	31	0	-0.434319102561	Global Trend	
5250000	731.925809	1	-0.948311968238	0.897600153259	0.000300155418	0.116249067583	-0.011952297256	0.000027377127	0.991682252177	N\A	0.042335753123	0.005729390302	0.020862750295	0.003613805039	32	1	0.001820194993	Global Trend	
5300000	742.511621	1	-0.880237966729	0.866624734738	0.009068800766	0.104178783704	-0.013252358577	0.000020457699	0.992985938680	N\A	0.029625192317	0.004303245472	0.017767527669	0.003243653989	31	2	-0.004286284236	Global Trend	
5350000	729.237702	1	-1.020198212057	0.978909563508	-0.001546497996	0.024592901883	-0.003030311600	0.000019144777	0.999882019101	N\A	0.014304012955	0.002064649210	0.015702655033	0.002781092273	38	1	-0.099300526602	Global Trend	
5400000	734.274464	1	-1.003480707389	0.962121960166	-0.000303784064	0.043615353957	-0.004634863859	0.000020882181	0.999968811546	N\A	0.013862462543	0.001898255997	0.015059554426	0.002735979609	32	0	0.227902610720	Global Trend	
5450000	730.055384	1	-0.997733659223	0.946325446622	-0.001904303689	0.060050661425	-0.004562784764	0.000008305062	0.999998803962	N\A	0.015556112688	0.002315006212	0.017086389980	0.003182533576	38	0	-0.525220522136	Global Trend	
5500000	733.089967	1	-1.001740776416	0.953371673241	-0.001838709001	0.052059812086	-0.004045940871	0.000011655174	0.999882782895	N\A	0.015310142729	0.002184751588	0.016677593637	0.003027720725	33	0	-0.052505939132	Global Trend	
5550000	725.767161	1	-0.948324298560	0.930781183650	-0.000489911190	0.078834265877	-0.008881590904	0.000026256523	0.999995117595	N\A	0.016336175718	0.002262054771	0.017818936557	0.003117534450	29	0	0.849785830834	Global Trend	
