Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  PAL_d1_m9-VR-006.txt
Log File Name:                   PAL_d1_m9-VR-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1171951514
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   PAL_d1_m9-VR-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
3800000	386.821536	1	-1.091134790248	0.936558295007	-0.017631686216	0.169134258712	-0.019042109204	0.000333440235	0.940661089184	N\A	0.142502082903	0.021882430901	0.054305072524	0.011374443788	38	27	
3850000	399.665773	1	-1.130944838514	1.006977327868	-0.009440578245	0.064689459322	-0.023113613297	0.000322976790	0.944138418210	N\A	0.131737517812	0.018176058871	0.058663776772	0.010462549999	40	28	
3900000	404.509440	1	-1.241195945029	1.139978379938	-0.036359327440	0.064608029986	-0.011638029270	0.000187254914	0.945780771113	N\A	0.121335677897	0.019628056573	0.047589380692	0.009683910451	53	22	
3950000	401.495173	1	-1.166767394549	1.123010885930	-0.012511070135	-0.039601763860	-0.010112917952	0.000190818918	0.959348435899	N\A	0.092158162486	0.012565600658	0.037155298475	0.006844785613	42	31	
4000000	399.804766	1	-1.441823148715	1.283631787501	-0.031034674111	-0.101334719073	-0.000288524345	0.000269474290	0.944564307402	N\A	0.097839781195	0.013574051095	0.046093560317	0.008087912439	52	21	
4050000	398.880771	1	-1.329157273777	1.177924690130	-0.022914319866	-0.008426098388	-0.013721059736	0.000284683129	0.943228313333	N\A	0.118747878008	0.015573645642	0.056742216853	0.009431050328	53	30	
4100000	391.253554	1	-1.583367815942	1.356622022127	-0.064978978580	-0.097669986956	0.018540596816	0.000320877474	0.957428537653	N\A	0.132650453004	0.017927738812	0.053976890929	0.009903678306	44	29	
4150000	386.726953	1	-1.353668696909	1.147858708008	-0.035736464994	0.000818315698	0.000521335767	0.000273741896	0.940538827160	N\A	0.152918209939	0.022821365054	0.060474541958	0.011388985267	49	25	
4200000	387.403993	1	-1.091117104782	0.971145989744	-0.016517847627	0.119918166808	-0.020068700300	0.000239559282	0.938132295556	N\A	0.131800621295	0.018734233647	0.057838358507	0.010545750721	42	26	
4250000	416.411682	1	-1.337543832653	1.283580334917	-0.068592804564	0.028384861182	0.004067908915	0.000265485270	0.943701254387	N\A	0.137487601102	0.020032023292	0.056533205267	0.010657670031	62	34	
4300000	411.636116	1	-1.420676372755	1.361761980362	-0.076018417745	-0.045552217461	0.020870156773	0.000127679613	0.954745129847	N\A	0.111460757960	0.016637096258	0.044393249621	0.009010672323	45	31	
4350000	385.864468	1	-1.723081629302	1.550889489598	-0.091286995882	-0.156715971092	0.025524161948	0.000204257036	0.933246255350	N\A	0.140147483799	0.021148448067	0.058882205101	0.010772871626	40	23	
4400000	383.757475	1	-1.013949366669	0.954471458139	-0.002532177669	0.139908323486	-0.036514053955	0.000129668970	0.940932916166	N\A	0.135443343232	0.018388599950	0.060339388599	0.009964925137	46	20	
4450000	405.020139	1	-0.782205354855	0.808832896092	0.035078875189	0.098942114859	-0.041826171896	0.000098770216	0.947329875141	N\A	0.108629184191	0.016010439169	0.047185867602	0.008731973807	49	34	
4500000	411.953664	1	-1.203572555360	1.142878969290	-0.034987799832	0.042833780857	-0.006134683140	0.000089185553	0.943535553462	N\A	0.135559643535	0.019728579997	0.055648845412	0.010236839663	53	32	
4550000	405.118726	1	-1.632707238742	1.529259418705	-0.099653569674	-0.090730038621	0.022431030732	0.000205893293	0.941823466250	N\A	0.111503415942	0.017138317643	0.048420570471	0.009396196423	50	31	
4600000	383.901999	1	-1.423609116932	1.168050161268	-0.038573317950	0.023244419190	-0.005312259537	0.000360261453	0.937878902964	N\A	0.152391918531	0.021982062681	0.064953186208	0.012063311830	56	31	
4650000	393.730666	1	-1.109917690722	0.950316435767	-0.015775995362	0.108051564378	-0.011235693902	0.000413678521	0.940457374863	N\A	0.152004125787	0.021657336612	0.061785087292	0.011190609268	40	30	
4700000	389.484846	1	-1.522483247663	1.226352894811	-0.043554332263	0.012682953986	-0.008021384178	0.000419836733	0.938701267210	N\A	0.142255883007	0.020340033057	0.059405913364	0.010625052550	51	30	
4750000	399.159638	1	-1.655482095558	1.381077690642	-0.081637355740	-0.013292288870	0.011992127549	0.000307476717	0.940773774895	N\A	0.157457658713	0.022593478621	0.064870980477	0.012298790263	48	24	
4800000	389.020281	1	-1.397435314114	1.135674693599	-0.032103532942	0.049994527016	-0.011389475674	0.000432970806	0.939021411996	N\A	0.148328296786	0.021731085121	0.058967089896	0.010717904037	48	33	
4850000	403.985259	1	-1.032080689371	1.005271337473	-0.019016982999	0.095220681690	-0.020697820963	0.000254762437	0.943826516801	N\A	0.120322631886	0.016680399455	0.054360559517	0.009417497610	41	34	
4900000	398.724455	1	-1.692792598962	1.298669126262	-0.040132604326	-0.063177193587	-0.003753599955	0.000288071853	0.949198902703	N\A	0.117233444417	0.017984325101	0.045748113053	0.009896838040	43	38	
4950000	408.455934	1	-1.580735685300	1.450526033896	-0.073463476670	-0.081367147326	0.008822529596	0.000325295689	0.958159613722	N\A	0.115008823809	0.018638319464	0.043926670705	0.009901076637	45	27	
5000000	399.266505	1	-0.837547963546	0.816594624473	-0.005629230058	0.176138729502	-0.022527959905	0.000423032324	0.939314663298	N\A	0.135766754391	0.019561988423	0.058448073462	0.010489176231	48	30	
5050000	413.903774	1	-1.292625497430	1.153658191463	-0.035817760367	0.011510056357	-0.003827636888	0.000298285012	0.944809951190	N\A	0.112034394856	0.014979885887	0.051505189118	0.008798336748	53	22	
5100000	398.335135	1	-0.748129987790	0.757841708549	0.010724171511	0.194842999634	-0.034981123035	0.000601658437	0.940470788241	N\A	0.131484610093	0.017165012045	0.060226107777	0.010054345858	46	29	
5150000	398.851528	1	-1.290005592321	1.060571874823	-0.021622051370	0.067370469135	-0.017379838447	0.000413277414	0.937498120084	N\A	0.121322164974	0.016173954420	0.056551927440	0.009543461202	41	25	
5200000	401.516476	1	-1.343946986211	1.260420801305	-0.049858214349	-0.037718495418	0.003940540618	0.000286114509	0.943496277452	N\A	0.133424952790	0.020294721243	0.056028752657	0.011051912502	46	28	
5250000	397.947491	1	-1.419565618792	1.300586392437	-0.058359455806	-0.029342016376	0.005155631421	0.000327929601	0.938690125388	N\A	0.139204655342	0.020620152566	0.059275324859	0.011113491228	48	35	
5300000	420.478051	1	-0.973175631035	1.010646713342	-0.016915604997	0.082868029335	-0.015379706502	0.000272937913	0.947793133243	N\A	0.122511268375	0.016981265087	0.053536953062	0.009098400746	40	24	
5350000	397.791543	1	-1.716462802366	1.302573940824	-0.036835498905	-0.054131603671	-0.008353569953	0.000217747953	0.934270061908	N\A	0.125118509677	0.017078701020	0.056413059731	0.009519977860	46	22	
5400000	409.956966	1	-1.219593712000	1.046186403715	-0.017438848226	0.060537852361	-0.018255824204	0.000316483985	0.949499479859	N\A	0.141827718888	0.020625554327	0.055649454636	0.010759467978	47	34	
5450000	394.662109	1	-1.180420254902	1.102565869931	-0.024728165939	0.060935007058	-0.016817769073	0.000281821189	0.947689253853	N\A	0.135181959370	0.017870729951	0.058248700171	0.009745351061	44	33	
