Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  PAL_d1_m2-fab-002.txt
Log File Name:                   PAL_d1_m2-fab-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2833644137
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   PAL_d1_m2-fab-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.207006
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.72 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	
2550000	357.263982	1	0.544873552164	0.774946505241	1.449368049434	0.276920096887	1.058327780761	0.934140441936	0.465756106584	-0.153389289059	-0.147000524352	-0.314841369241	-0.251590792542	-0.320936014765	0.000356606393	0.920422460778	N\A	0.069651351964	0.251313988494	0.244866402873	0.282295634491	0.253768710564	0.349227809684	0.072583824766	0.071744636313	0.077941878681	0.078959416032	0.075107042350	38	18	
2600000	338.786986	1	1.162012520641	0.468470977652	0.443661813097	-0.677826613819	-0.407356362890	0.080429923242	-0.333891346803	0.175792736493	0.180944835236	0.033716974138	0.120314417732	0.053743950115	0.000580116760	0.908643646751	N\A	0.131664179390	0.432283633486	0.425942047148	0.450096582216	0.446290460704	0.519161014060	0.134484025626	0.132799106622	0.135929717880	0.138410166027	0.134152519766	39	10	
2650000	337.501886	1	0.802675718395	0.510551091740	-0.201028013191	-0.772211655563	-0.100338612385	-0.080947887827	0.557868090406	0.141703716333	0.174680597715	-0.020452662587	0.034683463420	-0.043407993136	0.000382860353	0.902530319539	N\A	0.072382548001	0.249027973777	0.233000479239	0.254665491662	0.246761519185	0.327087993951	0.075464431141	0.075059373904	0.079187355256	0.081707552721	0.075812870919	38	15	
2700000	343.132910	1	1.458046884166	0.377088626241	-1.130001782798	-1.644396856888	-0.792196529157	-0.492479336121	-0.458477481949	0.234809341714	0.249898544265	0.166772278870	0.213087243795	0.090741667811	0.000160473742	0.915444002753	N\A	0.075380197915	0.212871741402	0.200627482821	0.251034390854	0.226602384178	0.248202170931	0.079172853841	0.077191233058	0.082793569270	0.085877763582	0.077735502447	38	8	
2750000	340.841485	1	0.691633718318	0.483403179148	-0.626433364153	-1.193587810307	0.079978650532	0.226031799243	0.378628678387	0.134551370986	0.207232795012	0.055746019374	0.067417740242	0.046643898952	0.000173819060	0.914509595663	N\A	0.144248844189	0.465311812841	0.459476476601	0.490779278914	0.460469398050	0.486675319074	0.145711796987	0.145453571424	0.149512227383	0.146344136975	0.147304488886	35	13	
2800000	336.968021	1	0.145594239814	0.602911306207	-0.960090620898	-1.606103867491	0.950173201380	0.430890751536	1.431325134981	0.005624850704	0.079773513283	-0.214304790114	-0.008951052256	-0.114187935721	0.000678124209	0.926553282331	N\A	0.081662487792	0.281381745677	0.274065985735	0.326046987453	0.279768272352	0.422754966267	0.084624971489	0.083356672799	0.090918108865	0.088021842930	0.083720820278	36	15	
2850000	345.943637	1	0.541789759877	0.584476083465	-0.476411119513	-1.004280833543	0.772633144501	0.421413802044	0.363939926021	0.103343858816	0.107704666715	-0.153871911482	-0.034091668390	-0.076314004049	0.000575774670	0.917934677540	N\A	0.074251071500	0.267103015087	0.258212690383	0.284179302714	0.268088321155	0.392457000157	0.076951324390	0.077067796361	0.078150872793	0.082135233072	0.079180959084	52	15	
2900000	345.565184	1	0.746890691482	0.621536535513	-0.894076456101	-1.374368054896	-0.072779402777	0.051379575962	0.517496357098	-0.004301137907	0.027989858410	-0.125562208068	-0.089465941054	-0.160707506600	0.000861890828	0.915834763298	N\A	0.087420743584	0.312584452695	0.303038016738	0.352212858201	0.333901597602	0.468395458925	0.089778626328	0.088800130758	0.097031246714	0.098979715909	0.091298363534	30	10	
2950000	343.584703	1	0.466008400483	0.673866981842	-1.161885378972	-1.600304610430	0.134754107417	-0.254675175508	1.136975198522	-0.045414766526	-0.052670508829	-0.196852496819	-0.096147233831	-0.262926536897	0.000490779398	0.919601632381	N\A	0.067827120530	0.247827801564	0.237637342753	0.276612739411	0.262781068598	0.360279880025	0.071360749788	0.069572274444	0.076653849325	0.077063716485	0.072613133821	44	14	
3000000	333.590727	1	0.119978998087	0.494816202962	-0.381360239800	-0.833831692426	0.093608763842	0.545704237756	1.118883066362	0.129386695785	0.179774589532	0.093995725676	0.086491307215	-0.027762112767	0.000340306916	0.906307081920	N\A	0.166298227863	0.534770067998	0.529042233889	0.540010224841	0.536209536535	0.574718260002	0.168491374402	0.167291729354	0.169000729368	0.169983449892	0.168260539595	36	18	
