Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  CEREB_d1_m2-VR-003.txt
Log File Name:                   CEREB_d1_m2-VR-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3280679502
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   CEREB_d1_m2-VR-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Branch	No RJ Local Node	
2500000	370.897136	1	0.627868837329	0.687472045707	0.452336386127	0.425307606597	0.608837909506	0.069766713396	0.454774068218	-0.019308596889	0.059031695153	-0.004773019172	0.008609874236	-0.075555371374	0.000513812933	0.955995166877	N\A	0.070303337614	0.253434805781	0.244634981076	0.289959409033	0.271320989468	0.374391048253	0.072043304361	0.071326013980	0.078877147480	0.081555238307	0.074129859053	49	26	
2550000	368.114370	1	0.404912113644	0.803165229020	0.588054715363	0.499497925142	0.847360496114	0.738542815330	0.699192104033	-0.153071905358	-0.119361913606	-0.102096133886	-0.206812480923	-0.180912565402	0.000400106823	0.935532203385	N\A	0.066686760498	0.234939314392	0.223611442363	0.260727580198	0.249514182346	0.319574765898	0.068843840212	0.068580717580	0.073760502082	0.075958518249	0.071308407721	51	28	
2600000	352.250338	1	0.544240755659	0.701721634970	0.620378836910	0.598584103201	0.667925498391	0.520124109577	0.619023580280	-0.035504056337	-0.007555158046	-0.035785125854	-0.087445876301	-0.153290804026	0.000185102188	0.932238417206	N\A	0.103897730546	0.252775994642	0.240052342231	0.264248746102	0.247848420967	0.290778784834	0.106591603527	0.105091684530	0.109978974992	0.109937224588	0.105687631792	54	29	
2650000	359.995791	1	0.454860394228	0.795334878952	0.238936512263	0.163091003400	0.526967905819	0.110037144025	0.868122109523	-0.106000303540	-0.056346429804	-0.123694835778	-0.154001154584	-0.140140140129	0.000403234043	0.942614505805	N\A	0.068106343169	0.226125322102	0.220166213450	0.258593310851	0.306641864857	0.330980079847	0.069497803973	0.070391250529	0.076453961169	0.083910103082	0.072272944951	55	22	
2700000	364.433925	1	0.281496549538	0.737223365098	0.784228210552	0.674662311436	1.149653427634	0.557978802166	0.854613300032	-0.053378427212	0.005793900199	-0.109852246947	-0.058398875113	-0.128423246930	0.000426660566	0.952138866892	N\A	0.063241399392	0.221253549955	0.219797714626	0.251287091580	0.260304372797	0.337765825386	0.064918307037	0.064982929045	0.066638636334	0.082657458822	0.067616863861	39	36	
2750000	365.445002	1	0.821318797735	0.734807955009	0.551328387563	0.371859542224	0.637389270301	0.372871123880	-0.199757360717	-0.069932839442	0.029975910569	-0.058011866825	-0.065239946520	-0.109345875828	0.000340831778	0.948528648771	N\A	0.099661095245	0.260286395838	0.254555883854	0.285564810777	0.272862898916	0.347015710810	0.100740447449	0.100775879525	0.105740620257	0.107188000475	0.101970296179	43	33	
2800000	363.323592	1	0.649704722384	0.796391715064	0.622091739625	0.466086694378	0.705373320377	0.188123619253	0.294507555938	-0.106639298139	-0.082293149243	-0.125971415151	-0.087147857866	-0.179276934173	0.000242941001	0.947359980124	N\A	0.073600615006	0.237720697366	0.230885903097	0.256098732755	0.241973921720	0.295347382562	0.075262468918	0.074968979805	0.082800694831	0.082878180115	0.076937926914	49	27	
2850000	355.402018	1	0.481857450493	0.718315234525	0.509606314769	0.529326772308	0.662649080675	0.349886421461	0.713871462625	-0.012933525673	-0.017050717549	-0.043343184601	-0.057159210156	-0.117069287376	0.000297267655	0.936439791201	N\A	0.054875938002	0.379847033982	0.205572380850	0.221077934068	0.218112027592	0.289524202313	0.058865023394	0.056923008450	0.061246034047	0.067541539002	0.059896003249	42	32	
2900000	368.132733	1	0.406558304949	0.825654564920	0.775202736738	0.561460830398	0.982311010253	0.791060331619	0.564153650512	-0.176151240141	-0.156265895442	-0.170672794568	-0.171910218993	-0.229130076234	0.000280935635	0.946789580267	N\A	0.071408791716	0.571988370130	0.251399460671	0.262185532592	0.261354286671	0.316239532757	0.072823074460	0.073298827510	0.076688716248	0.080201420201	0.074372708108	52	32	
2950000	366.027553	1	0.281238872719	0.796959784747	0.966607042729	0.784987519873	1.064630847303	0.903432942927	0.607567043952	-0.138356227164	-0.037222970336	-0.109575992812	-0.197554645838	-0.188354977506	0.000321351009	0.950569240165	N\A	0.089714435618	0.493992665975	0.483711989267	0.490498070092	0.488255091378	0.528893633935	0.091119117314	0.090747342540	0.094103211004	0.096398364855	0.093205603410	48	32	
