Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  CEREB_d1_m7-glob-006.txt
Log File Name:                   CEREB_d1_m7-glob-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2805774744
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   CEREB_d1_m7-glob-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.111269
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	Global Trend	
4950000	564.009456	1	-0.811821803156	0.960532250593	0.046293838423	0.000052179016	0.000111091103	0.987598916984	N\A	0.020993083670	0.020286360013	0.002656030163	41	0	0.008721396538	Global Trend	
5000000	580.598511	1	-0.779161587198	0.944856892425	0.070637021135	-0.002818909548	0.000096641407	0.986460306599	N\A	0.023303650393	0.021333876802	0.002584441942	26	0	0.014177952667	Global Trend	
5050000	560.584949	1	-0.875552225030	0.910078504829	0.110588544268	-0.004830241282	0.000074154730	0.991894105577	N\A	0.025205470407	0.026089942387	0.002994093801	45	2	-0.027927004049	Global Trend	
5100000	576.936051	1	-0.739280220757	0.980132798592	0.017433682430	0.003264290837	0.000099429158	0.999952595043	N\A	0.019430907264	0.021050405334	0.002010715737	37	1	0.756392006973	Global Trend	
5150000	572.317459	1	-0.819946109769	0.975988598778	0.023118904235	0.000847002818	0.000096806011	0.999977947792	N\A	0.020046633115	0.021652908244	0.002020625799	39	1	-0.965584675698	Global Trend	
5200000	562.631535	1	-0.794264437664	0.946981153705	0.053378144062	0.000260146973	0.000077722346	0.989172370710	N\A	0.020157209877	0.019179646404	0.002431094728	39	1	0.008725614125	Global Trend	
5250000	567.974100	1	-0.876201157913	1.008932536581	0.011925896911	0.000699353968	0.000063053566	0.986868027329	N\A	0.022959504220	0.022242171391	0.002649621052	41	1	0.006575995038	Global Trend	
5300000	561.379986	1	-0.609349438085	0.905252303543	0.110865013285	-0.004232885566	0.000102966698	0.994647527218	N\A	0.023264955751	0.024906826983	0.002613537062	33	0	0.078876264242	Global Trend	
5350000	562.140117	1	-0.713843588467	0.929644918672	0.070624687189	-0.002383043382	0.000062042048	0.999471172975	N\A	0.022123881806	0.024012364124	0.002424079728	38	0	-0.113462796150	Global Trend	
5400000	581.936725	1	-0.781256448019	0.936265920704	0.062721953472	0.000420989028	0.000084231110	0.998583344698	N\A	0.018750164883	0.020065705229	0.001859882638	34	0	-0.091596993017	Global Trend	
5450000	565.777312	1	-0.821559189685	0.957434595021	0.048199768790	0.000879750032	0.000067691358	0.982030483729	N\A	0.024381466523	0.021927203315	0.003005746084	46	0	-0.000440142952	Global Trend	
5500000	572.565134	1	-0.725604404702	0.920530624630	0.081092762824	-0.001130732893	0.000094397908	0.999899604986	N\A	0.020094340899	0.021824759658	0.002233487218	29	3	0.498497829688	Global Trend	
5550000	574.638624	1	-0.742334864685	0.959460159872	0.039584440564	0.000288592173	0.000069972286	0.999973772390	N\A	0.017649746599	0.019031588602	0.001767055052	44	0	-0.485846073070	Global Trend	
5600000	567.046383	1	-0.912485926583	1.010869553844	0.006667498420	0.002419120320	0.000076882848	0.981934373687	N\A	0.026743665846	0.023622975995	0.003174723523	37	1	-0.001153116901	Global Trend	
5650000	559.608384	1	-0.726745211716	0.946085787030	0.055815054345	0.000009961110	0.000117820218	0.999699784602	N\A	0.020460178797	0.022148800248	0.002148082888	30	0	0.239797139463	Global Trend	
5700000	570.725048	1	-0.727927438946	0.948215273807	0.034512946548	0.005132850018	0.000068696798	0.995280092702	N\A	0.019821795251	0.021122735565	0.002183176797	36	1	-0.027704306033	Global Trend	
5750000	564.673693	1	-0.984925891695	0.992227912054	0.069771738699	-0.010185962953	0.000084759936	0.990727383532	N\A	0.015454675856	0.021667957185	0.003201333206	37	2	-0.008565877331	Global Trend	
5800000	566.565411	1	-0.782987890823	0.951125798924	0.048539500432	0.000574658610	0.000074409142	0.999932093966	N\A	0.017812302451	0.018987571429	0.001508178561	34	0	0.344205914214	Global Trend	
5850000	572.599315	1	-0.758822139867	0.940510427144	0.070709811307	-0.002787006973	0.000097500757	0.989885750157	N\A	0.022036114465	0.022743459992	0.002437135202	30	0	0.026974836358	Global Trend	
5900000	571.416618	1	-0.906177565420	0.991900678033	0.018747026179	0.000164535491	0.000062265816	0.992240631126	N\A	0.022805333361	0.023623956004	0.002426413840	33	0	-0.025203151271	Global Trend	
5950000	572.072566	1	-0.861854894919	1.009267306791	0.041657229659	-0.005657305689	0.000118187709	0.986579346311	N\A	0.024415138647	0.022324609490	0.002786160557	25	1	0.010868742054	Global Trend	
6000000	576.904581	1	-0.699724803748	0.934721046769	0.065419778779	-0.001056954578	0.000076646674	0.999881634076	N\A	0.021176568544	0.022900014552	0.002177250620	30	0	-0.393470327358	Global Trend	
6050000	572.573478	1	-0.837115618429	0.974851139103	0.021080577579	0.004112365516	0.000075166487	0.999994120227	N\A	0.020577615119	0.022252550104	0.002023152478	33	1	1.496020124303	Global Trend	
6100000	563.336184	1	-0.770408902151	0.933796010778	0.064115568318	0.000077491365	0.000205336172	0.989934149215	N\A	0.022301540037	0.022877522579	0.002365158334	45	2	0.040178282098	Global Trend	
6150000	555.740028	1	-0.820430088563	0.955219053369	0.060463945131	-0.002587724558	0.000082531369	0.985389267938	N\A	0.022854636765	0.021126298389	0.002833500053	32	0	-0.003224669303	Global Trend	
6200000	577.029131	1	-0.694777470254	0.970939492739	0.024536887874	0.002086247810	0.000062372991	0.999808220176	N\A	0.018513879052	0.019968562516	0.001851783807	31	3	-0.218000324715	Global Trend	
6250000	556.098028	1	-0.703735889059	0.910376721671	0.092942903358	-0.003137859896	0.000075514640	0.999993291090	N\A	0.020844286967	0.022551601733	0.002212694973	39	1	1.258212519449	Global Trend	
6300000	565.925050	1	-0.789339326928	0.933270628320	0.072024201346	-0.001268053318	0.000100130898	0.984542751931	N\A	0.023879741738	0.023182563612	0.002872119318	21	1	-0.018626146725	Global Trend	
6350000	562.606172	1	-0.862605074735	1.008685121698	-0.009947036604	0.005311824097	0.000083693341	0.993698974631	N\A	0.021170162201	0.022262451933	0.002322765586	40	0	0.034587452178	Global Trend	
