Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  NEO_d1_m7-glob-004.txt
Log File Name:                   NEO_d1_m7-glob-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4177588168
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   NEO_d1_m7-glob-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.036913
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.86 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	Global Trend	
3900000	650.675736	1	0.097935529016	1.143163857885	-0.007046758617	-0.005462700254	0.002613994060	0.992958043408	N\A	0.016043105744	0.015248929296	0.001598774242	43	3	0.156207347383	Global Trend	
3950000	656.310667	1	-0.611920710130	1.119723004054	0.003710310094	-0.005103004300	0.003669189652	0.994512661292	N\A	0.011537052654	0.012701694304	0.001524187839	43	5	0.506220158445	Global Trend	
4000000	645.979089	1	-0.838192216443	1.114065727020	-0.010307419124	-0.002220974297	0.001641475112	0.992826909234	N\A	0.014824039087	0.014452545215	0.001750051662	41	4	0.143037645434	Global Trend	
4050000	652.089553	1	-0.944954029002	1.143557069906	-0.023195992309	-0.002395538555	0.000657129776	0.991493222408	N\A	0.016143946567	0.015328659950	0.001801202434	38	4	0.049005000102	Global Trend	
4100000	652.974819	1	-0.915561726215	1.128506886733	-0.007408359445	-0.005115807562	0.000514366172	0.992104363557	N\A	0.016708757933	0.015869401972	0.001966857941	41	6	0.033647687087	Global Trend	
4150000	652.427685	1	-0.938388175689	1.171799306948	-0.050028290255	-0.000990396862	0.000108971447	0.992076011496	N\A	0.018154883195	0.016611857595	0.001752373399	45	5	0.006815992509	Global Trend	
4200000	661.884568	1	-0.941308712309	1.160651370189	-0.016954625457	-0.007181248226	0.000058141838	0.992632712791	N\A	0.015334037859	0.015093216752	0.001670908031	43	3	0.005558352009	Global Trend	
4250000	644.590401	1	-0.968012252573	1.142841611734	-0.007149848364	-0.005525229871	0.000258809824	0.992599727053	N\A	0.014495094303	0.014882967634	0.001901269937	36	3	0.006975594118	Global Trend	
4300000	650.879843	1	-0.701028000561	1.131004934145	-0.007180201553	-0.003467675254	0.000185334510	0.991947262460	N\A	0.016119038354	0.015762386602	0.001944559502	35	3	0.021385487403	Global Trend	
4350000	645.568069	1	-0.280342906143	1.135020322756	-0.031039525806	-0.001560414075	0.000309920387	0.991753521364	N\A	0.016920066351	0.015604184122	0.001858849327	33	3	0.040429138776	Global Trend	
4400000	648.599557	1	-0.191543645242	1.104497411483	0.019729371987	-0.006804304623	0.000708025029	0.993671652297	N\A	0.011985523820	0.012911250127	0.001551451889	40	4	0.047914378300	Global Trend	
4450000	659.078246	1	-0.869772375644	1.149055829374	-0.034918223353	-0.001993114241	0.000082669459	0.993184348352	N\A	0.015761610307	0.015741960259	0.001690529975	40	3	0.009544448629	Global Trend	
4500000	647.341077	1	-0.890186384998	1.126657561632	-0.034784407366	-0.000252143425	0.000117039197	0.991949936747	N\A	0.015199437421	0.015249668518	0.001839550871	43	4	0.005908281019	Global Trend	
4550000	656.050953	1	-1.044343585970	1.131326121045	-0.012622197278	-0.003135035418	0.000030718838	0.992023230828	N\A	0.011746385376	0.013717256358	0.001666406471	47	6	0.000624281134	Global Trend	
4600000	660.343328	1	-0.874381196301	1.126467523585	-0.008026914231	-0.003384130581	0.000266382972	0.993460480903	N\A	0.013468508465	0.013928576087	0.001705130151	34	4	0.029261672195	Global Trend	
4650000	666.581361	1	-0.918943681654	1.105352050016	-0.004910984433	-0.002847145461	0.001729707981	0.992851593789	N\A	0.014698309507	0.014353440973	0.001756901537	44	7	0.216287590449	Global Trend	
4700000	648.969938	1	-0.843414816104	1.123188297896	-0.012056473397	-0.002510106795	0.003189216442	0.992542399761	N\A	0.014730669474	0.014109876424	0.001799788165	42	6	0.221365759302	Global Trend	
4750000	636.291412	1	-1.054449555543	1.119297191197	-0.030697811019	0.002194899907	0.000813669766	0.991020038551	N\A	0.016159784920	0.013033292988	0.001829351032	29	3	0.012236222338	Global Trend	
4800000	644.508243	1	-1.020187188313	1.125714282663	0.002470607820	-0.006161480411	0.000107119348	0.993443329655	N\A	0.014800173534	0.014467592807	0.001618209543	52	5	0.004664068637	Global Trend	
4850000	632.207682	1	-1.035736877534	1.118540516422	0.010540945004	-0.007529654791	0.000131781157	0.993400269735	N\A	0.012392560783	0.012736684412	0.001628009043	45	3	0.003516733592	Global Trend	
4900000	637.637110	1	-1.036248689684	1.125528991499	-0.007028880841	-0.005160179065	0.000079848192	0.992057511412	N\A	0.016980171397	0.015760048996	0.001863594811	30	4	0.004964579987	Global Trend	
4950000	650.674843	1	-0.928926765087	1.119408965810	-0.004710202540	-0.004393169763	0.000055336639	0.992887800170	N\A	0.016458730717	0.015706676258	0.001615718046	31	4	0.004231103909	Global Trend	
5000000	659.922480	1	-0.981791733663	1.107753918032	0.002347159550	-0.003265611042	0.000100692699	0.991646739850	N\A	0.014536399317	0.014623261709	0.001921454625	40	6	-0.006398438418	Global Trend	
5050000	667.504633	1	-1.091229698591	1.107713220360	0.019102147540	-0.006835214933	0.000058035683	0.992930784829	N\A	0.013862622159	0.013389271800	0.001674589950	43	5	0.000826724025	Global Trend	
5100000	661.119258	1	-1.115337459169	1.113394674513	-0.000962074360	-0.002935704801	0.000031490862	0.992984848805	N\A	0.013582029071	0.013874808180	0.001758542258	34	8	0.000457297785	Global Trend	
5150000	663.454760	1	-1.219172948358	1.151133958558	-0.044512466690	-0.001509738888	0.000068152222	0.992482157125	N\A	0.017839163986	0.015877771395	0.001714346443	52	6	-0.000941334420	Global Trend	
5200000	662.942094	1	-0.926939758759	1.082524793878	0.009637695670	-0.003685462579	0.000038306656	0.995103291013	N\A	0.012874867160	0.012126567390	0.001457751758	41	5	0.002654381947	Global Trend	
5250000	666.594546	1	-1.043822093921	1.101438701249	0.011585101375	-0.005417232988	0.000057347764	0.993363302136	N\A	0.014419064232	0.013781745942	0.001749353784	39	6	0.001889829605	Global Trend	
5300000	657.038043	1	-0.999225955220	1.116949656829	0.008537181788	-0.005643058420	0.000079940174	0.992059641871	N\A	0.016812318018	0.015533079775	0.001814049627	35	6	0.004679819148	Global Trend	
5350000	660.932463	1	-0.995484206440	1.102508751235	0.001550211024	-0.003944967949	0.000046613774	0.993891369533	N\A	0.013383326091	0.010508832253	0.001507187170	44	5	0.001477602725	Global Trend	
