Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  DIE_d1_m9-fab-005.txt
Log File Name:                   DIE_d1_m9-fab-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            257253371
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   DIE_d1_m9-fab-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.175894
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	
3600000	727.565361	1	-0.828480840870	0.793587803932	0.025364919209	0.106745156465	-0.019890908613	0.000027405167	0.992185786831	N\A	0.054788021798	0.008814351511	0.022608261528	0.004964629398	38	3	
3650000	730.221741	1	-0.997617123456	0.919939379151	0.007188156093	0.068081344146	-0.012067080984	0.000028637560	0.992089546439	N\A	0.055579013023	0.008635413903	0.022611332045	0.004719960567	38	3	
3700000	722.896523	1	-1.023186028680	0.948442175313	0.002875013716	0.048452785908	-0.007794187417	0.000050801626	0.992491554894	N\A	0.052317520715	0.007691767460	0.021668995031	0.004144829364	49	4	
3750000	720.517338	1	-1.011986753565	0.942652188528	0.000437627135	0.070637585477	-0.010150425509	0.000030065248	0.991808895672	N\A	0.058588108025	0.008852782691	0.024289536939	0.004960721279	33	3	
3800000	738.093306	1	-0.889492338369	0.856579312546	0.015306322810	0.076292177742	-0.013294551166	0.000022686006	0.992886211501	N\A	0.052664980987	0.008502468481	0.020432041781	0.004578484095	43	3	
3850000	739.850626	1	-0.740227425027	0.740731645327	0.029617535987	0.128433345274	-0.019692834984	0.000023986958	0.992790928700	N\A	0.053163297051	0.008085181913	0.020895770379	0.004018289798	31	5	
3900000	739.557955	1	-0.810096063087	0.800040842953	0.016978414316	0.125056817356	-0.016144312538	0.000021709989	0.993012736316	N\A	0.055242438791	0.008337045599	0.022267406551	0.004575165344	34	4	
3950000	725.399542	1	-0.991430331283	0.928763086273	0.000551385794	0.077059989934	-0.008648829780	0.000028837526	0.991897126325	N\A	0.052884561019	0.008243579695	0.021019035789	0.004543447998	31	3	
4000000	721.330948	1	-1.061644585521	0.976332622379	-0.005307840830	0.062083505821	-0.005605158309	0.000023804471	0.991735275021	N\A	0.060543764616	0.009280125026	0.023819260975	0.004876597748	35	3	
4050000	736.001947	1	-0.915262466176	0.903238141819	0.000019084168	0.063218341518	-0.000232043474	0.000023084133	0.992004735155	N\A	0.054395661258	0.008779842955	0.021596279957	0.004739934177	26	5	
4100000	734.972414	1	-0.953847729230	0.913394472433	0.001367085160	0.072328177936	-0.005451164023	0.000021556252	0.992477321168	N\A	0.059578348041	0.009091470004	0.023809384507	0.005044935338	43	4	
4150000	732.261365	1	-0.961587339776	0.913306226294	0.006834596380	0.044907053658	-0.004689404410	0.000019394465	0.992631730339	N\A	0.057610710450	0.008769387310	0.022635770557	0.004648935192	35	4	
4200000	728.306366	1	-0.875362313924	0.839455604321	0.019157661363	0.074378146406	-0.012642481076	0.000023506593	0.992076992055	N\A	0.061841410666	0.009526097945	0.024312849109	0.005027225805	41	5	
4250000	740.519957	1	-0.979605303088	0.908581189358	0.009340399275	0.070547736403	-0.013199158138	0.000023878987	0.992600519767	N\A	0.055620872252	0.008483961548	0.021491849124	0.004172558139	38	4	
4300000	738.951410	1	-0.801415979404	0.781985354959	0.029205384445	0.093278899988	-0.018962426717	0.000025423739	0.992843221328	N\A	0.048068092665	0.007272034751	0.020725112290	0.004244059926	31	6	
4350000	729.879394	1	-0.998362680777	0.937654206368	0.000341103390	0.066680180638	-0.007850251523	0.000026256978	0.992135376787	N\A	0.049140709701	0.007263597490	0.020836217170	0.003962321117	32	6	
4400000	736.090045	1	-0.856057587718	0.821624855226	0.017336377634	0.106735687694	-0.016078358947	0.000023843647	0.992695148146	N\A	0.050221415819	0.007685749672	0.019666402506	0.003735416594	38	5	
