Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  STR_d1_m9-glob-001.txt
Log File Name:                   STR_d1_m9-glob-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3108264062
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   STR_d1_m9-glob-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.147241
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.77 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	Global Trend	
3000000	546.579187	1	-1.402490930510	1.038304969539	0.009147038007	-0.033408794221	-0.008493312272	0.000081101555	0.992242878738	N\A	0.026425903673	0.003370164431	0.026150248222	0.004131702987	37	2	0.027457696491	Global Trend	
3050000	547.114374	1	-1.386124332276	1.017865194595	0.009906323839	-0.034888650588	-0.004124899043	0.000132119707	0.985753685224	N\A	0.077852364217	0.010650674402	0.036278436121	0.006580679736	37	5	0.002301029541	Global Trend	
3100000	534.430283	1	-1.375732836531	1.094575356423	0.005698164756	-0.101429224229	-0.000643363432	0.000190092540	0.999080955688	N\A	0.027268087497	0.003739722870	0.029815009023	0.005289200223	34	1	-0.331141303027	Global Trend	
3150000	541.967479	1	-1.459056386794	1.098061615663	-0.002675153351	-0.070104290062	0.003477208294	0.000125702574	0.978005764060	N\A	0.077314700237	0.010758064917	0.036204652501	0.006397492615	32	0	0.003337892426	Global Trend	
3200000	547.023192	1	-1.321494571276	1.020642863145	0.007703756258	-0.028027932711	-0.003841024499	0.000171386918	0.997080996711	N\A	0.024552714663	0.003378678737	0.026041221179	0.004342841294	25	1	-0.129348051750	Global Trend	
3250000	537.575017	1	-1.472667634001	1.120789613325	0.002097398087	-0.132961455702	0.010622939631	0.000067688417	0.999931567994	N\A	0.023442330230	0.003240326034	0.025502018822	0.004536881666	42	2	0.282937608704	Global Trend	
3300000	552.928364	1	-1.465493026423	1.078714294306	0.011441332241	-0.082010010310	-0.005071023636	0.000102488890	0.995790094690	N\A	0.023657532619	0.002946872013	0.024484948530	0.004015094530	43	3	0.055737558608	Global Trend	
3350000	557.135346	1	-1.395036582399	1.041896118028	0.006494084305	-0.043787089433	-0.004517982881	0.000188766854	0.999780242893	N\A	0.020173207776	0.002215648024	0.021768363354	0.003320108030	48	2	0.478372572612	Global Trend	
3400000	535.701015	1	-1.762946770554	1.310864687138	-0.032763043409	-0.118423313215	0.013771510517	0.000103924555	0.980977745164	N\A	0.086956271696	0.011759305944	0.039048308863	0.007120094848	34	1	0.000886897448	Global Trend	
3450000	556.883488	1	-1.220575862061	1.060534506045	0.003394744508	-0.068424040801	0.001714155430	0.000141102061	0.999863817989	N\A	0.023843209897	0.003229235782	0.025755500085	0.004272652641	32	5	-0.462857162548	Global Trend	
3500000	542.143547	1	-1.362400806308	1.016051344906	0.015953689411	-0.016526370449	-0.014716681443	0.000135561854	0.999887800346	N\A	0.025603617567	0.003221261530	0.027753012355	0.004748664579	39	3	0.517333699837	Global Trend	
3550000	557.472243	1	-1.503754299476	1.120807438888	0.010427463365	-0.126606171323	0.001097026264	0.000317995956	0.989059265675	N\A	0.029495641098	0.003931170516	0.028384512780	0.005036874376	36	7	0.086841007989	Global Trend	
3600000	543.704183	1	-1.546825420445	1.128543384255	0.010395805131	-0.138323822113	0.000585468042	0.000471397554	0.996754937405	N\A	0.025816931314	0.003568862334	0.027602741799	0.004665741178	50	4	-0.280685105119	Global Trend	
3650000	541.906439	1	-1.412032285901	1.077635408394	0.005476343656	-0.079707572235	0.000553135215	0.000086716863	0.998557511736	N\A	0.019781371093	0.002717536075	0.021076922256	0.003663169116	40	0	0.077694129624	Global Trend	
3700000	529.072224	1	-1.417039573568	1.059705173958	0.010029945424	-0.075025035877	-0.006943731391	0.000193408304	0.976632542045	N\A	0.052735746452	0.008331398439	0.031273087746	0.005857945956	41	1	-0.010538949013	Global Trend	
3750000	547.355817	1	-1.460432887740	1.088593193073	0.007469748659	-0.101842515737	0.003422268290	0.000206578879	0.989100749671	N\A	0.027864050356	0.003959817957	0.025995763454	0.004724842039	43	2	-0.044909666812	Global Trend	
3800000	537.584479	1	-1.474063418795	1.055709568892	0.012488022008	-0.062642885868	-0.008609680179	0.000179559589	0.993197564973	N\A	0.028658213611	0.003575669735	0.029621710898	0.004861639157	29	1	0.062036479003	Global Trend	
3850000	537.495574	1	-1.203632084650	0.907817994417	0.024060320968	0.021114613153	-0.013159419033	0.000147079969	0.984485492822	N\A	0.071034016377	0.009910678909	0.034296624188	0.006365083876	42	1	-0.006006221392	Global Trend	
3900000	528.148176	1	-1.374788172020	1.026444164616	0.002780508885	-0.031812655434	0.002483406427	0.000089002695	0.999939465983	N\A	0.025771075655	0.003583574827	0.027879609803	0.004880948425	41	1	0.424770650350	Global Trend	
3950000	544.183431	1	-1.443760796360	1.060133912843	0.006837946928	-0.068741664968	0.000606108130	0.000151560167	0.993973824540	N\A	0.016980561336	0.003642218600	0.009817022276	0.003762849265	41	1	0.025930778576	Global Trend	
4000000	550.902372	1	-1.328604374291	1.077862443846	0.008951578284	-0.091789337066	-0.000927568472	0.000038549449	0.998045223519	N\A	0.024357346932	0.003457583793	0.025929881269	0.004626790289	46	2	-0.030814630500	Global Trend	
4050000	545.276271	1	-1.551768415487	1.071800232597	0.006817884747	-0.075379306428	-0.003269662057	0.000028554826	0.999999451090	N\A	0.019583055126	0.002843228362	0.021268390109	0.003631323656	45	1	1.248502102002	Global Trend	
4100000	529.272298	1	-1.793329958381	1.339847784066	-0.031003333978	-0.187611157463	0.022896140978	0.000203996240	0.976668426101	N\A	0.094665378514	0.013381195405	0.042714363971	0.007835327645	50	0	-0.002948076566	Global Trend	
4150000	549.050848	1	-1.335728315116	1.050170088739	0.005649992137	-0.053040979919	-0.002055439529	0.000164917714	0.999858224100	N\A	0.014507831059	0.002396434098	0.016160331330	0.003396095557	44	2	0.491609126710	Global Trend	
4200000	540.937110	1	-1.258086908974	0.950595713605	0.022163247366	-0.040322098331	-0.006269818765	0.000125914554	0.975477953085	N\A	0.102085974835	0.014556468041	0.042203381615	0.007860795564	45	3	-0.000948380267	Global Trend	
4250000	550.843877	1	-1.473091097798	1.103934451372	0.006657680090	-0.089466065317	-0.001593872722	0.000067991936	0.985681703076	N\A	0.086210118370	0.012747023850	0.036706176994	0.007549872867	41	3	-0.000178473119	Global Trend	
4300000	543.186997	1	-1.459914494000	1.121217040164	0.002063069504	-0.102726289761	0.001713052112	0.000147701279	0.979557305168	N\A	0.049611066889	0.006595732682	0.030696035018	0.005302477927	27	4	0.014471360152	Global Trend	
