Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MES_d1_m9-fab-005.txt
Log File Name:                   MES_d1_m9-fab-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            740440788
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MES_d1_m9-fab-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.297316
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.66 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	
3350000	587.127112	1	-1.245805024473	1.202204465511	-0.058199063332	-0.011042247395	0.006731400230	0.000062148786	0.979467174587	N\A	0.057086177390	0.007207700157	0.028710508685	0.004835131041	39	6	
3400000	580.552826	1	-1.162830304635	1.147270248837	-0.051613637597	-0.000637590954	0.007426004234	0.000045204231	0.983402605657	N\A	0.045325059749	0.006075836999	0.023326235538	0.004289954094	42	5	
3450000	584.511655	1	-0.845312377279	0.893215616846	-0.023533115782	0.155153901066	-0.019660704975	0.000148751560	0.976239919542	N\A	0.060494328724	0.007212386050	0.031560967616	0.004906002367	34	6	
3500000	585.723544	1	-0.755851699388	0.853016070056	-0.020696715416	0.142512699963	-0.011503012265	0.000062556947	0.978333856381	N\A	0.062491708560	0.007014332493	0.033227962897	0.004880465853	39	10	
3550000	581.363202	1	-0.865851293331	0.895680017111	-0.023063037267	0.127266386391	-0.011385720386	0.000052256806	0.980242849527	N\A	0.047297735111	0.004755982935	0.027832155035	0.003751616090	35	8	
3600000	599.811538	1	-1.057194752579	1.055430475068	-0.037472717930	0.036516868648	-0.002480893453	0.000039924552	0.980176646812	N\A	0.051717286152	0.006212234632	0.027927393551	0.004459353909	37	6	
3650000	575.537054	1	-0.805665475989	0.888358743812	-0.025009198248	0.131640462969	-0.011989306783	0.000050828868	0.978381700762	N\A	0.051826362869	0.006504295567	0.028116500840	0.004633588576	49	7	
3700000	578.577361	1	-0.914944429089	0.969078376583	-0.034265127940	0.088159218318	-0.005011961118	0.000108409506	0.975296041274	N\A	0.066208658826	0.008893060553	0.032179091164	0.005880275142	41	6	
3750000	582.279456	1	-1.134092889176	1.124340461201	-0.053310213311	0.020772998045	0.006412307485	0.000099825298	0.977141507998	N\A	0.055689171547	0.006981362777	0.029232827684	0.004909692088	38	7	
3800000	591.703205	1	-1.038027291379	1.032020666487	-0.038809576537	0.068760888027	-0.002923148906	0.000054220344	0.981351669911	N\A	0.045536765543	0.006025210905	0.026476085344	0.004422783633	39	7	
3850000	568.725167	1	-0.719335189924	0.773702826569	-0.012559829417	0.201053645704	-0.019171241644	0.000009138891	0.983728267753	N\A	0.068340923823	0.007810780179	0.033287203153	0.005053781170	31	5	
3900000	572.499698	1	-0.841645119300	0.936962035677	-0.029457823971	0.098528851040	-0.007920911449	0.000092072899	0.973879056612	N\A	0.061771846262	0.007758135284	0.031429900731	0.005105360559	34	6	
3950000	575.958191	1	-1.052814119086	1.079565021700	-0.042272968851	0.029590688093	0.000479104069	0.000072584613	0.978173179716	N\A	0.046595904716	0.006156113516	0.026700553222	0.004534663441	31	4	
4000000	576.990396	1	-0.839307102039	0.910754006601	-0.024936488902	0.108765145755	-0.009007510851	0.000063991363	0.974944749890	N\A	0.066474484026	0.008019838201	0.033615569197	0.005448325385	29	7	
4050000	579.342728	1	-1.006205633146	0.997433334319	-0.038366925546	0.081834746765	-0.000395630063	0.000030576195	0.976188161890	N\A	0.066614256748	0.007948006260	0.032718974100	0.005308633918	36	7	
4100000	595.828083	1	-0.975698971928	0.985382473824	-0.034433629349	0.106894764622	-0.008631288185	0.000047159379	0.978677349913	N\A	0.062473817479	0.006822397799	0.032210532639	0.004501879235	39	9	
4150000	570.898699	1	-0.982589995711	1.015754121493	-0.038185974327	0.065419554040	-0.003159853544	0.000100113183	0.972014510503	N\A	0.066638560390	0.007955554314	0.033536639611	0.005146166439	26	8	
4200000	569.239213	1	-0.876054208855	0.940151978667	-0.032532669709	0.103654662083	-0.005814104903	0.000183079648	0.972077177517	N\A	0.059739813222	0.007374264031	0.031161190918	0.005123662076	32	7	
4250000	576.539469	1	-0.829985452518	0.913603045846	-0.024695632887	0.113331243565	-0.010231105424	0.000092652711	0.977769576827	N\A	0.063391282230	0.008380509840	0.032053649674	0.005498362938	39	4	
4300000	587.918136	1	-1.091451859841	1.037032105072	-0.043911723511	0.072600913570	-0.000467213346	0.000059266451	0.976885282516	N\A	0.057062351931	0.007021874306	0.029346433903	0.004555659780	34	6	
4350000	583.636587	1	-1.036962998322	1.051515421804	-0.042584820587	0.042867658885	0.003796734381	0.000049043711	0.977097865301	N\A	0.064072673704	0.007492454420	0.033213595759	0.005154716678	30	7	
4400000	578.160565	1	-1.018306209844	1.074911560529	-0.048045379149	0.042089416213	0.005327791870	0.000127645742	0.978506853752	N\A	0.050595260420	0.007920999456	0.024729033936	0.005307790516	37	6	
4450000	571.300866	1	-0.975261198739	1.035326697197	-0.038769508690	0.023041908797	0.003190232535	0.000093472799	0.973574712701	N\A	0.062104448607	0.007730297978	0.031338056746	0.005015749736	40	5	
4500000	573.942821	1	-1.008843669781	1.061267991088	-0.041276115377	0.022549233682	0.003115396352	0.000058441770	0.979880197407	N\A	0.058220250353	0.007502128389	0.028957292971	0.005385114280	30	6	
4550000	589.319044	1	-1.123331552717	1.107368025880	-0.040859284719	-0.015555784638	0.005310889324	0.000039239388	0.986496811861	N\A	0.034852176511	0.005023493711	0.020262356410	0.003787345183	48	7	
4600000	582.059141	1	-1.022325532515	1.040343926926	-0.038682791953	0.032921347341	0.003821542822	0.000065683894	0.982168516606	N\A	0.041430204982	0.005912101172	0.023095272264	0.004050322307	34	5	
4650000	590.899064	1	-0.952172436769	0.995805690483	-0.036801577115	0.061927836215	0.000111188742	0.000101986363	0.979890146359	N\A	0.054524407910	0.006835866511	0.028645606495	0.004826015340	41	7	
4700000	591.146252	1	-1.115208629724	1.113823028105	-0.047413924136	0.009190953237	0.004203920322	0.000061162148	0.982011676854	N\A	0.048388768733	0.006414808547	0.024494064782	0.004452467438	39	8	
4750000	574.488637	1	-1.026920020618	1.077538848615	-0.047521162916	0.039378784069	0.003286896775	0.000100672618	0.974752003204	N\A	0.061423159244	0.007180117866	0.032479406844	0.004867879148	47	4	
4800000	588.206295	1	-0.906405557094	0.990645530930	-0.036469052566	0.064792413691	0.000237945086	0.000067025696	0.981109013761	N\A	0.050625507410	0.008278528983	0.025225859166	0.005427082241	48	4	
4850000	562.256517	1	-0.820053870020	0.891613416878	-0.025715332380	0.156901377888	-0.014662465524	0.000082360637	0.974394010926	N\A	0.063868586702	0.008328877452	0.031990339367	0.005600172614	38	3	
4900000	576.744063	1	-0.983694519834	1.020978083209	-0.032803772220	0.044576097083	-0.002294117840	0.000072116201	0.985026817977	N\A	0.034704518835	0.003562984236	0.021605024726	0.003270732306	48	8	
4950000	580.148594	1	-1.038251811083	1.050310480662	-0.045844263678	0.077610633190	-0.001551727318	0.000066388272	0.976789306724	N\A	0.060448822566	0.008450158328	0.030968741315	0.005657390912	40	9	
5000000	588.187191	1	-0.727202449451	0.866055212181	-0.021371963767	0.127534176502	-0.009649620677	0.000065283832	0.976967830429	N\A	0.067898055405	0.008661904123	0.032710332629	0.005307613559	45	5	
5050000	578.805708	1	-0.712681118875	0.849761144658	-0.016431809103	0.136639272022	-0.013924366240	0.000007669472	0.976088886872	N\A	0.067352703792	0.008234615145	0.032361195115	0.004735728440	43	5	
5100000	577.915804	1	-0.830706603528	1.068644163161	-0.045595117823	0.015377139992	0.006148515464	0.000010156228	0.978637214047	N\A	0.068194229415	0.009288495325	0.031179378378	0.005545364158	44	7	
5150000	582.810745	1	-0.999423249496	1.006685262897	-0.039884461383	0.111114920200	-0.009263147300	0.000093156840	0.978744686065	N\A	0.068647928761	0.008735524954	0.033461539138	0.005673322576	35	8	
5200000	587.348941	1	-0.806943167329	0.880902065426	-0.023337822392	0.129954435158	-0.008406825751	0.000059981702	0.977341657845	N\A	0.066522558899	0.007869337980	0.033033966826	0.004882368077	40	7	
5250000	588.346298	1	-0.928600163470	1.024681467888	-0.044706416258	0.066626963546	0.002618933172	0.000085911882	0.981320660682	N\A	0.049131992687	0.006881708713	0.025135077597	0.004100533101	40	7	
5300000	589.724693	1	-1.144448509978	1.182667901515	-0.059991944708	-0.019935250485	0.011660973087	0.000070583288	0.976810469585	N\A	0.052461227205	0.007031821263	0.027399289832	0.004920773276	40	9	
5350000	586.357380	1	-1.108248449022	1.116754321811	-0.051311368423	0.017725023435	0.006603929075	0.000075170716	0.979679405210	N\A	0.048843617134	0.006863560730	0.025226062808	0.004443728899	39	4	
5400000	574.911315	1	-0.874396797277	0.961690121185	-0.028632927727	0.067402816985	-0.005098634314	0.000077794111	0.973133483874	N\A	0.062566375670	0.007906794024	0.031425612416	0.005086940709	40	5	
5450000	599.497974	1	-1.101494189575	1.074888006920	-0.039895623800	0.019892865629	0.001027334566	0.000062521666	0.976463623681	N\A	0.061706494086	0.007524863826	0.030658818637	0.004822977428	33	8	
5500000	576.977500	1	-0.890984643684	0.924739207510	-0.032241698920	0.144329796113	-0.010182083030	0.000047726826	0.976780318333	N\A	0.064277030679	0.008085503708	0.032701355101	0.005373095684	48	9	
5550000	570.909808	1	-0.947467598294	0.938396095162	-0.032957791638	0.117597892890	-0.003875868853	0.000086482472	0.977255007554	N\A	0.062307724608	0.008028644301	0.031363354441	0.005254052913	37	4	
