Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  CEREB_d1_m3-glob-006.txt
Log File Name:                   CEREB_d1_m3-glob-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            314913737
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   CEREB_d1_m3-glob-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.111269
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
4100000	394.738406	1	0.548332542242	0.766278949206	-0.021701090210	0.000232607890	0.953977779196	N\A	0.023531463385	0.004674046336	37	10	0.002549069689	Global Trend	
4150000	392.193071	1	1.080574739778	0.762508628795	-0.022638251667	0.000273423736	0.946755332960	N\A	0.022870410460	0.005371697856	44	6	-0.004119795431	Global Trend	
4200000	383.936814	1	0.773701704551	0.784063382929	-0.028192041152	0.000187875566	0.941784024067	N\A	0.021882441956	0.004622112402	43	11	0.000350431572	Global Trend	
4250000	399.312006	1	0.937462381614	0.760159559179	-0.022172364045	0.000308721935	0.964258966888	N\A	0.018833591246	0.004701796404	35	7	-0.000504137390	Global Trend	
4300000	388.738645	1	0.878220004543	0.785071634987	-0.023537607457	0.000566371979	0.949706601358	N\A	0.022464817661	0.005150583775	42	9	-0.002146525067	Global Trend	
4350000	396.340485	1	0.939716125625	0.780700557523	-0.024358559124	0.000441255719	0.959631326811	N\A	0.019654446816	0.004358522035	44	7	-0.004183285458	Global Trend	
4400000	399.603652	1	0.923415685387	0.808977723451	-0.033033474121	0.000502317117	0.955570369499	N\A	0.021327881967	0.005104247397	32	7	-0.003208017470	Global Trend	
4450000	389.358534	1	0.821026864367	0.735289231061	-0.020895517010	0.000411678014	0.946418346268	N\A	0.020011660584	0.004528344655	40	10	0.001559570453	Global Trend	
4500000	413.429480	1	0.950988881421	0.812633011653	-0.033751276222	0.000319017508	0.959397672495	N\A	0.020156827109	0.004531477698	35	11	-0.003185436813	Global Trend	
4550000	405.680117	1	0.927921099874	0.825374019357	-0.035499817303	0.000178136320	0.955642569747	N\A	0.019195308119	0.004175713469	40	13	-0.003349691132	Global Trend	
4600000	373.504650	1	0.957225804422	0.760184999335	-0.024157257495	0.000426171876	0.944374816525	N\A	0.022746107101	0.005156852101	36	5	-0.001011202646	Global Trend	
4650000	402.523386	1	0.861391914772	0.807109460513	-0.029644784726	0.000298354543	0.957153037176	N\A	0.020931011852	0.004927620382	38	9	-0.002895951590	Global Trend	
4700000	400.820204	1	0.872085101196	0.745548741856	-0.015615070473	0.000234437079	0.975428718506	N\A	0.015815474194	0.003772041482	32	11	-0.000274077438	Global Trend	
4750000	394.073076	1	0.905564198398	0.757712065720	-0.023451884243	0.000191977488	0.941013008709	N\A	0.022367297342	0.005132167366	46	7	-0.001545279809	Global Trend	
4800000	389.869928	1	0.789990840247	0.803855497084	-0.030760402834	0.000317101825	0.960831233123	N\A	0.019337508698	0.004625446957	40	8	0.000245095162	Global Trend	
4850000	387.336501	1	0.796224525711	0.750687609147	-0.021121579614	0.000356099840	0.946548742239	N\A	0.023111388921	0.005393144164	35	9	-0.000783088731	Global Trend	
4900000	409.131660	1	0.886311592309	0.816455507075	-0.031670143816	0.000318511408	0.954376267848	N\A	0.021055651261	0.005151402300	38	12	0.000769087756	Global Trend	
4950000	380.727768	1	0.906077604128	0.781545007886	-0.030177296918	0.000222836347	0.953000934456	N\A	0.020338927292	0.004968249725	44	9	-0.001108951961	Global Trend	
