Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  DIE_d1_m2-bm-001.txt
Log File Name:                   DIE_d1_m2-bm-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2591868171
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   DIE_d1_m2-bm-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	
2650000	334.202260	1	0.570144716686	0.680745014274	0.123659121210	0.022222836543	0.951065818700	-0.086967705032	0.425962113724	0.053292516945	-0.002527424581	-0.148177488154	-0.079511598752	-0.120452520750	0.000359317798	0.909108596137	N\A	0.058036282132	0.247680204549	0.224032877659	0.234830851982	0.227594775580	0.308593763244	0.064576354966	0.062320435582	0.064784936865	0.067324964169	0.061535067611	
2700000	337.951945	1	0.706928538813	0.687356994342	0.547815988545	0.149919930117	0.626617205867	0.234143273136	-0.064666544651	-0.045045732460	-0.035030485146	-0.097088667567	-0.092480103732	-0.092328140252	0.000351569260	0.911068631244	N\A	0.057407107600	0.244995089804	0.221604124888	0.232285037777	0.225127408077	0.305248281252	0.063876279144	0.061644816306	0.064082599794	0.066595090523	0.060867962553	
2750000	336.303075	1	0.228060658452	0.829824897128	0.607275530261	0.395652756320	1.178531786601	0.551118881629	0.543813519240	-0.108766985948	-0.109458923539	-0.207076647487	-0.220270066527	-0.247863431964	0.000354955770	0.910211994862	N\A	0.057682933551	0.246172226341	0.222668874031	0.233401105878	0.226209085664	0.306714918420	0.064183187752	0.061941003326	0.064390499718	0.066915062299	0.061160416996	
2800000	337.936451	1	0.634115355328	0.704883054861	0.171890357900	-0.052829398044	0.342048968963	0.131804167473	0.279579585979	-0.034081342126	-0.039788912818	-0.053579683554	-0.127296006934	-0.126799838617	0.000351600933	0.911060619360	N\A	0.057409693463	0.245006125439	0.221614106893	0.232295500896	0.225137548786	0.305262030951	0.063879156407	0.061647593054	0.064085486351	0.066598090252	0.060870704308	
2850000	337.179638	1	0.412397326276	0.719021892211	0.488022168148	0.228818393851	0.738723034712	0.000319461388	0.503890687082	-0.066882953174	-0.052387547389	-0.103039362302	-0.007495196532	-0.122021632545	0.000353151412	0.910668417151	N\A	0.057536135992	0.245545741523	0.222102203002	0.232807122344	0.225633405134	0.305934358230	0.064019847666	0.061783369385	0.064226632043	0.066744769853	0.061004769573	
2900000	339.570534	1	0.732784292768	0.653733204479	0.144304707836	-0.227618872826	0.704954815894	0.021711955934	0.118806600565	0.043430561701	0.060481699386	-0.084775669467	-0.076113916229	-0.082685982351	0.000348276372	0.911901585260	N\A	0.057137630268	0.243845047136	0.220563882819	0.231194657946	0.224070627204	0.303815401320	0.063576434578	0.061355446551	0.063781786729	0.066282483459	0.060582239463	
2950000	332.752841	1	0.742214657666	0.657143349263	0.256352865906	-0.261645616227	0.115555430328	0.003728129457	0.236384101819	-0.060419559598	0.039117720249	-0.017372300713	-0.028594539377	-0.091278942644	0.000362358510	0.908339431289	N\A	0.058281329649	0.248725988617	0.224978815242	0.235822382024	0.228555752621	0.309896743599	0.064849016737	0.062583572148	0.065058479334	0.067609231436	0.061794888106	
3000000	339.095965	1	0.652398064632	0.630654224042	0.333045393867	0.122124765556	0.756396260301	0.327009578191	0.094240191027	0.045319360424	0.039577043967	-0.012323390338	-0.054244550930	-0.072024813444	0.000349238635	0.911658175469	N\A	0.057216509470	0.244181678225	0.220868373974	0.231513825017	0.224379959463	0.304234822221	0.063664202628	0.061440148500	0.063869838270	0.066373987243	0.060665873990	
3050000	334.144198	1	0.369448066983	0.785773325824	0.285030196789	0.143174900479	0.799608019291	0.486243945275	0.445340418434	-0.110034330887	-0.062693503760	-0.214342920214	-0.142316494470	-0.173315977489	0.000359439115	0.909077908363	N\A	0.058046078735	0.247722013304	0.224070694712	0.234870491749	0.227633193887	0.308645854289	0.064587255543	0.062330955356	0.064795872650	0.067336328714	0.061545454814	
3100000	341.536974	1	0.669841327710	0.694806458977	0.366016620506	0.054452431120	0.805200953922	0.053055484355	0.067345790766	-0.020767349948	0.002526561021	-0.102129856296	-0.093613876990	-0.119464782749	0.000344317276	0.912903060328	N\A	0.056811940734	0.242455108853	0.219306649227	0.229876827997	0.222793404859	0.302083626727	0.063214043291	0.061005715092	0.063418224917	0.065904667455	0.060236915353	
3150000	337.051850	1	0.673958691325	0.686650085516	0.083456081173	-0.074957005311	0.624559332604	-0.013734115924	0.269897816637	-0.008816774555	0.034817302551	-0.133117343071	-0.127115622450	-0.113046351145	0.000353413883	0.910602023645	N\A	0.057557513181	0.245636972496	0.222184723676	0.232893620363	0.225717237804	0.306048026214	0.064043633837	0.061806324606	0.064250495044	0.066769568452	0.061027435511	
3200000	339.672111	1	0.375909073118	0.661505965512	0.686518174301	0.197952781955	1.037372795729	0.351534934861	0.547536954927	-0.034366450393	0.042350774847	-0.111501632020	-0.040300112728	-0.075443373007	0.000348070751	0.911953598121	N\A	0.057120760893	0.243773054065	0.220498763304	0.231126399789	0.224004472353	0.303725702537	0.063557664203	0.061337331904	0.063762955726	0.066262914148	0.060564353098	
3250000	337.225164	1	0.186437940911	0.810924854262	0.759624917920	0.377331239574	1.196586546671	0.370539273783	0.829754493828	-0.139177004466	-0.084865838185	-0.241860325321	-0.212598083600	-0.250318847962	0.000353057949	0.910692059062	N\A	0.057528521919	0.245513247109	0.222072811000	0.232776313701	0.225603545828	0.305893872260	0.064011375568	0.061775193253	0.064218132581	0.066735937152	0.060996696478	
3300000	336.247171	1	0.567681640803	0.650398271388	0.226274295683	0.037731069730	0.827741690914	-0.088669938034	0.330672107336	-0.041062807190	0.050845316329	-0.034253792423	-0.024699580324	-0.069468002254	0.000355071158	0.910182806912	N\A	0.057692308466	0.246212235464	0.222705063274	0.233439039376	0.226245850279	0.306764767240	0.064193619120	0.061951070283	0.064400964780	0.066925937665	0.061170357089	
3350000	340.575458	1	0.559765829039	0.656621527827	0.331574169223	-0.033913748021	0.910474104699	0.108160531121	0.281617454332	0.029254075306	0.023472344115	-0.084328778807	-0.059750866844	-0.056228935168	0.000346247472	0.912414806712	N\A	0.056970958200	0.243133744306	0.219920491797	0.230520256655	0.223417006910	0.302929163287	0.063390980338	0.061176470995	0.063595733471	0.066089135599	0.060405519374	
3400000	339.223147	1	0.163273214971	0.738828408554	0.717823303880	0.223951003681	1.065541307803	0.320075807369	0.887757061924	-0.100778069939	-0.040201775953	-0.147523606951	-0.094390968048	-0.137418198131	0.000348980493	0.911723473924	N\A	0.057195359576	0.244091417277	0.220786730711	0.231428246698	0.224297018154	0.304122362826	0.063640669366	0.061417437353	0.063846228996	0.066349452319	0.060643449051	
3450000	335.994800	1	0.806264399596	0.605169956547	0.157006621593	-0.277334397572	0.592676906548	-0.092739763530	-0.042907106354	0.006732288880	0.140285086564	-0.042327560628	0.034830681137	-0.003033120437	0.000355592526	0.910050924125	N\A	0.057734649087	0.246392931629	0.222868507430	0.233610361241	0.226411893033	0.306989903156	0.064240731079	0.061996536426	0.064448228911	0.066975054884	0.061215250264	
3500000	338.228931	1	0.236502316742	0.667615708914	0.578031651366	0.366186302778	1.134221431120	0.365525517962	0.640646445206	0.017241256703	0.032758179686	-0.038360392725	-0.011383299427	-0.067763288836	0.000351003555	0.911211729477	N\A	0.057360902515	0.244797901347	0.221425763046	0.232098079220	0.224946210461	0.305002596991	0.063824867236	0.061595200429	0.064031021826	0.066541490333	0.060818971940	
