Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SEP_d1_m8-fab-002.txt
Log File Name:                   SEP_d1_m8-fab-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4161355163
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SEP_d1_m8-fab-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.248843
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.69 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
4950000	557.682766	1	-1.687892279382	1.007587658628	-0.021013465751	0.018354345668	0.000028731452	0.974851651536	N\A	0.044623224496	0.005821703385	0.019501784268	35	3	
5000000	569.883305	1	-1.977424132667	1.172481628167	-0.039096164629	-0.005858440826	0.000065548659	0.977202371358	N\A	0.041349327054	0.005316800595	0.017488063642	37	4	
5050000	560.184585	1	-1.783135156033	1.041465777164	-0.030602809681	0.043387682973	0.000068046988	0.976312652448	N\A	0.042305621285	0.005833166156	0.018035356810	34	5	
5100000	547.352920	1	-1.703408563265	0.997824588473	-0.014542665102	0.007386253370	0.000087684610	0.976027133962	N\A	0.043936858998	0.005168629891	0.017209581032	38	5	
5150000	563.745868	1	-1.724088508171	0.992021568909	-0.022735379159	0.037607054843	0.000071168175	0.976347361569	N\A	0.039930173681	0.004605590249	0.016494009872	31	5	
5200000	565.812172	1	-1.825559297693	1.069829609201	-0.030158037157	0.034948718619	0.000054513703	0.981295601778	N\A	0.036096886866	0.005297196176	0.015885730173	33	4	
5250000	566.816988	1	-1.862831554200	1.098966846751	-0.032026839483	0.017754135768	0.000059471376	0.978291830867	N\A	0.041805186529	0.005639292174	0.016656535764	31	3	
5300000	563.737985	1	-1.849327356994	1.072642413379	-0.032637054859	0.039601344965	0.000064261507	0.978891473869	N\A	0.041910687005	0.005650962009	0.018290326189	45	3	
5350000	570.007326	1	-1.860743505368	1.089760793221	-0.025487080044	-0.002084843939	0.000065482008	0.981147127120	N\A	0.036904790285	0.004587906221	0.014162658736	33	4	
5400000	561.785478	1	-1.918816842881	1.140248563362	-0.046581171967	0.038040820441	0.000014469034	0.973738398016	N\A	0.042624883123	0.005429077541	0.018694653171	36	2	
5450000	553.726193	1	-2.242900848359	1.208450318499	-0.050578682542	0.018414732496	0.000033394673	0.976856829835	N\A	0.043693293067	0.005447548595	0.018695631006	34	3	
5500000	557.978813	1	-1.741137164095	1.082002773756	-0.037303636999	0.037378859563	0.000066635946	0.977482539047	N\A	0.042524489942	0.005582390455	0.017787922362	44	5	
5550000	561.688695	1	-1.783272336414	1.085855322325	-0.029739630519	0.007242949710	0.000054151645	0.976086685067	N\A	0.042057377658	0.005529348811	0.017704587913	27	5	
5600000	546.802695	1	-1.775438118784	1.060677217571	-0.025226035804	0.002810171105	0.000062112498	0.976475011275	N\A	0.044588952868	0.006170355129	0.019623218542	39	5	
