Species_TTOL	MED	rest_of_brain	BOD	BOD2
Mesophylla_macconnelli	1.524	3.0789623596587	0.875	0.765625
Micronycteris_brachyotis	1.643	3.0789623596587	1.167	1.361889
Micronycteris_megalotis	1.493	3.0789623596587	0.813	0.660969
Micronycteris_minuta	1.453	3.0789623596587	0.839	0.703921
Micronycteris_schmidtorum	1.479	3.0789623596587	0.892	0.795664
Gardnerycteris_crenulatum	1.549	3.0789623596587	1.072	1.149184
Miniopterus_australis	1.435	3.0789623596587	0.851	0.724201
Miniopterus_inflatus	1.641	3.0789623596587	1.173	1.375929
Miniopterus_magnater	1.619	3.0789623596587	1.176	1.382976
Miniopterus_pusillus	1.456	3.0789623596587	0.934	0.872356
Miniopterus_tristis	1.645	3.0789623596587	1.193	1.423249
Molossus_molossus	1.629	3.0789623596587	1.137	1.292769
Molossus_rufus	1.82	3.0789623596587	1.526	2.328676
Monophyllus_plethodon	1.655	3.0789623596587	1.176	1.382976
Mormoops_megalophylla	1.663	3.0789623596587	1.196	1.430416
Murina_cyclotis	1.459	3.0789623596587	0.851	0.724201
Murina_huttoni	1.431	3.0789623596587	0.944	0.891136
Myotis_adversus	1.548	3.0789623596587	1.049	1.100401
Myotis_albescens	1.258	3.0789623596587	0.602	0.362404
Myotis_annectans	1.489	3.0789623596587	0.991	0.982081
Myotis_bechsteinii	1.595	3.0789623596587	0.978	0.956484
Myotis_bocagii	1.394	3.0789623596587	0.845	0.714025
Myotis_dasycneme	1.693	3.0789623596587	1.176	1.382976
Myotis_myotis	1.847	3.0789623596587	1.408	1.982464
Myotis_nigricans	1.233	3.0789623596587	0.663	0.439569
Myotis_siligorensis	1.185	3.0789623596587	0.539	0.290521
Natalus_tumidirostris	1.425	3.0789623596587	0.839	0.703921
Noctilio_albiventris	1.82	3.0789623596587	1.515	2.295225
Noctilio_leporinus	2.095	3.0789623596587	1.763	3.108169
Nyctalus_noctula	1.76	3.0789623596587	1.431	2.047761
Nycteris_arge	1.612	3.0789623596587	1.025	1.050625
Nycteris_grandis	1.905	3.0789623596587	1.474	2.172676
Nycteris_hispida	1.484	3.0789623596587	0.892	0.795664
Nycteris_javanica	1.744	3.0789623596587	1.265	1.600225
Nycteris_macrotis	1.679	3.0789623596587	1.161	1.347921
Nycteris_thebaica	1.598	3.0789623596587	0.949	0.900601
Nyctophilus_geoffroyi	1.334	3.0789623596587	0.857	0.734449
Otomops_martiensseni	1.952	3.0789623596587	1.618	2.617924
Peropteryx_macrotis	1.307	3.0789623596587	0.748	0.559504
Phylloderma_stenops	1.995	3.0789623596587	1.664	2.768896
Phyllostomus_discolor	1.96	3.0789623596587	1.563	2.442969
Phyllostomus_elongatus	1.963	3.0789623596587	1.652	2.729104
Phyllostomus_hastatus	2.147	3.0789623596587	1.963	3.853369
Pipistrellus_javanicus	1.26	3.0789623596587	0.653	0.426409
Pipistrellus_tenuis	1.179	3.0789623596587	0.591	0.349281
Afronycteris_nana	1.182	3.0789623596587	0.591	0.349281
Hypsugo_pulveratus	1.318	3.0789623596587	0.724	0.524176
Perimyotis_subflavus	1.262	3.0789623596587	0.724	0.524176
Pteronotus_gymnonotus	1.648	3.0789623596587	1.134	1.285956
Pteronotus_parnellii_mesoamericanus	1.797	3.0789623596587	1.305	1.703025
Pteronotus_personatus	1.458	3.0789623596587	0.908	0.824464
Rhinolophus_cornutus	1.377	3.0789623596587	0.82	0.6724
Rhinolophus_eloquens	1.699	3.0789623596587	1.281	1.640961
Rhinolophus_hipposideros	1.362	3.0789623596587	0.663	0.439569
Rhinolophus_landeri	1.548	3.0789623596587	0.987	0.974169
Rhinolophus_lepidus	1.403	3.0789623596587	0.778	0.605284
Rhinolophus_luctus	1.829	3.0789623596587	1.516	2.298256
Rhinolophus_macrotis	1.456	3.0789623596587	0.799	0.638401
Rhinolophus_malayanus	1.436	3.0789623596587	0.806	0.649636
Rhinolophus_megaphyllus	1.505	3.0789623596587	0.991	0.982081
Rhinolophus_pearsonii	1.59	3.0789623596587	1.143	1.306449
Rhinolophus_pusillus	1.336	3.0789623596587	0.672	0.451584
Rhinolophus_trifoliatus	1.631	3.0789623596587	1.164	1.354896
Rhinolophus_yunnanensis	1.712	3.0789623596587	1.371	1.879641
Rhinonicteris_aurantia	1.493	3.0789623596587	0.934	0.872356
Rhinophylla_pumilio	1.502	3.0789623596587	0.949	0.900601
Rhinopoma_hardwickii	1.554	3.0789623596587	1.111	1.234321
Rhinopoma_microphyllum	1.71	3.0789623596587	1.468	2.155024
Rhogeessa_parvula	1.238	3.0789623596587	0.653	0.426409
Rhynchonycteris_naso	1.196	3.0789623596587	0.58	0.3364
Saccopteryx_bilineata	1.435	3.0789623596587	0.924	0.853776
Saccopteryx_canescens	1.238	3.0789623596587	0.531	0.281961
Saccopteryx_leptura	1.324	3.0789623596587	0.708	0.501264
Scotomanes_ornatus	1.74	3.0789623596587	1.338	1.790244
Scotophilus_dinganii	1.765	3.0789623596587	1.386	1.920996
Scotophilus_kuhlii	1.688	3.0789623596587	1.31	1.7161
Sphaeronycteris_toxophyllum	1.823	3.0789623596587	1.265	1.600225
Sturnira_lilium	1.707	3.0789623596587	1.305	1.703025
Sturnira_ludovici	1.802	3.0789623596587	1.413	1.996569
Sturnira_tildae	1.734	3.0789623596587	1.387	1.923769
Tadarida_aegyptiaca	1.732	3.0789623596587	1.248	1.557504
Taphozous_australis	1.818	3.0789623596587	1.38	1.9044
Taphozous_hildegardeae	1.836	3.0789623596587	1.438	2.067844
Taphozous_mauritianus	1.848	3.0789623596587	1.462	2.137444
Taphozous_melanopogon	1.826	3.0789623596587	1.356	1.838736
Tonatia_bidens	1.897	3.0789623596587	1.468	2.155024
Lophostoma_schulzi	1.775	3.0789623596587	1.328	1.763584
Trachops_cirrhosus	1.989	3.0789623596587	1.567	2.455489
Triaenops_persicus	1.588	3.0789623596587	1.137	1.292769
Tylonycteris_pachypus	1.173	3.0789623596587	0.681	0.463761
Tylonycteris_robustula	1.297	3.0789623596587	0.857	0.734449
