Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  NEO_d1_m2-fab-005.txt
Log File Name:                   NEO_d1_m2-fab-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1870913072
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   NEO_d1_m2-fab-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.036913
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.86 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	
2500000	377.997137	1	1.520788604466	0.820626810245	0.507117338682	0.189316918790	0.656125973927	0.146628358395	-0.511978151328	-0.031268479529	-0.071260477789	-0.170664756920	-0.169714905111	-0.152307039384	0.000231500600	0.949563073028	N\A	0.046583946598	0.199336937059	0.178493953038	0.197236688787	0.186300710553	0.293103978982	0.052477167889	0.048273585939	0.056815156965	0.056255639574	0.053513568018	44	13	
2550000	350.044270	1	-1.323801607639	0.906022158247	1.637203776972	1.339974672517	2.025073463155	1.550942133017	2.454757172721	-0.179723260271	-0.197313305196	-0.257697239358	-0.309839479934	-0.242946042627	0.000455294230	0.938579624254	N\A	0.079698501602	0.258314482125	0.245608284960	0.267142007511	0.271319372420	0.359639065076	0.083125427616	0.081239052125	0.082965370462	0.090232476228	0.084731678610	40	10	
2600000	373.818559	1	0.513829870944	0.815541849094	0.724967138230	0.240283952843	1.020804597981	0.362334053053	1.028161793986	-0.090863799848	-0.075694027492	-0.194052124309	-0.226112146862	-0.192679173666	0.000405925255	0.945903055009	N\A	0.062247805991	0.226775271964	0.217753848916	0.257067834315	0.247096105948	0.339373957025	0.064310688024	0.064153295102	0.068992632507	0.076685009512	0.068233079131	33	12	
2650000	373.221413	1	0.389317365528	0.871143584753	0.951916388391	0.587401121313	1.437644420786	0.714430063702	0.490675972220	-0.164496076627	-0.150443598741	-0.202774151259	-0.309501841527	-0.176286813107	0.000472939418	0.950262708191	N\A	0.088654533918	0.263235156005	0.256024394757	0.297359847635	0.274872449892	0.374203637621	0.090291599868	0.089771334868	0.095217804469	0.097308511666	0.091638827034	40	13	
2700000	401.497802	1	0.567163841173	0.854089207674	1.203418256222	0.867663420023	1.704695275375	0.756165633303	0.532172424435	-0.138522660992	-0.121698826588	-0.246359798289	-0.191595417271	-0.235215703700	0.000275012103	0.957881821439	N\A	0.050773385477	0.183950201856	0.175018861111	0.206052898535	0.199052824804	0.269095882349	0.053912298670	0.052278249623	0.056837178153	0.060325046771	0.054833541503	36	23	
2750000	354.209174	1	0.109133849605	0.754030517334	1.569771196367	1.069177509620	1.698840036124	1.253332116098	0.602251433647	-0.072941776607	-0.051748563871	-0.003060018983	-0.121738590942	-0.099267557427	0.000329122286	0.948138482239	N\A	0.054705636328	0.202748609801	0.194904445292	0.238576904791	0.213690835094	0.297588061986	0.056951304055	0.057004308103	0.066940182831	0.060927978107	0.059799864176	31	12	
2800000	378.502241	1	0.867443623649	0.802531426840	0.413225333769	-0.031252147787	1.097260269118	0.391943642388	0.180035356499	-0.048250473507	-0.058119781266	-0.179864740451	-0.204446288221	-0.151259771964	0.000350494525	0.940405762807	N\A	0.053011594101	0.214878623810	0.202714747761	0.242041463876	0.224023422134	0.303375532499	0.057096575757	0.055494469343	0.065069788415	0.064572230586	0.058032271901	38	14	
2850000	390.395703	1	1.227947434877	0.929718018656	0.169826288597	-0.210519474250	1.122383789758	0.063888257910	-0.108789796479	-0.180214189647	-0.182128555942	-0.310196880899	-0.317732295687	-0.317836824584	0.000441280679	0.953118758980	N\A	0.072743394937	0.248468024740	0.238093087277	0.273564302133	0.261146615365	0.347201534029	0.074452374786	0.074253495726	0.080579684747	0.082014561297	0.075598472209	36	19	
2900000	379.481981	1	0.922599386175	0.761703712988	0.600955269986	0.251692257551	1.497891603206	0.650779940247	0.079397603474	-0.008923275176	-0.030441263808	-0.187289196801	-0.275820430872	-0.120407447896	0.000302725302	0.952486462446	N\A	0.056453783351	0.229393486758	0.209305821224	0.237210767960	0.213941166798	0.290257771034	0.059155131160	0.058017208380	0.066774347142	0.067044449505	0.060844278903	44	10	
2950000	359.687315	1	0.765432619282	0.734893122430	0.465588618701	0.156452727072	1.078611438091	0.474289993254	0.468930917435	-0.006026819240	0.024898703668	-0.029294384387	-0.162474722844	-0.097402186177	0.000478650681	0.942966464337	N\A	0.100713287061	0.337687569174	0.330912805771	0.360840252024	0.351999725939	0.428167941154	0.103067005738	0.101633617715	0.107128573198	0.108371746744	0.104379848859	43	12	
