Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  HIP_d1_m2-VR-004.txt
Log File Name:                   HIP_d1_m2-VR-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3259786878
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   HIP_d1_m2-VR-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Branch	No RJ Local Node	
2500000	315.928813	1	0.706242304377	0.555246983165	0.338975254072	-0.114133622434	0.580213157762	0.356354564144	0.336195039825	-0.018548167384	0.065047799928	0.004273857594	-0.079107401848	-0.052623021228	0.000054405946	0.901441589833	N\A	0.047021602843	0.213291986758	0.206423765687	0.261073571508	0.206526580090	0.227725903898	0.050594511779	0.051740519418	0.059392708036	0.052059800457	0.054378547419	44	27	
2550000	314.702278	1	0.828962615608	0.603481494762	0.134811332768	-0.173992081371	0.257062551538	0.162914780242	-0.189471494967	-0.023763861106	-0.021640831812	-0.023452367650	-0.077358909631	-0.052356245670	0.000031258236	0.919830181386	N\A	0.036844409666	0.115885831109	0.103643354878	0.204803602029	0.107863486046	0.243014773517	0.041411024818	0.040372533909	0.059962933805	0.042508875418	0.044463457314	41	33	
2600000	333.426349	1	0.630986550949	0.664257170348	0.444539789780	-0.004705414723	0.438305926053	0.250641694458	0.598100306164	-0.157723622907	-0.070884236293	-0.100614060404	-0.102439663312	-0.162301836531	0.000023536431	0.915386184823	N\A	0.030424732728	0.114367316006	0.092404093855	0.201405837410	0.124745250081	0.220135741110	0.036119409753	0.035239478774	0.047135339180	0.045934665253	0.040018153672	40	36	
2650000	306.755502	1	0.801100836878	0.607014249824	0.378353726189	-0.180925597527	0.322000812033	-0.008932182521	0.434674313824	-0.085644425160	-0.015787316785	-0.075583200231	-0.041521093387	-0.159414678778	0.000046238561	0.892236057093	N\A	0.083073803675	0.233750602145	0.227606189113	0.233724028854	0.239243399381	0.314771401626	0.085994049717	0.085524140752	0.086826456037	0.088503688649	0.088744591142	48	38	
2700000	321.792867	1	1.198645766263	0.533966952593	-0.186423007688	-0.786320047420	-0.240318715301	-0.429636383202	-0.196098700274	0.013480234539	0.081088660698	0.041841876370	0.065604302129	0.021916477961	0.000110492511	0.908494491339	N\A	0.095989161887	0.306615290148	0.301162126017	0.314707805688	0.309275685641	0.330874840503	0.098299835015	0.097426853255	0.099982907141	0.102094003709	0.100224912253	50	28	
2750000	320.244564	1	0.509850009772	0.687588315523	0.861511360770	0.069949137805	0.504891662741	0.428061353294	0.423966883897	-0.210508556211	-0.039097291713	-0.125272461233	-0.138574843709	-0.129353983477	0.000121410232	0.904983947261	N\A	0.065733574212	0.272785529891	0.206526927756	0.243154345180	0.212318268020	0.332665904527	0.068611810253	0.067899385621	0.073113420153	0.072432922877	0.073668235760	40	29	
2800000	333.314999	1	0.579814776340	0.713494920988	0.676865882262	0.060176755144	-0.013056057511	0.282666328269	0.473950132594	-0.229243936814	-0.088019377096	-0.114542704120	-0.167617823860	-0.199791920838	0.000047958473	0.920130418941	N\A	0.040937198021	0.136731770580	0.122792061776	0.202748861974	0.133729727838	0.186986763290	0.044196633968	0.044399316446	0.054157958601	0.048013262480	0.047855130551	47	32	
2850000	324.467425	1	0.844780760165	0.578920116526	0.321567342412	-0.299431587059	0.510812622908	-0.134799280075	0.449930353525	-0.079812755312	0.068029542224	-0.021848924168	-0.054491239204	-0.098499208522	0.000092847751	0.917182217920	N\A	0.056537544572	0.162243099829	0.152830451667	0.417978835832	0.210040942994	0.343283758426	0.059329576481	0.058625043616	0.062585878995	0.073167981111	0.065319068131	46	26	
2900000	308.465236	1	0.275483257669	0.735224358873	0.920630932423	0.305529313353	0.647831863231	0.641881398217	0.747652110178	-0.271232757388	-0.112668196465	-0.119504162556	-0.128584106617	-0.231107028883	0.000185795252	0.908648742737	N\A	0.075206987177	0.236118751642	0.228434490543	0.235404867571	0.232999580642	0.275560456675	0.076805945564	0.078205620963	0.079444081294	0.080190925738	0.080164043146	47	34	
2950000	323.077250	1	0.845159745375	0.644375303749	0.098524833977	-0.409703525090	0.066289814409	0.102133525274	0.120708791279	-0.108179674299	-0.022738575002	-0.023552735847	-0.152700651126	-0.087422279521	0.000121850061	0.897514164870	N\A	0.069102896412	0.195565798570	0.185568749295	0.214530595165	0.199079862068	0.233813443376	0.072661073052	0.071417519098	0.075853064434	0.077280017198	0.074986108222	42	31	
