Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  NEO_d1_m2-bm-001.txt
Log File Name:                   NEO_d1_m2-bm-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            956685530
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   NEO_d1_m2-bm-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	
2550000	233.689529	1	0.781664240838	0.787588354748	-0.012031906226	-0.126194103727	0.905201995570	-0.075665717507	0.358112309718	-0.123551848538	-0.011217117522	-0.087372710640	-0.034141572894	-0.082797145387	0.000644570095	0.876318201052	N\A	0.077731186108	0.331731726565	0.300059560466	0.314521881636	0.304830206345	0.413316607495	0.086490665523	0.083469188559	0.086770030736	0.090172029070	0.082417302021	
2600000	239.340736	1	0.608626833883	0.804535835502	0.833421460613	0.435467351386	1.105971732518	0.200429560347	0.514389653817	-0.148674349337	-0.074133639770	-0.058577533103	-0.111288879520	-0.140585418906	0.000623736322	0.880315840061	N\A	0.076464655445	0.326326580642	0.295170472145	0.309397148214	0.299863386427	0.406582139861	0.085081410300	0.082109164455	0.085356223614	0.088702790718	0.081074417068	
2650000	231.270166	1	1.006002885092	0.697280747283	0.218422015049	-0.346853886461	0.503384021685	0.083958818543	0.082063002226	-0.104965285278	0.083908230874	0.018221704482	-0.004345443648	-0.001413748378	0.000653700722	0.874566192322	N\A	0.078279798841	0.334073029434	0.302177326882	0.316741720515	0.306981643123	0.416233721782	0.087101101086	0.084058299081	0.087382438009	0.090808447035	0.082998988518	
2700000	234.053684	1	0.388851846965	0.864989995437	0.818428095815	0.274281847830	1.525031129514	0.400078482822	0.614452776336	-0.122497980683	-0.051437778394	-0.185550448585	-0.094817625994	-0.127541596444	0.000643206864	0.876579781287	N\A	0.077648943998	0.331380743666	0.299742087743	0.314189107310	0.304507686125	0.412879305153	0.086399155600	0.083380875457	0.086678225237	0.090076624146	0.082330101849	
2750000	232.702863	1	-0.057963961269	0.952893510298	0.879968484417	0.661250912647	1.812172511407	0.805912631538	1.566999932881	-0.291174862799	-0.225631692309	-0.323760670773	-0.340651828492	-0.259577351707	0.000648278250	0.875606670471	N\A	0.077954455816	0.332684569941	0.300921430892	0.315425292638	0.305705779646	0.414503789667	0.086739095357	0.083708939710	0.087019263000	0.090431032999	0.082654031806	
2800000	241.224319	1	0.649081535216	0.797793839817	0.710118467228	0.339163238918	1.207213850654	0.588241400467	0.237349087030	-0.096546626305	-0.031454310430	-0.079290707131	-0.156712973762	-0.093295603183	0.000616943011	0.881619358332	N\A	0.076047114993	0.324544652155	0.293558673707	0.307707664044	0.298225962011	0.404361970434	0.084616817473	0.081660801778	0.084890130149	0.088218423096	0.080631704700	
2850000	237.048146	1	0.321281439023	0.858994301896	1.455928589777	0.959068956455	1.456472567448	0.613252938996	0.620480968582	-0.224915984931	-0.097290872659	-0.161424326248	-0.126590823114	-0.142247272858	0.000632105766	0.878709889039	N\A	0.076975956595	0.328508649666	0.297144207606	0.311466014109	0.301868502301	0.409300858916	0.085650329662	0.082658209108	0.085926980587	0.089295925398	0.081616542610	
2900000	237.547862	1	0.386687707988	0.759293630390	1.065271329299	0.388121302279	1.648349894522	0.418027363043	0.866303130116	-0.114269128078	0.026666738110	-0.115487788191	-0.062213140398	-0.089179099578	0.000630271957	0.879061765186	N\A	0.076864217575	0.328031783429	0.296712870287	0.311013887121	0.301430307151	0.408706713950	0.085525998840	0.082538221676	0.085802248176	0.089166302595	0.081498067271	
2950000	236.875973	1	0.986704950259	0.831848011130	0.656014268344	0.272586473168	0.902206081045	-0.065992958224	-0.117235918713	-0.141242054622	-0.125239495031	-0.122512111808	-0.171869042122	-0.161596117138	0.000632738824	0.878588416371	N\A	0.077014492857	0.328673110048	0.297292966094	0.311621942483	0.302019625899	0.409505766079	0.085693208551	0.082699590060	0.085969997975	0.089340629371	0.081657402075	
3000000	233.507386	1	0.767788058178	0.767947391428	0.777675048019	0.468044474424	1.298497809623	0.219795734625	-0.006162440889	-0.007213926695	-0.103406157058	-0.046915602194	-0.073329943051	-0.052790084705	0.000645253036	0.876187156479	N\A	0.077772354467	0.331907419892	0.300218479430	0.314688460203	0.304991651961	0.413535510193	0.086536473118	0.083513395905	0.086815986291	0.090219786407	0.082460952263	
