Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  HIP_d1_m8-glob-002.txt
Log File Name:                   HIP_d1_m8-glob-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            618986230
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   HIP_d1_m8-glob-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.233350
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.70 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	Global Trend	
3350000	447.792109	1	-0.894215722080	1.015944896287	-0.023679512976	0.011807141254	0.000141073692	0.997448830642	N\A	0.023133249566	0.002771069239	0.024603073586	38	5	0.068538022951	Global Trend	
3400000	439.603753	1	-1.088151572589	1.083847010830	-0.030608862727	0.006091128803	0.000092752191	0.961003044573	N\A	0.049681435303	0.007074227664	0.021249761158	40	1	-0.001725253625	Global Trend	
3450000	440.457397	1	-1.194400632975	1.185319488602	-0.035505733155	-0.051582546444	0.000127629517	0.962682161739	N\A	0.054253381171	0.007257577216	0.022742114112	35	4	-0.000818860047	Global Trend	
3500000	448.750878	1	-1.066022893012	1.112402124383	-0.036337881352	-0.006080428794	0.000067991588	0.963410500866	N\A	0.035987425700	0.004419261674	0.023160232721	39	4	0.003125701705	Global Trend	
3550000	460.806387	1	-0.988458543356	1.066973307452	-0.016009714004	-0.055191926648	0.000160568121	0.995125103148	N\A	0.023681203696	0.002807227671	0.025127148035	45	7	-0.058464550137	Global Trend	
3600000	459.685538	1	-0.942587388283	1.041306216571	-0.038948086966	0.043556198920	0.000075698394	0.957771619978	N\A	0.050763646683	0.006878348752	0.023830231755	48	5	-0.001258617490	Global Trend	
3650000	482.397768	1	-1.065567239576	1.045965469831	-0.019440108576	-0.025550636121	0.000107546035	0.999904178438	N\A	0.015047396803	0.001920095089	0.015963756956	55	7	-0.301631731286	Global Trend	
3700000	469.694822	1	-1.046532597653	1.066267206675	-0.023627859734	-0.026090854648	0.000189265544	0.964338800379	N\A	0.038374382446	0.004985027130	0.023501669676	60	8	-0.007929268206	Global Trend	
3750000	479.295081	1	-1.200232970968	1.156948432261	-0.028632503479	-0.055036985363	0.000131149537	0.958809566901	N\A	0.052760564675	0.007445528310	0.022270765075	38	6	-0.000680120858	Global Trend	
3800000	471.905002	1	-1.217797366986	1.112011084807	-0.031737286217	-0.021239075235	0.000115549976	0.959770737277	N\A	0.040402733328	0.005473799271	0.025698934662	39	7	-0.006039296015	Global Trend	
3850000	472.152551	1	-1.235779485688	1.138910667208	-0.034925552808	-0.029179246624	0.000155643466	0.957268154358	N\A	0.048621389236	0.006446351744	0.024838511761	41	7	-0.004147790556	Global Trend	
3900000	438.078276	1	-0.847766745890	0.966207351611	-0.023723565251	0.049865996158	0.000167640126	0.967739932190	N\A	0.032034852518	0.004299157620	0.026286746332	40	3	-0.015517024329	Global Trend	
3950000	451.785755	1	-1.001120525944	1.034819445977	-0.020971503437	-0.012666579512	0.000123646059	0.998465412245	N\A	0.023077665014	0.002700099609	0.024894410313	45	3	-0.080454612804	Global Trend	
4000000	459.982036	1	-0.928731320213	1.048899931554	-0.024357118391	-0.018534229418	0.000113590095	0.993579801812	N\A	0.022705661933	0.002597079955	0.023313327506	49	4	0.032612533460	Global Trend	
4050000	444.866212	1	-1.219852782667	1.208764690754	-0.041727599140	-0.047440093134	0.000086755455	0.954584834493	N\A	0.054862973198	0.007088025070	0.025831583584	37	2	0.001393755641	Global Trend	
4100000	454.698523	1	-1.058942380924	1.126778748298	-0.027824176914	-0.044871657738	0.000113931569	0.970999588573	N\A	0.029760308856	0.003436142413	0.023249223263	45	2	0.009366633439	Global Trend	
4150000	445.150743	1	-0.974237902442	1.051881457195	-0.022740343463	-0.028342007921	0.000119810853	0.999805285938	N\A	0.020845749137	0.002558840214	0.022412925535	47	4	0.212367589584	Global Trend	
4200000	460.103950	1	-0.982876055313	1.053154872134	-0.021695798528	-0.031147840273	0.000086359761	0.999924782031	N\A	0.021567015093	0.002605897736	0.023351866860	46	8	-0.253719820629	Global Trend	
4250000	467.984549	1	-0.996831634891	1.080076907227	-0.026085777978	-0.039313777378	0.000131967962	0.969492329465	N\A	0.034996364197	0.004444366533	0.020992217021	45	5	0.007555294817	Global Trend	
4300000	462.342287	1	-1.060310721677	1.061533326959	-0.024063560816	-0.017134074541	0.000111126276	0.969826750291	N\A	0.031045545037	0.004302983847	0.023455885504	42	9	-0.008345461703	Global Trend	
4350000	459.342763	1	-1.323640819456	1.246680897436	-0.046358874683	-0.035730216612	0.000114620836	0.960689939368	N\A	0.050737425333	0.007143248450	0.022112778027	41	6	0.000604522073	Global Trend	
4400000	473.147261	1	-1.005858229219	1.063625875632	-0.021009873129	-0.042562488821	0.000094757042	0.999975081942	N\A	0.014635375263	0.001601096633	0.015177633025	46	9	-0.402056159282	Global Trend	
4450000	478.704515	1	-0.989376785871	1.056552848054	-0.019268376967	-0.037174005861	0.000056979305	0.993199110353	N\A	0.021703872931	0.002746609646	0.022586691697	46	8	-0.016232751073	Global Trend	
4500000	462.537839	1	-1.020887695749	1.037121842906	-0.019786520506	-0.021989035621	0.000180517938	0.988912886669	N\A	0.025897150653	0.002843615327	0.025817081055	33	4	0.048708395932	Global Trend	
4550000	476.954218	1	-1.152440464244	1.141227530768	-0.040267852523	-0.011189826533	0.000096471926	0.967508690843	N\A	0.047019107548	0.006203348085	0.021428945373	39	6	-0.002791555414	Global Trend	
4600000	461.502441	1	-1.194078287226	1.127270444144	-0.034642740512	-0.009504394256	0.000102288887	0.967101991890	N\A	0.039280048404	0.005195460189	0.022841951167	40	7	-0.004640970714	Global Trend	
4650000	456.309182	1	-1.439795971722	1.255699100980	-0.046253553959	-0.055239663908	0.000243606312	0.958244761300	N\A	0.050101218748	0.007189307649	0.024123198719	42	5	-0.006420269982	Global Trend	
4700000	450.806389	1	-0.956686710673	1.049306288517	-0.018558536313	-0.029339989382	0.000089949360	0.999901202860	N\A	0.023924273506	0.002735620962	0.025806745138	33	5	0.271718349556	Global Trend	
4750000	449.601976	1	-0.943634287483	1.016565788919	-0.020120318916	0.005062569154	0.000116356037	0.999274432277	N\A	0.023294737323	0.002761187103	0.025057192499	36	3	0.091239265134	Global Trend	
4800000	460.833859	1	-0.972487465958	1.000788036390	-0.020349093704	0.009103144686	0.000108940878	0.987649723679	N\A	0.023775109119	0.002851130243	0.023651840520	37	8	0.027708397355	Global Trend	
4850000	442.097522	1	-1.176616827022	1.164514388128	-0.029887804909	-0.071356096392	0.000120030717	0.962202541090	N\A	0.046679904060	0.006294163522	0.021042053311	51	4	0.000156962038	Global Trend	
4900000	451.652525	1	-0.973576654309	1.026259453254	-0.022076236828	-0.005288909263	0.000112705755	0.992583126804	N\A	0.022550907000	0.002590541808	0.023049895139	32	7	0.034137013168	Global Trend	
4950000	467.163776	1	-1.022175986595	1.069430293582	-0.021965427801	-0.034319365173	0.000088116413	0.958962635360	N\A	0.055078710006	0.006743209999	0.023243901208	31	7	-0.001536807735	Global Trend	
5000000	448.720062	1	-0.956766251504	1.027893279435	-0.022772987708	-0.005138905151	0.000147440024	0.999980578162	N\A	0.024806874660	0.002925860916	0.026807994122	44	3	-0.844397051640	Global Trend	
5050000	466.715287	1	-1.013172494360	1.029556487130	-0.021180670725	-0.007988509493	0.000135119968	0.999973481479	N\A	0.021799781412	0.002602860159	0.023655485952	37	5	-0.649739947735	Global Trend	
