Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MOB_d1_m2-fab-006.txt
Log File Name:                   MOB_d1_m2-fab-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1808417076
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MOB_d1_m2-fab-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.114840
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	
2500000	236.826663	1	0.290820089236	0.609678080128	1.318377924975	0.250696870972	0.858770510697	0.852222844153	0.424230618995	0.005582734138	0.159582893064	-0.213262745696	-0.093475184857	-0.027072838883	0.000745886199	0.876520050093	N\A	0.076583864823	0.307644739960	0.291496068049	0.345991538079	0.315449124814	0.438331101654	0.082751396498	0.080696715084	0.093999496193	0.086324178424	0.079701840772	36	12	
2550000	229.391108	1	0.251904938509	0.236436062765	2.164738492860	0.821447133460	1.308489379034	1.113143591091	0.205147105542	0.298416929299	0.552183082205	0.173902798319	0.355498495785	0.371592371317	0.001694056398	0.873583040835	N\A	0.097902031079	0.297104546362	0.273226643043	0.406390030015	0.276989117061	0.446942406497	0.104654008608	0.100523655272	0.116505636894	0.104108085403	0.104939556426	47	24	
2600000	248.087697	1	-0.350137219496	0.983502827358	2.085164143189	1.272579252979	2.058213646116	1.298545961634	1.123036633804	-0.340463066038	-0.267061798263	-0.425470759693	-0.411385062026	-0.435084962735	0.000349439645	0.858640797353	N\A	0.105624473501	0.370674433006	0.354551215720	0.381259652695	0.356673584138	0.415660338101	0.111748708202	0.108484625818	0.115321041751	0.110970047626	0.109971084313	30	21	
2650000	256.878362	1	0.804664044943	0.650072417910	0.640897335107	-0.148792031588	-0.046774443997	-0.190254805566	-0.057680639850	0.014976589615	0.031582762774	-0.158859019469	-0.046219735587	-0.075777958395	0.000438472966	0.857443827942	N\A	0.049023109959	0.262468365702	0.231734074891	0.241795303209	0.233687871718	0.342698579745	0.065144298504	0.055599685805	0.058566368520	0.059014396099	0.059235694919	39	20	
2700000	278.397581	1	0.593573344365	0.617352453608	0.192287974754	-0.669838472575	0.736743039778	0.430015948330	-0.228517152005	0.031404511965	0.106871351047	-0.132541461410	-0.005669504385	-0.024367307311	0.000526311713	0.966709116860	N\A	0.070239552554	0.269027949352	0.247482852366	0.287850430608	0.247555767295	0.367102964546	0.078532710257	0.073089778965	0.079938141881	0.076409023872	0.070590435144	50	20	
2750000	246.516903	1	0.710844702444	0.617876109008	-0.008963493412	-0.559643223603	-0.198676567453	0.178264609484	0.063223119899	0.119325370460	0.049146598003	-0.189417370768	-0.017721860828	-0.139724487862	0.000716481053	0.872234318156	N\A	0.081952569289	0.313971380376	0.280959162148	0.332038795327	0.279305120858	0.439651175343	0.092360150341	0.085268533277	0.091677533196	0.086125635612	0.090126716109	42	17	
2800000	246.894446	1	0.373717994233	0.714336517637	-0.452712784860	-1.168248076318	-1.023341726570	-0.192055276133	0.317123918939	-0.037178449312	0.082262196602	-0.146893926399	-0.149398322106	-0.199358443996	0.000690692056	0.868017947005	N\A	0.088058996074	0.311428303692	0.292490733172	0.337401811606	0.296555863559	0.432866543231	0.094394436325	0.091533684071	0.099431009462	0.095282040623	0.093692593275	47	15	
2850000	256.576462	1	0.353600682531	0.698846687940	0.635107495488	-0.489531844306	-0.114319686238	0.383781120956	0.488535345273	-0.114050115225	0.062679949538	-0.284432075987	-0.065510998129	-0.129425130296	0.000314881381	0.896748445049	N\A	0.060209043007	0.242127130976	0.216089387662	0.255646431134	0.228194627394	0.301097158036	0.070047630107	0.062887904212	0.073574975592	0.071340405916	0.069279942438	44	13	
2900000	236.749808	1	0.597988306745	0.799739157995	0.169893742114	-0.780890439215	-0.597305364352	0.320741925388	0.263414790099	-0.142805152549	-0.033177200600	-0.336203739991	-0.246658558393	-0.326402850142	0.000758361056	0.870668315989	N\A	0.080014099414	0.313857163955	0.296511851572	0.357983173639	0.320733380339	0.457436431496	0.086405929695	0.082894565756	0.100083967542	0.088479986318	0.090091788733	33	17	
2950000	228.848013	1	0.573845939190	0.646263658007	0.177407085072	-0.718943700260	-0.365798270476	0.214487724878	0.598412717930	-0.046990064237	0.083005287005	-0.213760446922	-0.053455615958	-0.191302249943	0.000357559602	0.842300259142	N\A	0.061631509882	0.257725745582	0.231826906811	0.290968040383	0.236196786131	0.323423751135	0.072040796826	0.066961705596	0.078396187364	0.071762646534	0.072990014187	36	13	
3000000	252.790238	1	0.901713069792	0.411563207859	0.011847288454	-1.022556106520	-0.911954070249	-0.213515881717	-0.019102689101	0.179558597077	0.281578686042	0.179263256821	0.149331717623	0.196585793392	0.000375918131	0.863496153338	N\A	0.079562409521	0.282660215164	0.260600689136	0.293422516057	0.265266835203	0.349248790700	0.085581831240	0.082777245522	0.092992529957	0.087912609950	0.085631305743	47	15	
