Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  STR_d1_m2-glob-006.txt
Log File Name:                   STR_d1_m2-glob-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            549635774
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   STR_d1_m2-glob-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.147241
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.77 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	Global Trend	
2550000	357.162352	1	0.663460737362	0.553447053390	0.151102502635	0.062222432025	0.100020824752	-0.008373122390	-0.310736269116	0.175570051916	0.120045564113	0.093755799493	-0.001740590273	0.063388457953	0.000201376110	0.999767870295	N\A	0.054519752301	0.123181541569	0.105047232613	0.240361572562	0.121941938539	0.181792029489	0.059082695063	0.057360436540	0.066546268285	0.061720350112	0.059703783612	34	14	0.262249775653	Global Trend	
2600000	358.167993	1	0.395766124540	0.693058482162	0.256713346155	0.287056778741	0.467080068304	0.496120847377	-0.648640032621	0.038423708174	-0.057634564756	-0.045582172259	-0.189496601996	-0.137400420621	0.000143718553	0.936609927781	N\A	0.035291082747	0.122531243934	0.104169587547	0.152343789013	0.123764842668	0.165551449324	0.043238046328	0.037755211844	0.055150774761	0.048246292018	0.042022894247	43	12	-0.000281713291	Global Trend	
2650000	357.394942	1	0.579986826963	0.662669079369	0.079208825289	-0.349841212464	0.617911946486	0.145278266185	-0.029732744182	0.074165867277	0.005955144864	-0.020453213593	-0.103934315278	-0.080908769773	0.000178817144	0.998365254982	N\A	0.038347605102	0.102029123958	0.080587051462	0.123424176706	0.104763655084	0.160034242332	0.046531570292	0.042909093860	0.048034208869	0.048614495527	0.044058605463	38	18	-0.105507448966	Global Trend	
2700000	368.484126	1	0.470446532075	0.659227139687	0.024186273850	-0.142861303862	0.128960170065	-0.001673002151	0.399769417425	0.057381531902	-0.022516712372	0.048789828882	-0.086913660024	-0.112830069384	0.000306738789	0.937221820377	N\A	0.044539449563	0.126019923693	0.110427219729	0.183091018474	0.131632776446	0.220608058696	0.050381446370	0.046915853166	0.063048987625	0.056216576927	0.047372032601	41	11	-0.002518816856	Global Trend	
2750000	341.618816	1	0.650896812665	0.743141274081	0.390332946876	0.279368205978	0.247945981967	0.180081115966	-0.247929101264	0.001470455691	-0.074552485571	-0.046903692032	-0.212190157587	-0.170018157454	0.000328693380	0.936777236114	N\A	0.038535855913	0.094666127305	0.081976573562	0.157687318401	0.101850699586	0.200201481650	0.043551666937	0.042735669205	0.056785557868	0.047754583993	0.045262479059	36	12	0.007035388758	Global Trend	
2800000	353.744578	1	0.318474005724	0.673369596418	0.059060207983	-0.022892977716	0.480506811566	0.347455885400	-0.314254879700	0.102665342037	-0.031855105618	-0.019932664478	-0.152917401547	-0.111769251904	0.000331573287	0.974273706706	N\A	0.053078337075	0.116307451187	0.100765093122	0.167705595645	0.134447555921	0.248963490907	0.057894778526	0.055211351502	0.068372611202	0.064646557119	0.059089035717	43	11	0.034700382373	Global Trend	
2850000	356.685512	1	0.157843729676	0.769232381311	-0.146173249074	-0.388707162001	0.658115989097	0.059713528573	0.774362837546	-0.116317901080	-0.113390935834	-0.095822503998	-0.217202763556	-0.185379595206	0.000397083949	0.999844542037	N\A	0.048305902719	0.146139445154	0.111762227238	0.159734191166	0.125690038288	0.233883762194	0.051921618129	0.050671007198	0.058714742454	0.055214298457	0.054476951011	37	12	-0.519840104244	Global Trend	
2900000	349.523375	1	0.417389867534	0.746380184840	-0.107456976517	-0.347355520139	0.631281476724	0.478492689336	0.086123020658	-0.058310242476	-0.095767925319	-0.095740125745	-0.249019761031	-0.105973438643	0.000296845692	0.934653009405	N\A	0.102892378219	0.134699587961	0.119080780401	0.168839404330	0.139574430117	0.208553373383	0.105194999187	0.103841736052	0.108722065046	0.106896637628	0.104752975668	36	10	-0.003826858187	Global Trend	
2950000	331.941735	1	0.520646343709	0.863914290195	0.240358810476	0.000613049556	0.847147859333	0.459936327243	0.017554682759	-0.151881598500	-0.231749782000	-0.219412167179	-0.311876806890	-0.248366916997	0.000303213137	0.909316953785	N\A	0.105715227247	0.156445420994	0.129416011227	0.178404937923	0.156259125039	0.217000620245	0.108973174094	0.106796842114	0.110582941757	0.110556228678	0.107663327559	43	8	0.002112212953	Global Trend	
3000000	346.937457	1	0.535295235884	0.673346199676	0.081451533281	-0.176376181319	1.028117441871	0.067447005248	-0.292546886943	0.028290875223	-0.008699333235	-0.115695254151	-0.186366345926	-0.055957199690	0.000195577128	0.943167524916	N\A	0.056734718760	0.099003664697	0.090958739254	0.143089388803	0.114899356061	0.175245845959	0.060309662016	0.059250076143	0.066062762734	0.064397898888	0.063834584434	40	10	-0.006277474090	Global Trend	
