Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  NEO_d1_m5-bm-001.txt
Log File Name:                   NEO_d1_m5-bm-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3639240512
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   NEO_d1_m5-bm-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	
4050000	565.886130	1	-1.069176499434	1.140277187868	-0.001920772391	0.000093429579	0.982072487554	N\A	0.033074800008	0.004816926124	
4100000	566.716188	1	-1.093582563461	1.171705915913	-0.008846366211	0.000092979782	0.982158795852	N\A	0.032995088063	0.004805317088	
4150000	566.685907	1	-1.045501698758	1.132504466749	-0.001742184575	0.000092996152	0.982155654570	N\A	0.032997992641	0.004805740103	
4200000	565.476937	1	-1.080506075545	1.144872797266	-0.002258430089	0.000093652115	0.982029786759	N\A	0.033114166325	0.004822659330	
4250000	566.208301	1	-1.136892455448	1.193481172271	-0.011348484346	0.000093254741	0.982106035927	N\A	0.033043838509	0.004812416974	
4300000	565.776636	1	-0.983646962239	1.111093292756	-0.000957885253	0.000093489074	0.982061071423	N\A	0.033085329248	0.004818459575	
4350000	565.022740	1	-0.977742557641	1.090579221510	0.004434600446	0.000093899747	0.981982270379	N\A	0.033157917240	0.004829031097	
4400000	567.028917	1	-1.078686782570	1.155383211955	-0.005442637742	0.000092810880	0.982191205113	N\A	0.032965105993	0.004800950579	
4450000	564.289641	1	-1.152461381639	1.213107591716	-0.015644809852	0.000094300821	0.981905311305	N\A	0.033228655441	0.004839333221	
4500000	563.883955	1	-0.942318231855	1.070656217425	0.007089324612	0.000094523505	0.981862582080	N\A	0.033267865772	0.004845043710	
4550000	564.684372	1	-1.188677339421	1.217066673981	-0.013634635330	0.000094084654	0.981946790000	N\A	0.033190548345	0.004833783405	
4600000	565.576366	1	-1.093817941725	1.153197342582	-0.003497239439	0.000093597993	0.982040171865	N\A	0.033104596493	0.004821265605	
4650000	567.073721	1	-1.072169903037	1.152371129394	-0.005142280376	0.000092786707	0.982195843442	N\A	0.032960812806	0.004800325331	
4700000	563.650186	1	-1.094170090373	1.186605006065	-0.013084740929	0.000094652062	0.981837914338	N\A	0.033290481017	0.004848337334	
4750000	566.435030	1	-1.030180220812	1.138446560467	-0.004785560717	0.000093131895	0.982129608021	N\A	0.033022066665	0.004809246180	
4800000	566.356946	1	-1.054555703851	1.153766168960	-0.007075967818	0.000093174184	0.982121493432	N\A	0.033029563146	0.004810337948	
4850000	564.681354	1	-1.028537015169	1.113207365995	0.002337928858	0.000094086305	0.981946473255	N\A	0.033190839510	0.004833825809	
4900000	567.013213	1	-1.060574251340	1.144257249483	-0.003814848607	0.000092819354	0.982189579034	N\A	0.032966610942	0.004801169756	
4950000	565.406790	1	-1.076215316424	1.142087065087	-0.001829615295	0.000093690317	0.982022456390	N\A	0.033120919565	0.004823642854	
5000000	566.715522	1	-1.097445431367	1.163086757110	-0.006028908130	0.000092980142	0.982158726716	N\A	0.032995151993	0.004805326399	
5050000	565.203061	1	-1.167603562546	1.213095022340	-0.014324150158	0.000093801357	0.982001149885	N\A	0.033140540767	0.004826500434	
5100000	566.705443	1	-1.019172014126	1.127909204427	-0.002709310535	0.000092985590	0.982157681222	N\A	0.032996118732	0.004805467192	
5150000	565.527322	1	-1.136058831405	1.199627897433	-0.013190645570	0.000093624685	0.982035050033	N\A	0.033109316586	0.004821953027	
5200000	566.247377	1	-1.032328091856	1.122572513589	-0.000028573850	0.000093233557	0.982110100738	N\A	0.033040085160	0.004811870346	
5250000	566.936675	1	-1.096572495699	1.166750942364	-0.007159760583	0.000092860667	0.982181651883	N\A	0.032973946597	0.004802238101	
5300000	567.094710	1	-1.061145834281	1.146669010942	-0.004459484080	0.000092775385	0.982198015947	N\A	0.032958801767	0.004800032448	
5350000	565.132393	1	-1.020802196713	1.111043716887	0.002288086357	0.000093839903	0.981993753407	N\A	0.033147349483	0.004827492037	
5400000	566.963727	1	-1.063287278986	1.144957746975	-0.003780548691	0.000092846063	0.982184454080	N\A	0.032971353676	0.004801860475	
5450000	567.049805	1	-1.057443188836	1.148449646120	-0.005294182139	0.000092799609	0.982193367749	N\A	0.032963104350	0.004800659065	
5500000	566.871993	1	-1.090979368647	1.160758133625	-0.005920899991	0.000092895595	0.982174949814	N\A	0.032980147309	0.004803141156	
5550000	566.069592	1	-0.988965871655	1.112233554875	-0.000823539291	0.000093329976	0.982091599583	N\A	0.033057165238	0.004814357843	
5600000	566.592045	1	-1.031344784608	1.124746462324	-0.000739984265	0.000093046915	0.982145914155	N\A	0.033006997463	0.004807051541	
5650000	566.917277	1	-1.066923150393	1.146383931657	-0.003874908149	0.000092871140	0.982179642246	N\A	0.032975806023	0.004802508903	
5700000	565.270582	1	-0.976536735704	1.091640898982	0.004024061127	0.000093764540	0.982008214258	N\A	0.033134036460	0.004825553164	
5750000	566.638719	1	-1.106468555590	1.168482879580	-0.006797646319	0.000093021669	0.982150758310	N\A	0.033002519444	0.004806399375	
5800000	566.318058	1	-0.992215492507	1.109494260665	0.000247755250	0.000093195252	0.982117450787	N\A	0.033033297218	0.004810881768	
5850000	565.722936	1	-1.086514319015	1.149532328134	-0.003077331296	0.000093518267	0.982055469788	N\A	0.033090494480	0.004819211826	
5900000	565.818295	1	-1.142739705073	1.187196184040	-0.009030440355	0.000093466434	0.982065415779	N\A	0.033081322789	0.004817876085	
5950000	566.820405	1	-1.032367519956	1.127816526101	-0.001534905782	0.000092923461	0.982169602769	N\A	0.032985093526	0.004803861510	
6000000	565.854289	1	-0.980989985536	1.098241000356	0.002511215246	0.000093446876	0.982069168466	N\A	0.033077861590	0.004817372005	
6050000	567.006883	1	-1.088852003218	1.164389749870	-0.007151483914	0.000092822770	0.982188923546	N\A	0.032967217581	0.004801258105	
6100000	567.043024	1	-1.052937464316	1.145799317121	-0.004923047504	0.000092803268	0.982192665711	N\A	0.032963754139	0.004800753699	
6150000	565.199759	1	-0.965415080420	1.087277089305	0.004313067836	0.000093803157	0.982000804410	N\A	0.033140858820	0.004826546754	
6200000	566.740505	1	-1.041230431167	1.142768221867	-0.005068647013	0.000092966637	0.982161318043	N\A	0.032992755742	0.004804977415	
