Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MED_d1_m8-fab-005.txt
Log File Name:                   MED_d1_m8-fab-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3952842963
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MED_d1_m8-fab-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.275310
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
4100000	610.595732	1	-0.396217321201	0.769236293853	-0.025330308514	0.193725068634	0.000082327126	0.989883335038	N\A	0.025565849697	0.003521348531	0.012932525748	43	3	
4150000	613.119999	1	-0.340785052460	0.725361277244	-0.019210697429	0.201566665597	0.000073522379	0.980357747496	N\A	0.035746778116	0.004706198630	0.017030052062	47	2	
4200000	631.693311	1	-0.370707091087	0.755506222824	-0.031134278069	0.228686143054	0.000050923464	0.984263664485	N\A	0.032792976875	0.003587452368	0.014678973762	48	2	
4250000	623.619364	1	-0.523637649362	0.843729476831	-0.035473781515	0.193368605317	0.000085997836	0.982597809641	N\A	0.036839529832	0.004188185095	0.016140999508	39	2	
4300000	612.346353	1	-0.464714609792	0.809630785848	-0.037116778491	0.224821469242	0.000072070318	0.979329133900	N\A	0.037918289362	0.004799536968	0.016001365480	35	6	
4350000	627.025287	1	-0.475923421220	0.836298359220	-0.037745110687	0.210393148367	0.000034018306	0.982970146636	N\A	0.035427281759	0.004336131749	0.014453786443	40	4	
4400000	634.641161	1	-0.550657114629	0.862542993291	-0.042505468060	0.210471365973	0.000030506737	0.984026015619	N\A	0.033754606311	0.003015313207	0.013016912168	41	5	
4450000	627.195472	1	-0.386411205573	0.774192656869	-0.034903682396	0.229440403620	0.000047167052	0.983760539102	N\A	0.035836885938	0.003558762056	0.015342130545	38	5	
4500000	622.595229	1	-0.333449969122	0.730628779058	-0.032439988944	0.259545779208	0.000061587870	0.982307067324	N\A	0.035836137084	0.003879135306	0.015412033073	38	4	
4550000	631.893884	1	-0.373995336625	0.767169519551	-0.033486380402	0.227460016539	0.000041375261	0.984434982524	N\A	0.030683472679	0.003763653866	0.014027647923	45	4	
4600000	628.665285	1	-0.406615666810	0.788861603215	-0.039697557673	0.244520121002	0.000066322893	0.985234078195	N\A	0.033924098029	0.003929005218	0.015537403065	34	3	
4650000	612.131536	1	-0.474648364476	0.846979876290	-0.036372774140	0.191617587007	0.000073104376	0.980513247671	N\A	0.036755946131	0.004297255276	0.015750849200	42	3	
4700000	621.635293	1	-0.454400560478	0.826758829635	-0.038161700540	0.202810216499	0.000072339812	0.981868048985	N\A	0.038291253802	0.004432719712	0.015885158777	47	6	
4750000	624.807403	1	-0.410933810393	0.778154985513	-0.034048932794	0.229192668365	0.000062950701	0.981773752108	N\A	0.032826560144	0.003804502987	0.015219839714	38	5	
4800000	627.780352	1	-0.450666934679	0.805862202315	-0.035963467105	0.216702690001	0.000056619420	0.980890811797	N\A	0.034423086179	0.003762373722	0.014916539521	40	5	
4850000	633.387735	1	-0.588400842686	0.878171854704	-0.037791674527	0.180136639551	0.000072348323	0.985666423548	N\A	0.036072197818	0.004713177454	0.016438354526	43	7	
4900000	627.978302	1	-0.416576585218	0.799629857570	-0.028600507459	0.183470034289	0.000126683386	0.982987812386	N\A	0.035352126564	0.004557324281	0.016218118891	42	2	
4950000	619.306154	1	-0.303587042837	0.728322820739	-0.034737389135	0.264974825308	0.000060990334	0.980670726667	N\A	0.033856214713	0.003413823701	0.014146652487	43	3	
