Species_TTOL	SCH	rest_of_brain	rest_of_brain2	BOD	BOD2
Macropus_giganteus	3.175802	3.0789623596587	9.48000921219507	4.563481	20.825358837361
Notamacropus_irma	2.81278	3.0789623596587	9.48000921219507	3.819544	14.588916367936
Notamacropus_parma	2.620032	3.0789623596587	9.48000921219507	3.536558	12.507242487364
Notamacropus_parryi	2.923658	3.0789623596587	9.48000921219507	4.170262	17.391085148644
Osphranter_robustus	3.016616	3.0789623596587	9.48000921219507	4.409933	19.447509064489
Osphranter_rufus	3.020775	3.0789623596587	9.48000921219507	4.494155	20.197429164025
Thylamys_pallidior	1.385606	3.0789623596587	9.48000921219507	1.477121	2.181886448641
Marmosops_impavidus	1.650308	3.0789623596587	9.48000921219507	1.845098	3.404386629604
Monodelphis_brevicaudata	1.49276	3.0789623596587	9.48000921219507	1.924279	3.702849669841
Notoryctes_typhlops	1.523746	3.0789623596587	9.48000921219507	1.531479	2.345427927441
Petauroides_volans	2.036629	3.0789623596587	9.48000921219507	3.09691	9.5908515481
Petaurus_australis	2.198382	3.0789623596587	9.48000921219507	2.748188	7.552537283344
Petaurus_breviceps	1.783904	3.0789623596587	9.48000921219507	2.113943	4.468755007249
Petaurus_norfolcensis	1.835056	3.0789623596587	9.48000921219507	2.374748	5.639428063504
Petrogale_inornata	2.640978	3.0789623596587	9.48000921219507	3.628389	13.165206735321
Petrogale_lateralis	2.65215	3.0789623596587	9.48000921219507	3.556303	12.647291027809
Petrogale_penicillata	2.730702	3.0789623596587	9.48000921219507	3.690196	13.617546518416
Petrogale_purpureicollis	2.702086	3.0789623596587	9.48000921219507	3.740363	13.990315371769
Petropseudes_dahli	2.12483	3.0789623596587	9.48000921219507	3.127105	9.778785681025
Phascolarctos_cinereus	2.616581	3.0789623596587	9.48000921219507	3.968483	15.748857321289
Planigale_ingrami	0.437751	3.0789623596587	9.48000921219507	0.826075	0.682399905625
Planigale_maculata	0.773786	3.0789623596587	9.48000921219507	1.041393	1.084499380449
Potorous_tridactylus_tridactylus	2.443732	3.0789623596587	9.48000921219507	3.089905	9.547512909025
Pseudochirulus_canescens	1.795185	3.0789623596587	9.48000921219507	2.447158	5.988582276964
Pseudochirulus_forbesi	2.0086	3.0789623596587	9.48000921219507	2.70757	7.3309353049
Sarcophilus_harrisii	2.650599	3.0789623596587	9.48000921219507	3.732394	13.930764971236
Sminthopsis_crassicaudata	1.037426	3.0789623596587	9.48000921219507	1.146128	1.313609392384
Sminthopsis_leucopus	1.089905	3.0789623596587	9.48000921219507	1.361728	1.854303145984
Phalanger_gymnotis	2.443576	3.0789623596587	9.48000921219507	3.451786	11.914826589796
