Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MED_d1_m2-bm-004.txt
Log File Name:                   MED_d1_m2-bm-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2882994964
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MED_d1_m2-bm-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	
2550000	375.239201	1	0.963331865213	0.644483259581	-0.144653187244	-0.013368488228	-0.032959546219	-0.097257396498	0.181136864164	-0.001508212751	-0.002187974925	-0.041164982036	-0.040779252331	-0.124152920256	0.000283049096	0.912514517904	N\A	0.051509947163	0.219827903872	0.198839782064	0.208423495328	0.202001135048	0.273891570161	0.057314571335	0.055312336112	0.057499697642	0.059754092090	0.054615284868	
2600000	375.564855	1	1.175522843527	0.597675998358	-0.057400562665	0.020333191630	0.095346630019	-0.106369627215	-0.210161562303	0.011172003912	0.016725789447	-0.076960477467	-0.005615635283	-0.085428881631	0.000282513695	0.912680000939	N\A	0.051461207321	0.219619897888	0.198651635501	0.208226280445	0.201809997144	0.273632407950	0.057260339031	0.055259998366	0.057445290167	0.059697551457	0.054563606688	
2650000	375.336612	1	1.029314074235	0.519485191272	-0.146549871214	-0.152613764037	0.219943680255	-0.152595334677	0.097056712734	0.132189313880	0.117393539489	-0.001775823674	0.104267160455	0.021157309345	0.000282888838	0.912564050780	N\A	0.051495363045	0.219765663544	0.198783484146	0.208364483954	0.201943942050	0.273814022676	0.057298343742	0.055296675416	0.057483417634	0.059737173791	0.054599821530	
2700000	376.573367	1	0.963146160584	0.546285517526	0.021844962764	-0.016841420132	0.183269976524	0.070981974900	0.203257555423	0.010267752934	0.073659898925	0.008178077951	0.001074523077	-0.024978076487	0.000280862038	0.913190498751	N\A	0.051310558310	0.218976976311	0.198070097016	0.207616712871	0.201219212780	0.272831368605	0.057092713475	0.055098228665	0.057277123180	0.059522791136	0.054403875623	
2750000	373.978728	1	0.790473188302	0.576148786683	0.321403553053	0.404328535615	0.436524176978	0.311438101747	0.285200575162	0.022006513489	0.061699503302	-0.062947530153	0.000395435210	-0.041949538077	0.000285130992	0.911871040512	N\A	0.051699034315	0.220634867080	0.199569700267	0.209188594251	0.202742658218	0.274896994933	0.057524966601	0.055515381401	0.057710772486	0.059973442559	0.054815771361	
2800000	377.390246	1	0.918544209427	0.572705937057	0.063660899854	-0.101944502179	0.173690648187	0.106450524919	0.318592483614	0.027152128793	0.052598242115	-0.030142444105	-0.032184113165	-0.053314799380	0.000279531304	0.913601805274	N\A	0.051188858353	0.218457600000	0.197600308283	0.207124281181	0.200741954878	0.272184258794	0.056957299225	0.054967544996	0.057141271541	0.059381613154	0.054274838842	
2850000	377.156728	1	0.929810720950	0.591676066166	-0.104909241964	-0.220215572533	0.139608497497	-0.037136780637	0.274305407389	0.009901952109	0.085989008595	-0.010057620298	0.025570885313	-0.076685099594	0.000279911071	0.913484426008	N\A	0.051223618751	0.218605946209	0.197734491102	0.207264931366	0.200878271069	0.272369088724	0.056995976751	0.055004871355	0.057180073996	0.059421936938	0.054311694811	
2900000	376.865273	1	0.652130926192	0.710615069998	0.253588798805	0.189782645741	0.514567742879	0.395822517400	0.456714968657	-0.101688509222	-0.074941864415	-0.169445691645	-0.089193090569	-0.178352692885	0.000280385784	0.913337700415	N\A	0.051267036552	0.218791239433	0.197902093411	0.207440611799	0.201048538086	0.272599952282	0.057044287277	0.055051494195	0.057228540565	0.059472303740	0.054357730105	
2950000	377.402713	1	0.953262765453	0.566451902928	-0.092377295340	0.005743652942	0.113191081726	-0.188832638930	0.202054982935	0.060506856554	0.065957548223	-0.000448829976	0.077854274896	-0.029921332122	0.000279511044	0.913608067139	N\A	0.051187003317	0.218449683302	0.197593147433	0.207116775191	0.200734680178	0.272174395092	0.056955235146	0.054965553024	0.057139200795	0.059379461220	0.054272871973	
3000000	377.901628	1	0.818687615588	0.669766387509	0.080071320945	-0.018915822072	0.281015433516	0.044644456412	0.341629102828	-0.074758190736	-0.026757326828	-0.073633174907	-0.084330217909	-0.145868959667	0.000278701451	0.913858298270	N\A	0.051112818902	0.218133088053	0.197306779192	0.206816604526	0.200443758969	0.271779937573	0.056872690935	0.054885892423	0.057056389966	0.059293403621	0.054194215263	
3050000	376.569598	1	0.704377915039	0.653505702949	0.080513049029	0.098917380908	0.487470393030	-0.000574850085	0.597038235647	-0.057958895823	0.007709260314	-0.142097704008	-0.009688812556	-0.136897347571	0.000280868193	0.913188596329	N\A	0.051311120539	0.218979375727	0.198072267347	0.207618987808	0.201221417618	0.272834358124	0.057093339062	0.055098832398	0.057277750787	0.059523443350	0.054404471748	
3100000	374.596579	1	1.375980765183	0.473571151940	-0.403776498064	-0.397462286658	-0.059089104252	-0.216578575078	-0.480085646410	0.136024390589	0.172033950968	0.065375384048	0.115836656078	0.064342494036	0.000284108594	0.912187045800	N\A	0.051606262088	0.220238945024	0.199211578963	0.208813212157	0.202378843145	0.274403701262	0.057421739929	0.055415760864	0.057607212391	0.059865822177	0.054717406251	
3150000	376.963438	1	0.839937667263	0.622406498231	0.227639583657	0.209101677664	0.428730331360	0.351612878838	0.077063897179	-0.016439946979	0.038290070096	-0.048855223259	-0.025411180290	-0.083811024143	0.000280225807	0.913387146582	N\A	0.051252408968	0.218728813603	0.197845627702	0.207381424547	0.200991174630	0.272522173674	0.057028011319	0.055035786824	0.057212212036	0.059455335017	0.054342220680	
3200000	370.320241	1	0.755775303952	0.622841073313	-0.028334477030	-0.079297120517	0.120325975636	-0.002303162964	0.534046633850	-0.055522008744	0.021091301481	-0.079275544535	0.059818678850	-0.068254646365	0.000291260766	0.909976435464	N\A	0.052251794752	0.222993871020	0.201703477740	0.211425215890	0.204910360612	0.277836163628	0.058140017272	0.056108945805	0.058327809772	0.060614672067	0.055401855611	
