Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MES_d1_m2-glob-001.txt
Log File Name:                   MES_d1_m2-glob-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4099088890
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MES_d1_m2-glob-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.297316
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.66 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	Global Trend	
2500000	461.383156	1	0.563010261400	0.534754162728	-0.121777231773	-0.129754474435	0.713174977889	-0.193297732617	0.168073186067	0.092329952104	0.111588061810	-0.106541626023	0.011457791569	0.004146248125	0.000279443948	0.963412072921	N\A	0.016213774293	0.083171928254	0.071919539375	0.103972474992	0.105512703356	0.186053225384	0.021300770414	0.020398564216	0.021947446478	0.034125658382	0.029758937615	32	12	-0.016904191010	Global Trend	
2550000	457.411914	1	0.834349534313	0.551076901240	-0.452259930527	-0.353948957619	0.809835020666	0.134040720336	0.363869332355	0.107554863240	0.067133139333	-0.129851186626	-0.080660860555	-0.034032657825	0.000207116489	0.983389343856	N\A	0.041224080351	0.085231061553	0.078954715677	0.112816187176	0.106309476900	0.200642435121	0.043753992069	0.042824094125	0.046393723430	0.051091149922	0.046755875501	30	12	-0.039512900987	Global Trend	
2600000	452.315322	1	0.540219681212	0.605117319130	-0.411217561063	-0.332244536836	0.672722949857	-0.609466029679	0.487011825275	0.042741899419	0.033520482146	-0.144883144068	0.051687820193	-0.097082082787	0.000197314727	0.950110921141	N\A	0.041923595432	0.131736888003	0.121529082262	0.155032883701	0.144482164079	0.213307249238	0.045913906268	0.043272262079	0.047467286317	0.050526048662	0.047554500522	41	7	0.000292678238	Global Trend	
2650000	462.898613	1	0.852786653121	0.466998072689	-0.026455436601	-0.071334287510	0.314040340453	-0.217837878932	0.055063700923	0.149208130840	0.159062929288	0.029544766893	0.143569177149	0.032460888036	0.000238417146	0.948220042290	N\A	0.049322716840	0.088420536624	0.078089161123	0.119534860117	0.105011500288	0.167002143638	0.052333937848	0.050710603881	0.054726742959	0.056641704284	0.053500340067	39	9	-0.007328035401	Global Trend	
2700000	476.513391	1	0.723909907268	0.569286593744	0.031711946641	-0.003006660433	0.537734677166	-0.229003061974	0.191628955985	0.037629555160	0.042273633756	-0.114765960228	-0.018580722308	-0.040594833545	0.000025156400	0.996464528481	N\A	0.015017391082	0.077420585906	0.062823460813	0.101198482425	0.093589164716	0.156484993416	0.023567102684	0.018864448608	0.025026296760	0.030739292230	0.028915478117	36	11	-0.010564251618	Global Trend	
2750000	451.575332	1	0.717095953673	0.584547240075	0.161300514869	0.118911284522	0.580791171857	-0.487010662843	-0.015367591581	0.019047811555	0.084757131169	-0.133087281461	0.096837477216	-0.010698417775	0.000060906246	0.999857976984	N\A	0.023489328600	0.089891684350	0.078958194778	0.106842156263	0.129831637550	0.205923100494	0.027577502847	0.026150447493	0.031965421967	0.041317986584	0.038241176856	33	6	-0.099179738660	Global Trend	
2800000	463.550337	1	0.874713268562	0.534194545185	-0.196432036403	-0.061725037286	0.589076367364	-0.022350008750	0.069103141395	0.108793946889	0.088224164342	-0.088427524017	0.013923558179	-0.034451039234	0.000069393068	0.999980907234	N\A	0.023941068457	0.078720965985	0.064416389528	0.083716959214	0.118125948214	0.114800473407	0.028067761333	0.027424583265	0.028479829178	0.043863234070	0.029740374573	42	7	0.434858228298	Global Trend	
2850000	441.052541	1	0.847201448807	0.574311597751	-0.073048092306	-0.063637857101	0.429842971517	0.259954704625	-0.020120112115	0.068686304414	0.072863691068	-0.090958892450	-0.125227951158	-0.033309553931	0.000123189778	0.994411370608	N\A	0.031817628467	0.079154742882	0.065172609945	0.096251364529	0.090469308473	0.134578815721	0.034880058484	0.033984883651	0.038683838371	0.039676521267	0.038766316394	37	4	0.028701692855	Global Trend	
2900000	451.784358	1	0.959095456036	0.421451017309	-0.175939286489	-0.117219708504	0.314039799598	-0.280660202286	-0.068747939308	0.242836042897	0.227059482326	0.046948972129	0.157597295036	0.128944601592	0.000060721111	0.947565735632	N\A	0.039926689107	0.102263788239	0.093128348785	0.107852922817	0.114549398288	0.126462830988	0.044966800555	0.041746925336	0.043654557188	0.049308600331	0.042599013348	44	7	0.000172996488	Global Trend	
2950000	448.464746	1	0.941150963672	0.539669037833	0.060435051595	0.012698984134	0.397195936421	-0.010166696240	0.013801276270	0.113774475837	0.104074779994	-0.071505979978	0.020386169163	-0.060824149607	0.000242628941	0.954050978630	N\A	0.039141709116	0.089470001887	0.082812531092	0.122593335976	0.114626945096	0.183830163980	0.042569665967	0.040459109869	0.045375948069	0.050730469951	0.044351683563	31	5	0.002853739336	Global Trend	
3000000	469.074443	1	0.917757503069	0.530320932797	0.006597751874	0.042405326978	0.452924710716	-0.103514926134	0.132206805542	0.072369466813	0.095234862138	-0.064573884127	0.023533039698	-0.015896436971	0.000151922472	0.946386391638	N\A	0.035356263893	0.091446536283	0.071701226032	0.100898811923	0.090995636457	0.145540730816	0.040138934540	0.037456359051	0.040455420856	0.042905342676	0.039613584724	31	10	0.003330061877	Global Trend	
3050000	448.289342	1	0.914141239549	0.440853863772	-0.222645718283	-0.137924879624	0.428606818343	-0.131789513773	0.055834257101	0.198554008747	0.199865432747	0.019223995890	0.083425024207	0.065992291650	0.000073231715	0.999979882517	N\A	0.048269924348	0.074397919737	0.065687581268	0.098441557716	0.106794047567	0.116473248368	0.049849750035	0.049647756813	0.053232848675	0.056442138314	0.053670004014	40	3	-0.263060209309	Global Trend	
