Species_TTOL	DIE	rest_of_brain	BOD	BOD2
Lophostoma_schulzi	1.568	2.67681030271887	1.328	1.763584
Trachops_cirrhosus	1.829	2.97719852358353	1.567	2.455489
Triaenops_persicus	1.25	2.41026109600416	1.137	1.292769
Tylonycteris_pachypus	0.826	1.87843900376487	0.681	0.463761
Tylonycteris_robustula	0.964	2.03440793493338	0.857	0.734449
Uroderma_bilobatum	1.635	2.76341624316696	1.21	1.4641
Vampyressa_pusilla	1.431	2.55572901399533	0.934	0.872356
Vampyrum_spectrum	2.294	3.38883839645361	2.238	5.008644
Alouatta_seniculus	3.524	4.69064476860801	3.806	14.485636
Aotus_trivirgatus	3.041	4.20956514451613	2.919	8.520561
Ateles_geoffroyi	3.727	5.00423671459412	3.903	15.233409
Avahi_laniger	2.936	3.99079117597203	3.109	9.665881
Plecturocebus_moloch	3.138	4.24999973790912	2.954	8.726116
Callimico_goeldii	2.869	4.02141427425862	2.681	7.187761
Callithrix_jacchus	2.744	3.86010428447601	2.447	5.987809
Cebuella_pygmaea	2.534	3.63358773263483	2.146	4.605316
Cebus_albifrons	3.602	4.8258408678735	3.491	12.187081
Cercopithecus_ascanius	3.557	4.80297404128273	3.531	12.467961
Cercopithecus_mitis_mitis	3.621	4.84835244065239	3.799	14.432401
Cheirogaleus_major	2.689	3.80396492768725	2.653	7.038409
Cheirogaleus_medius	2.371	3.4708780230274	2.248	5.053504
Daubentonia_madagascariensis	3.549	4.6294722319675	3.447	11.881809
Erythrocebus_patas	3.734	5.01330305301563	3.892	15.147664
Eulemur_fulvus_fulvus	3.234	4.34468914865517	3.146	9.897316
Galago_senegalensis	2.582	3.65384583826705	2.27	5.1529
Galagoides_demidoff	2.391	3.50526524207999	1.908	3.640464
Gorilla_gorilla	4.287	5.67214160105073	5.021	25.210441
Homo_sapiens	4.523	6.09769523952942	4.813	23.164969
Hylobates_lar	3.757	4.98887970833346	3.756	14.107536
Indri_indri	3.464	4.55944787748954	3.796	14.409616
Lagothrix_lagotricha	3.757	4.980177796679	3.716	13.808656
Lepilemur_mustelinus	2.773	3.85550540645094	2.961	8.767521
Lophocebus_albigena	3.728	4.9893093148895	3.898	15.194404
Loris_tardigradus_tardigradus	2.731	3.79701647977618	2.508	6.290064
Macaca_mulatta	3.651	4.94427327976376	3.892	15.147664
Microcebus_murinus	2.127	3.22499777943092	1.732	2.999824
Miopithecus_talapoin	3.376	4.57720824492106	3.079	9.480241
Nasalis_larvatus	3.725	4.97211427746941	4.146	17.189316
Nycticebus_coucang	3.032	4.07016900764897	2.903	8.427409
Otolemur_crassicaudatus	2.895	3.98509131950917	2.929	8.579041
Pan_troglodytes	4.187	5.58232825551133	4.663	21.743569
Papio_cynocephalus	3.968	5.28121407692444	4.398	19.342404
Perodicticus_potto	3.01	4.12079897970986	3.061	9.369721
Pithecia_monachus	3.359	4.51688705271499	3.176	10.086976
Piliocolobus_badius	3.596	4.86832778778568	3.845	14.784025
Propithecus_verreauxi	3.341	4.40135338583513	3.542	12.545764
Pygathrix_nemaeus	3.675	4.86047259819674	3.875	15.015625
Saguinus_midas	2.84	3.98108200720884	2.531	6.405961
Saguinus_oedipus	2.877	3.97903342592802	2.58	6.6564
Saimiri_sciureus_sciureus	3.155	4.35321967494396	2.82	7.9524
Tarsius_tarsier	2.481	3.53020840861181	2.097	4.397409
Varecia_variegata	3.403	4.47260429620756	3.477	12.089529
