Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MOB_d1_m6-glob-003.txt
Log File Name:                   MOB_d1_m6-glob-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2584530755
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MOB_d1_m6-glob-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.114840
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
6350000	303.591467	1	-0.890752286188	0.919043626010	0.052191544336	0.000230499231	0.979344115116	N\A	0.029009433120	0.024956078498	49	26	-0.014485565692	Global Trend	
6400000	306.303369	1	-0.923515421530	0.900076433527	0.095571563209	0.000284137998	0.997472863911	N\A	0.020736832551	0.020130085491	47	23	-0.082947622540	Global Trend	
6450000	311.530095	1	-0.932530142742	0.892942084337	0.104389743782	0.000290372690	0.999298124351	N\A	0.027781890384	0.027590184659	45	21	-0.170912411387	Global Trend	
6500000	324.961256	1	-0.601087251562	0.834771880343	0.118372122689	0.000355512053	0.970143949877	N\A	0.030093247465	0.024032616608	41	23	-0.023238045478	Global Trend	
6550000	356.502609	1	-1.073099463299	0.983606644324	0.014354825563	0.000255532786	0.995578487376	N\A	0.022758953392	0.021814156462	33	29	-0.057458908307	Global Trend	
6600000	303.089115	1	-1.058568664510	0.983888835010	0.019454273210	0.000285121480	0.983205134930	N\A	0.028743055060	0.026008808602	45	23	-0.026735765218	Global Trend	
6650000	339.563746	1	-0.757128542810	0.862318302049	0.114928832852	0.000253924290	0.974959946408	N\A	0.029024751776	0.024370108577	43	27	-0.022130002935	Global Trend	
6700000	323.184643	1	-0.832178116142	0.894746535423	0.111730111255	0.000224069407	0.999259091992	N\A	0.022965478605	0.022919904363	31	27	0.157239564650	Global Trend	
6750000	334.049484	1	-0.788137598786	0.876030339894	0.109949874181	0.000149765577	0.997277274925	N\A	0.024190313220	0.023551080962	44	29	-0.043022879812	Global Trend	
6800000	311.036212	1	-0.823050800304	0.877267328928	0.125656874177	0.000218035858	0.999471132217	N\A	0.026201496693	0.026176128850	31	29	0.153749109881	Global Trend	
6850000	288.228206	1	-0.921397769815	0.877259551787	0.112144529857	0.000327311589	0.975749257135	N\A	0.031789707436	0.027764609299	39	23	-0.025273936515	Global Trend	
6900000	291.408503	1	-1.040135257703	0.957065481536	0.043047554486	0.000359126739	0.999855524911	N\A	0.027709853363	0.027703570821	44	22	0.534686425532	Global Trend	
6950000	325.177655	1	-0.777627408272	0.938174268515	0.060230705666	0.000642483168	0.999881260057	N\A	0.026741030904	0.026693710649	39	28	-1.097745817081	Global Trend	
7000000	299.538372	1	-0.735897555990	0.873610684064	0.101189373286	0.000264112559	0.988822869690	N\A	0.024346694431	0.022159253339	33	27	-0.034799716948	Global Trend	
7050000	311.989688	1	-0.854755960587	0.908854402873	0.092634013933	0.000326587180	0.999957780195	N\A	0.022588180666	0.022580677469	40	21	0.839736267529	Global Trend	
7100000	300.048069	1	-0.814960026871	0.908827290959	0.087874760833	0.000331226781	0.999246079641	N\A	0.029123525312	0.028950958323	26	23	-0.222548388869	Global Trend	
7150000	290.568222	1	-0.902498584216	0.968581658345	0.022286552709	0.000203406876	0.996546476415	N\A	0.026470535193	0.025895256113	46	23	-0.036137133534	Global Trend	
7200000	299.585971	1	-0.975573408996	0.916001673591	0.095559950372	0.000250221493	0.973237046431	N\A	0.028391371267	0.023613820557	41	20	0.018747779136	Global Trend	
7250000	303.181878	1	-0.579182355849	0.894230606451	0.044950683733	0.000575936283	0.969394498891	N\A	0.035225311010	0.030036203615	31	23	-0.042801476959	Global Trend	
7300000	311.172876	1	-0.447212136697	0.828888374722	0.106008521605	0.000762711737	0.972571384997	N\A	0.029853487549	0.024863325186	37	20	-0.058721595356	Global Trend	
7350000	296.201782	1	-0.729998930905	0.872776095452	0.070288745505	0.000400968827	0.967220312335	N\A	0.031943402057	0.025719782546	44	17	-0.021938121558	Global Trend	
