Species_TTOL	SCH	rest_of_brain	BOD
Petrogale_inornata	2.640978	3.0789623596587	3.628389
Petrogale_lateralis	2.65215	3.0789623596587	3.556303
Petrogale_penicillata	2.730702	3.0789623596587	3.690196
Petrogale_purpureicollis	2.702086	3.0789623596587	3.740363
Petropseudes_dahli	2.12483	3.0789623596587	3.127105
Phascolarctos_cinereus	2.616581	3.0789623596587	3.968483
Planigale_ingrami	0.437751	3.0789623596587	0.826075
Planigale_maculata	0.773786	3.0789623596587	1.041393
Potorous_tridactylus_tridactylus	2.443732	3.0789623596587	3.089905
Pseudochirulus_canescens	1.795185	3.0789623596587	2.447158
Pseudochirulus_forbesi	2.0086	3.0789623596587	2.70757
Sarcophilus_harrisii	2.650599	3.0789623596587	3.732394
Sminthopsis_crassicaudata	1.037426	3.0789623596587	1.146128
Sminthopsis_leucopus	1.089905	3.0789623596587	1.361728
Phalanger_gymnotis	2.443576	3.0789623596587	3.451786
Thylacinus_cynocephalus	2.876507	3.0789623596587	4.342423
Thylogale_billardierii	2.784118	3.0789623596587	3.845098
Thylogale_stigmatica	2.681874	3.0789623596587	3.653213
Trichosurus_vulpecula	2.524915	3.0789623596587	3.30103
Vombatus_ursinus	3.128302	3.0789623596587	4.357935
Wallabia_bicolor	2.943049	3.0789623596587	4.198657
Balionycteris_maculata	1.373	3.0789623596587	1.158
Casinycteris_argynnis	1.539	3.0789623596587	1.428
Chironax_melanocephalus	1.423	3.0789623596587	1.248
Cynopterus_brachyotis	1.585	3.0789623596587	1.53
Cynopterus_horsfieldii	1.754	3.0789623596587	1.773
Cynopterus_sphinx	1.646	3.0789623596587	1.713
Dobsonia_inermis	1.977	3.0789623596587	2.173
Dobsonia_moluccensis	2.146	3.0789623596587	2.543
Dobsonia_praedatrix	1.969	3.0789623596587	2.25
Eidolon_helvum	2.181	3.0789623596587	2.418
Eonycteris_spelaea	1.744	3.0789623596587	1.769
Epomophorus_labiatus	1.733	3.0789623596587	1.806
Epomops_franqueti	1.915	3.0789623596587	2.072
Hypsignathus_monstrosus	2.057	3.0789623596587	2.491
Macroglossus_minimus	1.358	3.0789623596587	1.164
Megaerops_ecaudatus	1.562	3.0789623596587	1.38
Megaloglossus_woermanni	1.5	3.0789623596587	1.253
Melonycteris_melanops	1.709	3.0789623596587	1.675
Melonycteris_woodfordi	1.622	3.0789623596587	1.549
Epomophorus_pusillus	1.471	3.0789623596587	1.4
Myonycteris_torquata	1.673	3.0789623596587	1.561
Notopteris_macdonaldi	1.718	3.0789623596587	1.841
Nyctimene_albiventer	1.474	3.0789623596587	1.473
Nyctimene_robinsoni	1.641	3.0789623596587	1.673
Nyctimene_vizcaccia	1.501	3.0789623596587	1.549
Paranyctimene_raptor	1.431	3.0789623596587	1.417
Pteropus_alecto	2.344	3.0789623596587	2.775
Pteropus_conspicillatus	2.416	3.0789623596587	2.875
Pteropus_hypomelanus	2.294	3.0789623596587	2.591
Pteropus_lylei	2.27	3.0789623596587	2.497
Pteropus_neohibernicus	2.452	3.0789623596587	2.924
Pteropus_poliocephalus	2.354	3.0789623596587	2.842
Pteropus_samoensis	2.335	3.0789623596587	2.491
Pteropus_scapulatus	2.31	3.0789623596587	2.574
